group,branch,center,amplitude,kind,mean_retention_difference,sd,minimum,maximum,transfer_gate_pass
gaussian,boxcar_hanning_decimated,10,5,streaming,-0.07936748904037193,0.05396948818996799,-0.1823710448539908,-0.00592450936330402,False
gaussian,boxcar_hanning_decimated,10,10,warp,-0.0036585134855671303,0.003312964140798664,-0.009070648628391464,0.004447395947772548,True
gaussian,boxcar_hanning_decimated,10,10,streaming,-0.012447862099129535,0.013281093494224641,-0.0272018879636603,0.012756914957632981,True
gaussian,boxcar_hanning_decimated,20,5,warp,-0.013002887351743125,0.014270874100904848,-0.04372666706725814,0.010940452713882332,True
gaussian,boxcar_hanning_decimated,20,5,streaming,-0.08617966298501809,0.06254215724156421,-0.2703602720287557,-0.013759042450680048,False
gaussian,boxcar_hanning_decimated,20,10,warp,-0.003650934946670438,0.0036371978511072723,-0.0093054275135388,0.002735070644727444,True
gaussian,boxcar_hanning_decimated,20,10,streaming,-0.012697002421952687,0.012054343899131188,-0.030029235154032774,0.010075094274895058,True
gaussian,boxcar_hanning_decimated,30,5,warp,-0.01435045451669305,0.016288753468075665,-0.0616266726385504,0.004508837613390604,True
gaussian,boxcar_hanning_decimated,30,5,streaming,-0.07253214150904967,0.03412937695905563,-0.1629903959585513,-0.027977979073816495,False
gaussian,boxcar_hanning_decimated,30,10,warp,-0.003071628281994289,0.00529695660896679,-0.011184914492201048,0.009617786382782878,True
gaussian,boxcar_hanning_decimated,30,10,streaming,-0.009167091471507904,0.016876699930621197,-0.02847199796540445,0.025411010386619748,True
noiseless,boxcar_independent,10,5,warp,-0.008936737586413557,0.0,-0.008936737586413557,-0.008936737586413557,True
noiseless,boxcar_independent,10,5,streaming,-0.02258061793736965,0.0,-0.02258061793736965,-0.02258061793736965,True
noiseless,boxcar_independent,10,10,warp,-0.0034804749506820443,0.0,-0.0034804749506820443,-0.0034804749506820443,True
noiseless,boxcar_independent,10,10,streaming,-0.023253048938274068,0.0,-0.023253048938274068,-0.023253048938274068,True
noiseless,boxcar_independent,20,5,warp,-0.0163940708838215,0.0,-0.0163940708838215,-0.0163940708838215,True
noiseless,boxcar_independent,20,5,streaming,-0.05892944715160342,0.0,-0.05892944715160342,-0.05892944715160342,False
