model,galaxy,rar_chi_square,candidate_chi_square,absolute_gain,fractional_gain
Local brightness-gradient adjustment,UGC05999,28.99620930442,22.07851480173,6.917694502689997,0.23857237441155826
Local brightness-gradient adjustment,UGC06399,6.910238138281,10.73185747953,-3.821619341249,-0.5530372853691076
Local brightness-gradient adjustment,UGC06614,119.2125978281,135.6978627363,-16.48526490820001,-0.13828458743908198
Local brightness-gradient adjustment,UGC06628,114.3254198365,99.19663653149,15.128783305010003,0.13233087905249857
Local brightness-gradient adjustment,UGC06667,239.9616925205,331.1384286342,-91.1767361137,-0.3799637148579903
Local brightness-gradient adjustment,UGC06786,7642.790595172,6249.44883987,1393.3417553020008,0.1823079852772865
Local brightness-gradient adjustment,UGC06787,14206.01571357,9246.038300406,4959.977413163999,0.3491462710706482
Local brightness-gradient adjustment,UGC06818,66.93798109042,60.78468322265,6.153297867769993,0.09192535788401061
Local brightness-gradient adjustment,UGC06917,15.82164406569,21.54947435479,-5.7278302891,-0.3620249744791742
Local brightness-gradient adjustment,UGC06923,13.23083275909,11.1303320765,2.100500682589999,0.15875801023536396
Local brightness-gradient adjustment,UGC06973,818.7728513374,841.0760833286,-22.30323199120005,-0.027239828427102222
Local brightness-gradient adjustment,UGC06983,61.52635147393,73.82963847,-12.303286996070007,-0.19996776505239655
Local brightness-gradient adjustment,UGC07089,120.1736610902,104.1183502179,16.055310872299998,0.133600913267086
Local brightness-gradient adjustment,UGC07125,1852.34323972,1612.607962178,239.73527754199995,0.12942270762854854
Local brightness-gradient adjustment,UGC07151,42.38746007632,30.02406864726,12.363391429059998,0.2916756844311811
Local brightness-gradient adjustment,UGC07232,6.462908973989,6.617032315282,-0.15412334129299943,-0.023847363766578363
Local brightness-gradient adjustment,UGC07261,4.643228773483,4.214086426763,0.42914234671999996,0.09242326141041932
Local brightness-gradient adjustment,UGC07323,57.12254637242,47.43570598528,9.686840387139995,0.16957998202644922
Local brightness-gradient adjustment,UGC07399,764.0510156882,807.0824346256,-43.03141893739996,-0.05632008603331347
Local brightness-gradient adjustment,UGC07524,164.0372340702,125.3129063281,38.72432774209999,0.23607035293906414
Local brightness-gradient adjustment,UGC07577,154.005565846,137.0854408406,16.920125005399996,0.10986697079714319
Local brightness-gradient adjustment,UGC07603,67.58823257809,104.2595127871,-36.67128020900999,-0.5425690066187302
Local brightness-gradient adjustment,UGC07608,10.51526931531,16.84862033854,-6.333351023230001,-0.6023004103193802
Local brightness-gradient adjustment,UGC07866,27.60495140331,18.34670732981,9.258244073500002,0.33538345850483486
Local brightness-gradient adjustment,UGC08286,461.7759476979,542.3865565822,-80.6106088843,-0.1745664954750665
Local brightness-gradient adjustment,UGC08490,173.8998907964,224.97593609,-51.076045293600004,-0.29370947307493855
Local brightness-gradient adjustment,UGC08550,28.2771403765,39.80954561395,-11.53240523745,-0.407834918379304
Local brightness-gradient adjustment,UGC08699,264.1922716241,186.9505747949,77.24169682919998,0.29236925196321256
Local brightness-gradient adjustment,UGC08837,294.3739745084,262.5620421848,31.81193232359999,0.1080663886022038
Local brightness-gradient adjustment,UGC09037,1003.896427889,948.2513801682,55.64504772080011,0.05542907233748294
Local brightness-gradient adjustment,UGC09133,4644.758934299,5665.009904319,-1020.2509700199998,-0.21965638786676425
Local brightness-gradient adjustment,UGC09992,36.57503246186,32.01914840637,4.555884055489997,0.1245626797526651
Local brightness-gradient adjustment,UGC10310,17.37662786557,11.52174258098,5.854885284590001,0.33694024697339886
