sohn_objID,RAJ2000,DEJ2000,z,rmag,member_Mm,simard_matched,match_sep_arcsec,objID_agrees,simard_objID,simard_z,simard_Sp,simard_Scale,simard_gg2d,simard_rg2d,simard_Rhlr,simard_Rchl_r,simard_Rhlg,simard_Rchl_g,simard_e,simard_e_e,simard_phi,simard_e_phi,simard_ng,simard_e_ng
1237662268074165395,228.184648,+05.885624,0.51674,20.51,N,0,117.123,,,,,,,,,,,,,,,,,
1237662268074165410,228.170971,+05.696156,0.12410,19.48,N,0,132.624,,,,,,,,,,,,,,,,,
1237662268074165414,228.184715,+05.836961,0.14023,19.21,N,0,77.388,,,,,,,,,,,,,,,,,
1237662268074165430,228.179074,+05.734941,0.19047,19.93,N,0,244.893,,,,,,,,,,,,,,,,,
1237662268074165431,228.193042,+05.891036,0.31090,20.03,N,0,152.330,,,,,,,,,,,,,,,,,
1237662268074165433,228.193878,+05.895539,0.31004,20.24,N,0,165.745,,,,,,,,,,,,,,,,,
1237662268074165441,228.186949,+05.794471,0.21804,19.54,N,0,92.386,,,,,,,,,,,,,,,,,
1237662268074165452,228.189944,+05.793558,0.21996,20.01,N,0,92.441,,,,,,,,,,,,,,,,,
1237662268074165458,228.192768,+05.824609,0.14124,20.23,N,0,24.479,,,,,,,,,,,,,,,,,
1237662268074165466,228.187583,+05.733831,0.14015,20.10,N,0,214.279,,,,,,,,,,,,,,,,,
1237662268074165489,228.194742,+05.750260,0.26652,19.58,N,0,199.855,,,,,,,,,,,,,,,,,
1237662268074165495,228.205812,+05.856273,0.18177,20.42,N,0,108.141,,,,,,,,,,,,,,,,,
1237662268074165505,228.194622,+05.697304,0.31647,20.19,N,0,78.337,,,,,,,,,,,,,,,,,
1237662268074165511,228.201500,+05.754887,0.47199,20.45,N,0,184.093,,,,,,,,,,,,,,,,,
1237662268074165521,228.203740,+05.765529,0.29829,20.56,N,0,294.222,,,,,,,,,,,,,,,,,
1237662268074165703,228.163602,+05.748253,0.54198,21.12,N,0,305.825,,,,,,,,,,,,,,,,,
1237662268074229791,228.216711,+05.781752,0.20775,19.51,N,0,152.056,,,,,,,,,,,,,,,,,
1237662268074229792,228.217530,+05.783520,0.39182,19.14,N,0,148.060,,,,,,,,,,,,,,,,,
1237662268074229814,228.238645,+05.785677,0.14097,18.81,N,0,151.338,,,,,,,,,,,,,,,,,
1237662268074229974,228.223742,+05.845459,0.17042,19.46,N,0,179.237,,,,,,,,,,,,,,,,,
1237662268074229990,228.246719,+05.799421,0.21958,18.75,N,0,109.052,,,,,,,,,,,,,,,,,
1237662268074229999,228.247371,+05.731820,0.09560,16.42,N,1,0.004,0,587736546849325342,0.0956,2,1.772,17.01,16.49,5.85,5.21,5.85,5.21,0.22,0.01,72.27,1.34,1.10,0.03
1237662268074230009,228.250467,+05.707147,0.04285,17.97,N,1,0.027,0,587736546849325350,0.0436,-1,0.859,18.60,18.12,1.93,1.40,1.93,1.40,0.54,0.02,26.21,1.01,0.64,0.05
1237662268074230020,228.261832,+05.728929,0.14125,19.81,N,0,52.838,,,,,,,,,,,,,,,,,
1237662268074230031,228.276887,+05.803573,0.07880,17.51,Y,1,0.027,0,587736546849325392,0.0788,2,1.490,18.54,17.61,4.36,2.94,4.36,2.94,0.64,0.01,166.98,0.69,1.37,0.09
1237662268074230050,228.285665,+05.759502,0.04220,15.27,N,1,0.019,0,587736546849325410,0.0422,2,0.833,15.92,15.32,5.45,4.31,5.45,4.31,0.41,0.00,148.42,0.26,1.59,0.02
1237662268074230052,228.293363,+05.754458,0.32231,18.91,N,0,33.026,,,,,,,,,,,,,,,,,
1237662268074230200,228.214549,+05.756975,0.39302,20.85,N,0,148.395,,,,,,,,,,,,,,,,,
1237662268074230201,228.225130,+05.866271,0.21850,18.77,N,0,178.057,,,,,,,,,,,,,,,,,
1237662268074230208,228.247578,+05.880767,0.22962,19.00,N,0,108.338,,,,,,,,,,,,,,,,,
1237662268074230213,228.248771,+05.838115,0.04325,20.31,N,0,133.925,,,,,,,,,,,,,,,,,
1237662268074230214,228.246233,+05.810548,0.31123,18.40,N,0,112.600,,,,,,,,,,,,,,,,,
1237662268074230221,228.273175,+05.896939,0.31432,17.87,N,1,0.255,0,587730023332249978,0.3021,-1,4.476,19.71,18.12,10.12,7.82,10.12,7.82,0.46,0.03,68.17,2.97,1.40,0.23
1237662268074230227,228.265258,+05.808797,0.21920,18.63,N,0,45.680,,,,,,,,,,,,,,,,,
1237662268074230228,228.269609,+05.849767,0.22903,19.09,N,0,103.874,,,,,,,,,,,,,,,,,
1237662268074230230,228.269716,+05.827625,0.22009,18.66,N,0,50.865,,,,,,,,,,,,,,,,,
1237662268074230243,228.289107,+05.786860,0.22862,18.68,N,0,74.408,,,,,,,,,,,,,,,,,
1237662268074230244,228.287840,+05.787933,0.22837,19.01,N,0,68.628,,,,,,,,,,,,,,,,,
1237662268074230284,228.231316,+05.884316,0.32135,19.88,N,0,156.382,,,,,,,,,,,,,,,,,
