recno	Abell	RAJ2000	DEJ2000	VBCG	e_VBCG	VCl	e_VCl	SigCl	e_SigCl	Ng	AB	Notes	Alpha	Lm	Lm-2rm	Lm-4rm	Sigma	e_Sigma	rx	Xref	T6	Simbad
     315	3135	053.5281	-38.9930	 18316	  47	 18770	  96	  775	   49	  65	 0.081	             	 0.449	 -22.822	 -23.092	 -23.244	 283	  5	      	 	T6	Simbad
     316	3142	054.1561	-39.7948	 20068	  30	 19986	 205	  918	  138	  20	 0.066	             	 0.576	 -22.821	 -23.234	        	 241	  6	      	 	T6	Simbad
     317	3144	054.2703	-55.0224	 13205	  28	 13525	 109	  598	   86	  30	 0.068	15K          	 0.433	 -22.496	 -22.806	 -23.070	 263	  8	      	 	T6	Simbad
     318	3151	055.1127	-28.6772	 20274	  52	 20339	 119	  935	   72	  61	 0.053	             	 0.709	 -22.425	 -22.897	        	 288	 18	      	 	T6	Simbad
     319	3158	055.8747	-53.6924	 18766	  40	 17771	  69	 1095	   37	 252	 0.066	             	 0.622	 -23.096	 -23.512	 -23.849	 301	  5	   458	C	T6	Simbad
     320	3164	056.4457	-57.0358	 17823	  47	 17647	 153	  703	  106	  21	 0.118	             	 0.513	 -23.108	 -23.452	 -23.726	 306	  5	   448	R	T6	Simbad
     321	3188	059.3486	-27.1213	 19316	  22	 19193	 181	  993	   77	  30	 0.053	             	 0.257	 -21.462	        	        	 217	  8	      	 	T6	Simbad
     322	3193	059.5564	-52.3290	 10103	  31	 10188	  74	  451	   51	  37	 0.058	N1500 15K    	 0.467	 -22.698	 -23.009	        	 278	  9	      	 	T6	Simbad
     323	3195	059.7288	-35.3026	 22525	  32	 22525	  32	     	     	   3	 0.022	             	 0.585	 -22.833	 -23.167	        	 261	 14	      	 	T6	Simbad
     324	3202	059.8714	-53.6396	 21090	  17	 20830	 110	  613	   55	  31	 0.085	             	 0.352	 -22.151	        	        	 246	  5	      	 	T6	Simbad
     325	3223	062.1360	-30.8223	 17923	  29	 18002	  87	  790	   51	  81	 0.068	             	 0.478	 -23.143	 -23.474	 -23.714	 333	 11	      	 	T6	Simbad
     326	3225	062.4046	-59.5919	 16994	  33	 16740	 165	 1226	  110	  55	 0.083	             	 0.617	 -22.518	 -22.948	 -23.361	 218	  5	      	 	T6	Simbad
     327	3231	062.8154	-64.5356	 23152	  39	 23152	  39	     	     	   1	 0.198	             	 0.452	 -22.166	 -22.427	        	 188	  6	      	 	T6	Simbad
     328	3266	067.8066	-61.4536	 18025	 181	 17768	  63	 1251	   41	 387	 0.088	E118-G030    	 0.845	 -23.329	 -23.957	 -24.504	 257	 11	     2	C	T6	Simbad
     329	3301	075.2054	-38.6745	 16297	  23	 16231	 144	  706	   77	  24	 0.093	N1759        	 0.706	 -23.271	 -23.748	 -24.180	 270	 10	      	 	T6	Simbad
     330	3323	077.8447	-28.9924	 19221	  47	 19070	  59	  145	   40	   6	 0.059	E422-G043    	 0.845	 -22.435	 -23.057	 -23.471	 244	  8	      	 	T6	Simbad
     331	3332	079.1462	-42.2029	 23954	  45	 23954	  45	     	     	   1	 0.109	             	 0.476	 -22.971	 -23.295	 -23.584	 334	 12	      	 	T6	Simbad
     332	3336	080.3782	-40.8173	 23900	  34	 23734	  57	  114	  116	   4	 0.109	             	 0.711	 -22.975	 -23.480	 -23.894	 261	 13	      	 	T6	Simbad
     333	3341	081.3970	-31.6020	 11024	  30	 11279	  63	  574	   50	  83	 0.083	             	 0.657	 -22.585	 -23.042	 -23.395	 258	 10	    12	R	T6	Simbad
     334	3354	083.6795	-28.6906	 17623	  60	 17504	  60	  435	   49	  52	 0.113	             	 0.440	 -22.746	 -23.036	 -23.258	    	   	      	 	T6	Simbad
     335	3367	087.4238	-24.5455	 13432	  84	 13480	  49	  273	  121	  31	 0.129	15K          	 0.375	 -22.393	 -22.654	        	 222	 12	      	 	T6	Simbad
     336	3374	089.1790	-21.2534	 14237	  62	 14552	 114	  343	    0	   9	 0.264	15K          	 0.272	 -22.593	 -22.655	        	 240	 35	      	 	T6	Simbad
     337	3376	090.1709	-40.0463	 13829	  30	 13831	  68	  855	   54	 154	 0.223	E307-G013 15K	 0.622	 -23.037	 -23.466	 -23.871	 319	  9	   995	C	T6	Simbad
     338	3380	091.7425	-49.4934	 15692	  34	 15831	 165	  573	    0	  12	 0.224	             	 0.526	 -22.781	 -23.167	 -23.563	 244	  5	      	 	T6	Simbad
     339	3381	092.4740	-33.5928	 11493	   3	 11358	  50	  333	   34	  43	 0.160	15K          	 0.584	 -22.399	 -22.817	        	 240	  7	      	 	T6	Simbad
     340	3389	095.5888	-64.9346	  8263	  23	  8052	  77	  616	   64	  63	 0.333	N2235 15K    	 0.520	 -23.084	 -23.428	        	 270	 10	    81	R	T6	Simbad
     341	3390	096.1659	-37.3359	  9283	   5	  9818	 179	 1062	  155	  35	 0.358	             	 0.581	 -22.530	 -22.931	 -23.266	 264	  3	    42	R	T6	Simbad
     342	3391	096.5850	-53.6934	 16522	  43	 16178	 110	 1209	   55	 119	 0.408	E161-G007    	 0.690	 -23.424	 -23.879	        	 320	  6	    13	C	T6	Simbad
     343	3392	096.7778	-35.4879	 16379	  33	 16513	  97	  437	   71	  20	 0.288	             	 0.494	 -23.215	 -23.564	 -23.845	 264	 13	      	 	T6	Simbad
     344	3395	096.9018	-54.4505	 14613	  29	 15132	  70	  950	   57	 181	 0.486	E161-G008 15K	 0.781	 -22.946	 -23.467	 -23.806	 287	 23	    37	C	T6	Simbad
     345	3407	106.2470	-49.0835	 11780	  48	 12819	 111	  684	  125	  38	 0.361	E207-G019    	 0.696	 -23.223	 -23.687	 -24.041	 270	  9	      	 	T6	Simbad
     346	3408	107.1236	-49.2137	 12483	  44	 12623	 111	  638	   87	  33	 0.397	             	 0.592	 -23.363	 -23.780	 -24.138	 297	  4	    97	R	T6	Simbad
     347	3420	143.0290	-24.8179	 18973	  21	 18891	 121	  438	  109	  13	 0.286	             	 0.392	 -22.730	 -22.999	        	 260	 12	      	 	T6	Simbad
     348	3429	149.8525	-24.9711	 14044	  42	 14768	 122	  503	   78	  17	 0.261	E499-G030    	 0.632	 -23.033	 -23.423	 -23.770	 260	  4	      	 	T6	Simbad
     349	3432	150.3548	-33.0243	 20598	  30	 20588	  55	  123	   90	   5	 0.513	             	 0.472	 -22.869	 -23.194	        	 260	 11	      	 	T6	Simbad
     350	3490	176.3340	-34.4338	 20417	  36	 20589	 101	  996	  158	  97	 0.374	             	 0.669	 -23.267	 -23.721	 -24.070	 307	  9	    84	R	T6	Simbad
     351	3492	179.0938	-33.5132	 17125	   0	 17174	 196	  481	  212	   6	 0.407	             	 0.421	 -22.765	 -23.042	        	    	   	      	 	T6	Simbad
     352	3494	179.2911	-32.1520	 20690	  39	 20566	 104	  208	  112	   4	 0.316	             	 0.848	 -22.267	 -22.821	 -23.299	 185	 26	      	 	T6	Simbad
     353	3497	180.0257	-31.3881	 20489	  49	 20413	  71	  761	   81	 112	 0.309	             	 0.648	 -22.673	 -23.107	 -23.567	 230	  9	   352	R	T6	Simbad
     354	3500	180.7318	-30.1275	 13249	  20	 13249	  20	     	     	   3	 0.313	             	 0.311	 -22.389	 -22.582	        	 225	 11	      	 	T6	Simbad
     355	3505	182.1788	-34.4436	 17322	  27	 17471	  91	  389	   84	  18	 0.330	             	 0.529	 -22.992	 -23.381	        	 247	 13	      	 	T6	Simbad
     356	3526	192.2039	-41.3117	  2904	  40	  3218	  58	  794	   43	 182	 0.492	N4696 15K    	 0.759	 -23.332	 -23.814	        	 288	 11	    21	R	T6	Simbad
     357	3528	193.5930	-29.0128	 16377	  51	 16330	  75	  961	   35	 160	 0.334	E443-G004 15K	 0.669	 -23.334	 -23.818	 -24.249	 364	 10	     7	R	T6	Simbad
     358	3530	193.9004	-30.3470	 16274	  81	 16338	 103	  716	   82	  48	 0.373	E443-G011 15K	 0.765	 -23.270	 -23.849	 -24.355	 292	 14	    72	R	T6	Simbad
     359	3531	194.2873	-32.9168	 23105	   0	 22910	 136	  409	  120	   9	 0.359	             	 0.845	 -22.593	 -23.144	        	    	   	      	 	T6	Simbad
     360	3532	194.3423	-30.3632	 16256	  34	 16641	  82	  734	   60	  79	 0.366	15K          	 0.724	 -23.086	 -23.635	 -24.184	 280	 15	   128	R	T6	Simbad
     361	3537	195.2530	-32.4414	  5072	   6	  4917	  54	  333	   30	  38	 0.403	E443-G024 15K	 0.527	 -23.057	 -23.410	 -23.769	 321	 11	      	 	T6	Simbad
     362	3542	197.1730	-34.5754	 10372	  34	 10372	  34	     	     	   2	 0.249	15K          	 0.279	 -22.450	 -22.637	        	 303	  9	      	 	T6	Simbad
     363	3548	198.5019	-44.1782	 15618	  42	 15759	 151	  566	  124	  14	 0.670	             	 0.385	 -22.690	 -22.938	        	 283	  7	      	 	T6	Simbad
     364	3549	198.5258	-29.4249	 22408	  33	 22586	 101	  227	   64	   5	 0.244	             	 0.491	 -22.152	        	        	 117	 50	      	 	T6	Simbad
     365	3552	199.7300	-31.8179	 15573	  25	 15354	 180	  903	  100	  25	 0.251	             	 0.571	 -22.731	 -23.119	        	 238	 11	      	 	T6	Simbad
     366	3553	199.8128	-37.1796	 14551	  29	 15172	  89	  448	   90	  25	 0.252	15K          	 0.444	 -22.452	 -22.731	        	 245	  9	      	 	T6	Simbad
     367	3554	199.8814	-33.4888	 14220	  67	 14648	  96	  562	   75	  34	 0.276	E382-G043 15K	 0.725	 -22.858	 -23.340	 -23.732	 263	 11	      	 	T6	Simbad
     368	3556	201.0282	-31.6708	 14424	  38	 14339	  48	  657	   46	 186	 0.259	E444-G025 15K	 0.598	 -23.383	 -23.788	        	 347	 12	   624	R	T6	Simbad
     369	3557	201.2298	-28.8877	 23405	  61	 23341	  78	  222	  230	   8	 0.256	             	 0.529	 -22.891	 -23.248	 -23.556	    	   	      	 	T6	Simbad
     370	3558	201.9855	-31.4963	 13986	  98	 14294	  64	 1002	   51	 240	 0.218	E444-G046 15K	 0.906	 -23.451	 -24.061	 -24.561	 282	 14	     4	C	T6	Simbad
     371	3559	202.4626	-29.5147	 14116	   8	 14134	  87	  688	   49	  62	 0.241	E444-G055 15K	 0.627	 -23.327	 -23.775	 -24.118	 313	  7	      	 	T6	Simbad
     372	3560	202.9722	-33.2346	  3705	   9	  3634	  75	  261	  131	  12	 0.240	N5193 15K    	 0.331	 -22.488	        	        	 234	  7	   159	R	T6	Simbad
     373	3562	203.3947	-31.6723	 14677	  38	 14605	  94	  966	   60	 105	 0.251	E444-G072 15K	 0.703	 -22.995	 -23.511	 -24.012	 263	  6	    38	C	T6	Simbad
     374	3563	203.4536	-42.5430	 21202	  31	 20264	 188	  777	  144	  17	 0.462	             	 0.362	 -22.527	 -22.759	        	 248	 13	      	 	T6	Simbad
     375	3564	203.7307	-35.0994	 14468	  44	 14958	 155	  490	  127	  10	 0.266	15K          	 0.457	 -22.826	 -23.096	 -23.197	 276	  5	      	 	T6	Simbad
     376	3565	204.1627	-33.9658	  3754	  50	  3848	  48	  414	   29	  73	 0.267	I4296 15K    	 0.551	 -23.224	 -23.613	        	 883	 29	      	 	T6	Simbad
     377	3570	206.6000	-37.9710	 11298	  36	 11146	  71	  530	   39	  55	 0.351	E325-G016 15K	 0.330	 -22.678	 -22.873	        	 284	 20	      	 	T6	Simbad
     378	3571	206.8684	-32.8644	 11563	  44	 11718	 107	 1128	   59	 111	 0.233	E383-G076 15K	 1.125	 -23.280	 -24.003	 -24.496	 313	 11	     0	C	T6	Simbad
     379	3572	207.0594	-33.3827	 12201	  28	 11830	 132	 1008	  111	  58	 0.235	15K          	 0.353	 -22.712	 -22.932	        	 239	  2	      	 	T6	Simbad
     380	3574	207.2720	-30.2958	  4538	  40	  4673	  53	  566	   29	 114	 0.261	I4329 15K    	 0.743	 -23.064	 -23.588	        	 239	 11	      	 	T6	Simbad
     381	3575	208.1598	-32.8881	 11132	  19	 11216	 131	  571	   99	  19	 0.247	15K          	 0.280	 -21.949	 -22.168	        	 283	 14	      	 	T6	Simbad
     382	3577	208.5615	-27.8481	 14776	  49	 14668	  94	  561	   59	  35	 0.297	             	 0.542	 -22.552	        	        	 297	  5	      	 	T6	Simbad
     383	3581	211.8730	-27.0186	  6531	  29	  6506	  61	  526	   47	  73	 0.263	I4374 15K    	 0.638	 -22.642	 -23.073	 -23.588	 283	  3	     1	C	T6	Simbad
     384	3599	216.9523	-23.5421	  7697	  44	  6978	 292	  773	  146	   7	 0.397	             	 0.160	 -21.329	        	        	 223	  5	      	 	T6	Simbad
     385	3603	218.3521	-31.8254	 18052	   0	 18128	 166	  471	  171	   8	 0.379	             	 0.494	 -22.996	 -23.326	        	    	   	      	 	T6	Simbad
     386	3605	218.7682	-28.4255	 20633	  33	 19335	 254	  623	  214	   6	 0.383	             	 0.675	 -22.933	 -23.390	 -23.795	 276	 12	      	 	T6	Simbad
     387	3615	225.7287	-80.5623	 20356	  47	 20356	 191	  506	    0	   7	 1.333	             	 0.579	 -23.236	 -23.647	        	 279	 20	      	 	T6	Simbad
     388	3651	298.0359	-55.0628	 17923	  28	 17958	  86	  777	   61	  81	 0.229	             	 0.730	 -23.302	 -23.757	 -24.049	 284	 15	      	 	T6	Simbad
     389	3656	300.2082	-38.5766	  5972	   6	  5835	  55	  386	   48	  48	 0.313	I4931 15K    	 0.574	 -23.001	 -23.444	 -23.948	 296	  3	      	 	T6	Simbad
     390	3667	303.1139	-56.8271	 16621	  51	 16558	  76	 1028	   59	 179	 0.210	I4965        	 0.768	 -23.320	 -23.843	 -24.261	 327	 13	   137	C	T6	Simbad
     391	3676	306.1021	-40.3665	 12124	  15	 12153	  57	  127	   90	   5	 0.184	E340-G025 15K	 0.468	 -22.872	 -23.164	        	 218	 29	      	 	T6	Simbad
     392	3677	306.5982	-33.3510	 13850	  47	 12388	 541	 1210	  607	   5	 0.303	15K          	 0.421	 -22.135	 -22.462	        	 223	 16	      	 	T6	Simbad
     393	3684	308.8428	-78.0939	 23036	   2	 23036	   2	     	     	   3	 0.682	             	 0.496	 -22.483	 -22.819	        	 294	 13	      	 	T6	Simbad
     394	3685	308.0675	-56.4277	 18632	  13	 18632	  13	     	     	   2	 0.252	             	 0.068	 -21.200	        	        	  96	 25	      	 	T6	Simbad
     395	3687	308.2502	-63.0292	 22898	  47	 22980	 126	  358	   85	   8	 0.306	             	 0.672	 -22.959	 -23.403	 -23.727	 251	  9	      	 	T6	Simbad
     396	3698	308.9842	-25.2792	  5817	  20	  5860	  59	  244	   60	  17	 0.194	N6936 15K    	 0.366	 -22.298	        	        	 285	  4	      	 	T6	Simbad
     397	3703	310.0072	-61.3338	 21551	  44	 21929	 100	  458	   76	  21	 0.231	             	 0.610	 -22.942	 -23.396	 -23.771	 234	  7	      	 	T6	Simbad
     398	3716	312.9867	-52.6300	 14046	  34	 13895	  72	  609	   49	  70	 0.158	E187-G026 15K	 0.719	 -22.988	 -23.483	 -23.842	 275	 10	   271	R	T6	Simbad
     399	3731	315.4248	-38.4983	 13860	  45	 13821	  78	  391	   47	  25	 0.193	             	 0.497	 -22.950	 -23.296	        	 276	  5	      	 	T6	Simbad
     400	3733	315.4961	-28.0596	 10990	  24	 11586	  75	  743	   52	  96	 0.495	N6999 15K    	 0.632	 -22.561	 -23.017	        	 314	 12	   182	R	T6	Simbad
     401	3736	316.2687	-43.4192	 14577	  33	 14340	 127	  311	  233	   6	 0.127	E286-G041 15K	 0.679	 -23.301	 -23.752	 -24.081	 282	  9	      	 	T6	Simbad
     402	3741	317.7610	-82.1486	 23114	   6	 23114	   6	     	     	   2	 0.774	             	 0.670	 -22.857	 -23.322	 -23.723	 229	  5	      	 	T6	Simbad
     403	3742	316.9678	-47.1787	  4811	  38	  5012	  38	  269	   29	  48	 0.143	N7014 15K    	 0.415	 -22.376	 -22.642	        	 287	  8	      	 	T6	Simbad
     404	3744	316.8175	-25.4690	 11005	  16	 11465	  68	  653	   37	  90	 0.277	N7016 15K    	 0.442	 -22.901	 -23.190	        	 287	  8	      	 	T6	Simbad
     405	3747	317.1622	-43.4864	  9317	   2	  9244	  83	  299	   50	  13	 0.133	E286-G059 15K	 0.436	 -22.631	 -22.916	        	 254	 12	      	 	T6	Simbad
     406	3753	318.6332	-26.7703	 21840	  57	 21840	  57	     	     	   2	 0.328	             	 0.169	 -21.916	        	        	 141	 37	      	 	T6	Simbad
     407	3764	321.5746	-34.7851	 23965	  39	 22696	  97	  781	   56	  64	 0.344	             	 0.463	 -22.861	 -23.197	        	 215	  6	      	 	T6	Simbad
     408	3771	322.4437	-50.7058	 22086	  39	 22642	 178	  536	  920	   9	 0.110	             	 0.612	 -22.853	 -23.240	 -23.573	 237	  5	      	 	T6	Simbad
     409	3781	323.6044	-66.8459	 17091	  60	 17050	  54	  122	   86	   5	 0.137	             	 0.501	 -21.893	 -22.182	        	    	   	      	 	T6	Simbad
     410	3782	323.7987	-62.0790	 16879	  36	 16999	 144	  557	  190	  15	 0.169	             	 0.619	 -23.088	 -23.506	 -23.854	 259	  5	      	 	T6	Simbad
     411	3785	323.5741	-53.6369	 22876	  60	 23492	 249	  897	  312	  13	 0.077	             	 0.541	 -23.335	 -23.704	 -23.994	 366	  6	      	 	T6	Simbad
     412	3796	324.8754	-51.3957	 22693	  58	 22898	  98	  197	    0	   4	 0.119	             	 0.610	 -22.770	 -23.214	 -23.613	 230	  7	      	 	T6	Simbad
     413	3799	325.7601	-72.6601	 13714	  54	 13591	 142	  493	  122	  12	 0.209	             	 0.471	 -22.211	 -22.553	 -22.855	 268	  6	      	 	T6	Simbad
     414	3806	326.5950	-57.2874	 22359	   3	 23005	 121	  991	   58	  67	 0.150	             	 0.772	 -23.346	 -23.848	 -24.260	 277	  0	    51	R	T6	Simbad
     415	3809	326.7465	-43.8992	 18642	  33	 18719	  55	  677	   39	 150	 0.078	             	 0.720	 -22.822	 -23.319	 -23.721	 246	  6	   116	R	T6	Simbad
     416	3816	327.8754	-55.3375	 11417	  46	 11573	  61	  354	   61	  33	 0.095	             	 0.544	 -22.622	 -23.009	 -23.353	 258	  5	      	 	T6	Simbad
     417	3822	328.7510	-57.6579	 23315	  51	 22720	 107	  942	   76	  77	 0.128	             	 0.628	 -23.052	 -23.455	 -23.777	 328	  6	      	 	T6	Simbad
     418	3825	329.5412	-60.2455	 21276	  54	 22431	 114	  865	   70	  57	 0.157	             	 0.448	 -22.916	 -23.216	 -23.477	    	   	  1064	R	T6	Simbad
     419	3826	330.1012	-56.1786	 22654	  48	 22654	  48	     	     	   1	 0.088	             	 0.712	 -23.313	 -23.758	 -24.093	 272	  6	      	 	T6	Simbad
     420	3844	333.3238	-34.6668	 21897	  31	 21903	  39	  154	   30	  15	 0.067	             	 0.366	 -21.851	 -22.157	        	 215	 17	      	 	T6	Simbad
     421	3851	334.2507	-52.5274	 16148	  21	 16116	  81	  345	   64	  18	 0.081	             	 0.508	 -22.815	 -23.163	 -23.471	 239	 10	      	 	T6	Simbad
     422	3869	335.1294	-55.1250	 11869	  10	 12294	 113	  253	  346	   5	 0.091	N7249 15K    	 0.379	 -22.736	 -22.981	        	 284	 13	      	 	T6	Simbad
     423	3879	336.9555	-69.0236	 19860	  26	 20060	  76	  474	   55	  39	 0.138	             	 0.484	 -22.624	 -22.931	 -23.169	 228	 14	      	 	T6	Simbad
     424	3880	336.9770	-30.5763	 17254	  29	 17279	  77	  854	   41	 122	 0.065	             	 0.751	 -22.936	 -23.403	 -23.716	 251	 13	    31	R	T6	Simbad
     425	3895	339.6907	-36.7444	 18018	  43	 17672	  94	  532	   54	  32	 0.069	             	 0.393	 -22.798	 -23.024	        	 295	  4	      	 	T6	Simbad
     426	3897	339.7978	-17.3416	 22269	  53	 22235	  96	  702	   67	  53	 0.153	             	 0.567	 -23.127	 -23.555	 -23.924	 341	 13	      	 	T6	Simbad
     427	3898	340.0435	-62.4152	 22061	  28	 22061	  28	     	     	   1	 0.107	             	 0.410	 -22.011	        	        	 212	 14	      	 	T6	Simbad
     428	3912	341.5412	-36.0013	 20168	  33	 20664	 124	  596	   71	  23	 0.055	             	 0.678	 -22.807	 -23.217	 -23.513	 245	 19	      	 	T6	Simbad
     429	3925	342.7925	-46.6728	 23289	  86	 23916	 189	  500	  194	   7	 0.045	             	 0.554	 -23.144	 -23.560	 -23.914	    	   	      	 	T6	Simbad
     430	4008	352.6255	-39.2813	 16415	  22	 16410	  56	  401	   49	  51	 0.077	             	 0.591	 -22.993	 -23.366	 -23.694	 270	 11	      	 	T6	Simbad
     431	4038	356.8679	-28.1096	  8201	  25	  8950	  68	  831	   35	 146	 0.081	I5353 15K    	 0.449	 -22.706	 -22.993	        	 274	  8	   137	C	T6	Simbad
     432	4049	357.9027	-28.3655	  8227	  34	  8817	  97	  768	   53	  62	 0.087	I5362 15K    	 0.512	 -22.848	 -23.239	        	 272	  9	      	 	T6	Simbad
     433	4059	359.2515	-34.7590	 14740	  39	 14740	  67	  830	   37	 151	 0.075	E349-G010 15K	 0.891	 -23.246	 -23.841	 -24.287	 289	  8	     8	C	T6	Simbad
