recno	Name	mue	re	n	mu0	r0	MAGS	MAGexp	MAGtot	S/e	alpha	elli	ello	PAi	PAo	MAGM	Simbad	NED	_RA	_DE
     304	A3100	21.92	 10.00	 2.11	     	     	-22.97	      	-22.97	     	 0.73	 0.32	 0.14	 67.0	  70.4	-22.33	Simbad	NED	048.458	-47.798
     305	A3104	18.96	  2.03	 3.22	21.38	21.04	-22.73	-24.11	-24.38	 0.28	 0.66	 0.25	 0.45	 63.0	  68.7	-22.77	Simbad	NED	048.602	-45.424
     306	A3107	20.72	  4.07	 3.28	22.92	25.49	-22.47	-22.96	-23.50	 0.63	 0.54	 0.19	 0.18	-30.2	 -44.7	-22.21	Simbad	NED	048.854	-42.737
     307	A3108	22.79	 12.73	 4.67	     	     	-23.04	      	-23.04	     	 0.58	 0.25	 0.36	 70.5	  65.7	-22.08	Simbad	NED	048.808	-47.633
     308	A3109	24.03	 47.17	 6.41	     	     	-24.81	      	-24.81	     	 0.71	 0.33	 0.16	 16.0	  22.2	-22.89	Simbad	NED	049.175	-43.850
     309	A3110	20.30	  6.54	 1.89	20.87	12.80	-23.67	-23.55	-24.36	 1.11	 0.61	 0.50	 0.39	 -2.1	  -2.1	-23.21	Simbad	NED	049.129	-50.900
     310	A3111	21.72	  7.84	 5.18	21.70	16.70	-23.18	-23.31	-24.00	 0.89	 0.75	 0.12	 0.14	 33.2	  62.9	-22.87	Simbad	NED	049.455	-45.707
     311	A3112	24.95	 71.55	 6.54	22.01	33.50	-24.87	-24.50	-25.45	 1.40	 0.88	 0.33	 0.59	  9.2	   6.7	-23.06	Simbad	NED	049.468	-44.243
     312	A3120	21.67	  8.16	 4.18	22.01	24.50	-23.03	-23.67	-24.15	 0.56	 0.79	 0.27	 0.48	-26.5	 -37.1	-22.57	Simbad	NED	050.471	-51.322
     313	A3122	20.51	  5.83	 5.78	22.82	27.10	-23.76	-23.20	-24.27	 1.68	 0.60	 0.27	 0.39	 38.0	  61.4	-22.96	Simbad	NED	050.545	-41.337
     314	A3123	18.69	  1.70	 3.60	20.69	 8.10	-22.63	-22.68	-23.41	 0.95	 0.54	 0.33	 0.34	-81.9	 -64.7	-22.65	Simbad	NED	050.737	-52.023
     315	A3125	19.83	  2.86	 3.04	21.83	 9.70	-22.52	-21.92	-23.01	 1.73	 0.49	 0.07	 0.13	 -2.9	 -34.0	-22.46	Simbad	NED	051.842	-53.510
     316	A3128	23.58	 32.96	 6.10	     	     	-24.45	      	-24.45	     	 0.67	 0.19	 0.20	 11.3	  25.5	-22.99	Simbad	NED	052.644	-52.553
     317	A3133	24.37	 25.14	 6.80	     	     	-23.18	      	-23.18	     	 0.59	 0.25	 0.36	-26.8	 -29.0	-21.82	Simbad	NED	053.183	-45.948
     318	A3135	22.71	 14.77	 5.88	     	     	-23.56	      	-23.56	     	 0.56	 0.13	 0.27	 33.2	  51.3	-22.57	Simbad	NED	053.515	-39.014
     319	A3142	20.80	  5.23	 3.32	21.92	17.64	-22.94	-23.16	-23.81	 0.81	 0.64	 0.21	 0.30	-12.1	 -21.4	-22.71	Simbad	NED	054.175	-39.803
     320	A3144	22.52	 11.20	 7.35	     	     	-23.20	      	-23.20	     	 0.48	 0.14	 0.12	-69.1	 -26.7	-22.38	Simbad	NED	054.346	-55.105
     321	A3151	18.38	  1.22	 2.70	21.27	11.10	-22.09	-22.81	-23.27	 0.52	 0.70	 0.09	 0.28	-67.3	 -17.0	-22.33	Simbad	NED	055.113	-28.672
     322	A3152	23.10	 20.44	 6.29	     	     	-24.05	      	-24.05	     	 0.56	 0.32	 0.34	  0.9	   2.6	-22.59	Simbad	NED	055.092	-32.573
     323	A3153	23.84	 25.55	 5.78	     	     	-23.85	      	-23.85	     	 0.71	 0.16	 0.39	 87.1	  92.6	-22.56	Simbad	NED	055.236	-34.275
     324	A3158	23.45	 30.76	 6.02	     	     	-24.43	      	-24.43	     	 0.73	 0.11	 0.14	 63.3	  59.7	-23.06	Simbad	NED	055.665	-53.631
     325	A3164	23.18	 20.63	 7.04	     	     	-23.91	      	-23.91	     	 0.59	 0.10	 0.20	-59.8	  30.3	-22.94	Simbad	NED	056.570	-57.036
     326	A3188	19.77	  2.00	 6.02	     	     	-22.19	      	-22.19	     	 0.32	 0.20	 0.28	-50.7	 -66.8	-21.40	Simbad	NED	059.442	-27.040
     327	A3193	23.10	 19.45	 6.49	     	     	-23.72	      	-23.72	     	 0.54	 0.10	 0.24	-82.5	  87.3	-22.57	Simbad	NED	059.554	-52.342
     328	A3195	23.28	 22.96	 5.99	     	     	-24.02	      	-24.02	     	 0.67	 0.32	 0.39	 64.0	  60.6	-22.72	Simbad	NED	059.796	-35.175
     329	A3223	20.01	  4.49	 1.84	21.61	16.00	-23.06	-23.23	-23.90	 0.85	 0.56	 0.26	 0.26	  0.6	  -6.8	-22.98	Simbad	NED	062.144	-30.819
     330	A3225	19.61	  2.40	 0.93	20.28	 7.50	-21.74	-22.88	-23.21	 0.35	 0.64	 0.13	 0.16	-11.3	  -8.0	-22.68	Simbad	NED	062.310	-59.593
     331	A3229	20.06	  2.40	 2.07	     	     	-21.54	      	-21.54	     	 0.24	 0.46	 0.48	-78.7	 -85.9	-21.07	Simbad	NED	062.783	-62.722
     332	A3231	22.28	  7.98	 5.56	     	     	-22.69	      	-22.69	     	 0.49	 0.07	 0.15	 84.4	  84.5	-21.90	Simbad	NED	062.967	-64.607
     333	A3234	21.60	  7.72	 4.93	     	     	-23.41	      	-23.41	     	 0.49	 0.20	 0.13	 27.9	  33.3	-22.55	Simbad	NED	063.384	-45.931
     334	A3266	20.23	  4.04	 5.59	21.02	26.10	-23.20	-24.89	-25.09	 0.21	 0.83	 0.12	 0.31	 77.4	  63.4	-23.19	Simbad	NED	067.800	-61.406
     335	A3301	21.83	 13.08	 3.11	23.26	80.22	-23.81	-25.06	-25.36	 0.32	 0.81	 0.07	 0.37	-45.8	 -42.7	-23.15	Simbad	NED	075.274	-38.733
     336	A3332	20.94	  5.94	 4.12	23.16	36.36	-23.24	-23.55	-24.16	 0.75	 0.52	 0.12	 0.44	 48.5	  47.7	-22.83	Simbad	NED	079.142	-42.213
     337	A3336	22.95	 20.24	 4.12	23.28	42.50	-23.90	-23.77	-24.59	 1.12	 0.82	 0.22	 0.34	 19.5	  17.8	-22.82	Simbad	NED	080.377	-40.847
     338	A3341	21.09	  4.95	 6.06	21.71	16.80	-22.72	-23.14	-23.70	 0.68	 0.72	 0.21	 0.33	 11.8	  21.7	-22.44	Simbad	NED	081.235	-31.478
     339	A3351	21.63	  7.82	 6.25	     	     	-23.43	      	-23.43	     	 0.52	 0.10	 0.06	-34.1	  71.5	-22.58	Simbad	NED	082.926	-38.326
     340	A3354	20.15	  3.80	 2.38	22.75	22.40	-22.69	-22.82	-23.51	 0.89	 0.47	 0.09	 0.15	  3.9	   1.2	-22.63	Simbad	NED	083.662	-28.502
     341	A3367	21.91	 10.08	 3.46	     	     	-23.19	      	-23.19	     	 0.39	 0.27	 0.35	 52.1	  54.9	-22.24	Simbad	NED	087.337	-24.468
     342	A3374	14.82	  0.24	 2.79	19.08	 4.00	-22.02	-22.67	-23.14	 0.55	 0.46	 0.44	 0.40	-70.5	 -70.6	-22.17	Simbad	NED	089.229	-21.262
     343	A3376	20.91	  7.24	 2.87	22.28	30.50	-23.37	-23.91	-24.43	 0.61	 0.68	 0.28	 0.44	 64.4	  67.9	-22.87	Simbad	NED	090.182	-40.050
     344	A3380	21.71	  7.91	 5.38	23.40	56.80	-23.12	-24.16	-24.51	 0.38	 0.58	 0.07	 0.41	 81.2	  69.2	-22.56	Simbad	NED	091.737	-49.492
     345	A3381	24.08	 29.06	 6.45	     	     	-23.60	      	-23.60	     	 0.64	 0.11	 0.18	 36.0	  29.9	-22.28	Simbad	NED	092.475	-33.600
     346	A3389	21.84	 13.47	 3.07	     	     	-23.77	      	-23.77	     	 0.69	 0.18	 0.16	 60.3	  19.8	-22.88	Simbad	NED	095.447	-64.960
     347	A3390	21.20	  5.15	 5.65	21.91	15.90	-22.66	-22.83	-23.50	 0.86	 0.65	 0.04	 0.12	-79.5	 -75.0	-22.55	Simbad	NED	096.254	-37.347
     348	A3391	22.44	 22.42	 3.31	     	     	-24.41	      	-24.41	     	 0.74	 0.24	 0.38	 76.1	  45.6	-23.15	Simbad	NED	096.564	-53.681
     349	A3395	26.19	202.47	 5.78	     	     	-25.71	      	-25.71	     	 0.88	 0.38	 0.57	-56.2	 -63.4	-22.56	Simbad	NED	096.880	-54.399
     350	A3404	24.18	 56.46	 3.28	     	     	-25.09	      	-25.09	     	 1.14	 0.29	 0.39	 66.6	  70.6	-22.94	Simbad	NED	101.383	-54.205
     351	A3407	25.64	 99.66	 7.87	     	     	-24.90	      	-24.90	     	 0.74	 0.08	 0.02	-88.9	  34.5	-22.84	Simbad	NED	106.254	-49.077
     352	A3408	22.46	 16.24	 5.78	23.25	46.90	-23.93	-23.85	-24.64	 1.07	 0.64	 0.08	 0.33	-43.7	 -39.8	-23.02	Simbad	NED	107.129	-49.215
     353	A3420	20.70	  4.42	 4.85	23.22	19.60	-22.86	-22.08	-23.29	 2.06	 0.44	 0.20	 0.22	 38.7	  38.8	-22.42	Simbad	NED	143.037	-24.888
     354	A3429	24.66	 53.10	 7.04	     	     	-24.43	      	-24.43	     	 0.70	 0.21	 0.47	 39.7	  38.8	-22.67	Simbad	NED	149.850	-24.973
     355	A3490	21.28	  6.22	 4.81	22.69	26.70	-23.17	-23.43	-24.06	 0.79	 0.67	 0.13	 0.26	 37.5	  57.1	-22.73	Simbad	NED	176.325	-34.445
     356	A3497	24.02	 32.71	 5.46	     	     	-23.97	      	-23.97	     	 0.75	 0.18	 0.29	 50.6	  43.8	-22.47	Simbad	NED	180.012	-31.395
     357	A3528	22.24	 14.03	 5.15	22.33	36.20	-23.91	-24.36	-24.91	 0.66	 0.68	 0.17	 0.47	  0.2	  -5.8	-23.16	Simbad	NED	193.576	-29.021
     358	A3530	22.94	 17.98	 5.71	21.47	25.30	-23.80	-24.43	-24.91	 0.56	 0.80	 0.23	 0.45	-54.7	 -34.6	-23.05	Simbad	NED	193.900	-30.353
     359	A3531	22.03	  4.76	 6.10	21.98	17.50	-21.76	-23.02	-23.31	 0.31	 0.85	 0.37	 0.51	 15.9	  15.3	-21.71	Simbad	NED	194.283	-32.920
     360	A3532	22.33	 11.85	 5.65	22.40	42.40	-23.51	-24.64	-24.97	 0.36	 0.76	 0.15	 0.39	 64.5	  79.2	-22.89	Simbad	NED	194.330	-30.370
     361	A3537	22.17	 17.15	 5.52	     	     	-23.84	      	-23.84	     	 0.57	 0.31	 0.27	-12.5	 -26.0	-22.70	Simbad	NED	195.257	-32.439
     362	A3549	21.91	  8.42	 5.26	     	     	-23.05	      	-23.05	     	 0.45	 0.29	 0.26	  3.1	   3.0	-22.14	Simbad	NED	198.587	-29.448
     363	A3549	23.03	 11.69	 5.81	     	     	-22.78	      	-22.78	     	 0.58	 0.10	 0.09	-68.2	  69.6	-21.95	Simbad	NED	198.587	-29.448
     364	A3552	22.27	 20.56	 6.02	     	     	-24.70	      	-24.70	     	 0.60	 0.08	 0.06	 22.3	  87.4	-22.58	Simbad	NED	199.721	-31.813
     365	A3553	22.33	  9.53	 4.00	     	     	-22.81	      	-22.81	     	 0.56	 0.04	 0.09	-88.9	  47.3	-22.22	Simbad	NED	199.808	-37.180
     366	A3554	23.55	 20.03	 5.78	21.46	20.20	-23.39	-23.91	-24.43	 0.62	 0.82	 0.24	 0.34	-35.6	 -49.2	-22.68	Simbad	NED	199.875	-33.478
     367	A3556	22.15	 18.39	 4.05	     	     	-24.42	      	-24.42	     	 0.68	 0.32	 0.14	-35.9	 -40.1	-23.18	Simbad	NED	201.026	-31.661
     368	A3559	24.73	112.07	 4.63	     	     	-25.76	      	-25.76	     	 0.99	 0.13	 0.35	-22.8	 -21.0	-23.26	Simbad	NED	202.475	-29.525
     369	A3559	18.15	  1.61	 4.88	20.60	14.10	-23.22	-23.98	-24.42	 0.50	 0.61	 0.19	 0.42	 28.4	  47.3	-23.18	Simbad	NED	202.475	-29.525
     370	A3560	20.62	  5.86	 3.57	     	     	-22.54	      	-22.54	     	 0.46	 0.21	 0.07	 72.8	 -45.3	-22.11	Simbad	NED	203.092	-33.090
     371	A3562	22.28	 15.39	 2.92	22.96	72.90	-23.74	-25.21	-25.46	 0.26	 0.80	 0.20	 0.57	 89.7	  84.0	-22.88	Simbad	NED	203.382	-31.673
     372	A3564	21.93	  7.10	 5.78	     	     	-22.78	      	-22.78	     	 0.43	 0.13	 0.05	-50.0	 -41.9	-22.20	Simbad	NED	203.592	-35.223
     373	A3564	21.95	 10.15	 4.13	     	     	-23.35	      	-23.35	     	 0.54	 0.14	 0.11	 -0.8	 -12.5	-22.62	Simbad	NED	203.592	-35.223
     374	A3565	23.47	 36.59	 7.75	     	     	-24.10	      	-24.10	     	 0.64	 0.09	 0.05	 60.3	   8.7	-22.76	Simbad	NED	204.162	-33.972
     375	A3570	20.62	  4.88	 4.22	     	     	-22.99	      	-22.99	     	 0.39	 0.15	 0.12	  5.2	  73.2	-22.50	Simbad	NED	206.708	-37.917
     376	A3571	25.51	232.87	 4.57	     	     	-26.54	      	-26.54	     	 1.16	 0.24	 0.64	  1.7	   3.8	-23.14	Simbad	NED	206.870	-32.866
     377	A3572	21.12	  6.30	 5.68	     	     	-23.22	      	-23.22	     	 0.40	 0.07	 0.12	 30.0	 -64.2	-22.61	Simbad	NED	207.046	-33.382
     378	A3574	22.15	 11.42	 6.17	20.69	17.80	-22.94	-23.74	-24.17	 0.48	 0.76	 0.14	 0.45	 68.6	  67.2	-22.64	Simbad	NED	207.152	-30.504
     379	A3575	20.94	  3.70	 5.99	     	     	-22.24	      	-22.24	     	 0.32	 0.07	 0.13	-66.8	 -63.9	-21.78	Simbad	NED	208.146	-32.880
     380	A3581	25.38	 74.80	 8.20	     	     	-24.22	      	-24.22	     	 0.65	 0.13	 0.34	-65.4	 -70.8	-22.41	Simbad	NED	211.865	-27.021
     381	A3605	21.58	 10.17	 1.46	23.35	56.40	-23.20	-24.27	-24.62	 0.37	 0.90	 0.10	 0.22	 59.0	  51.9	-22.80	Simbad	NED	218.758	-28.335
     382	A3626	22.10	 10.36	 1.05	     	     	-22.55	      	-22.55	     	 0.78	 0.31	 0.41	 19.5	  32.7	-21.97	Simbad	NED	245.387	-83.788
     383	A3631	21.57	  6.64	 0.81	     	     	-22.01	      	-22.01	     	 0.49	 0.31	 0.25	-50.9	 -52.7	-21.66	Simbad	NED	278.533	-78.797
     384	A3651	22.29	 19.27	 2.46	     	     	-24.10	      	-24.10	     	 0.91	 0.13	 0.19	-34.1	 -34.8	-23.08	Simbad	NED	298.045	-55.088
     385	A3656	24.07	 41.74	 8.00	     	     	-24.45	      	-24.45	     	 0.61	 0.17	 0.18	-55.5	 -67.1	-22.84	Simbad	NED	299.725	-38.345
     386	A3667	20.88	  7.19	 1.47	22.01	32.00	-23.09	-24.32	-24.62	 0.32	 0.90	 0.17	 0.36	 67.9	 -46.1	-23.03	Simbad	NED	303.140	-56.841
     387	A3677	22.02	  8.90	 4.78	     	     	-22.96	      	-22.96	     	 0.47	 0.23	 0.31	-45.7	 -42.1	-22.11	Simbad	NED	306.587	-33.352
     388	A3687	25.22	 71.69	 6.99	     	     	-24.63	      	-24.63	     	 0.72	 0.22	 0.38	-46.5	 -44.2	-22.57	Simbad	NED	308.346	-63.030
     389	A3698	21.89	 10.61	 6.37	     	     	-23.16	      	-23.16	     	 0.42	 0.31	 0.44	  8.4	   5.4	-22.13	Simbad	NED	308.992	-25.277
     390	A3703	23.23	 19.73	 6.13	23.09	41.10	-23.73	-23.84	-24.54	 0.90	 0.70	 0.22	 0.47	-87.8	  79.9	-22.59	Simbad	NED	310.211	-61.214
     391	A3716	22.34	 11.69	 5.88	21.57	20.00	-23.39	-23.74	-24.33	 0.73	 0.78	 0.05	 0.32	 63.5	  56.7	-22.91	Simbad	NED	312.820	-52.695
     392	A3731	20.21	  4.32	 3.04	22.32	23.17	-22.99	-23.28	-23.90	 0.77	 0.56	 0.11	 0.30	-13.0	  -0.3	-22.80	Simbad	NED	315.221	-38.653
     393	A3733	20.21	  2.79	 1.22	21.23	11.40	-21.47	-22.71	-23.01	 0.32	 0.64	 0.13	 0.20	  7.3	  -2.2	-22.16	Simbad	NED	315.458	-28.115
     394	A3736	24.14	 65.96	 5.85	     	     	-25.33	      	-25.33	     	 0.79	 0.31	 0.48	 24.4	  23.9	-23.24	Simbad	NED	315.825	-43.318
     395	A3742	21.57	  8.81	 7.04	     	     	-23.01	      	-23.01	     	 0.45	 0.28	 0.14	-46.5	 -39.1	-22.15	Simbad	NED	316.671	-47.148
     396	A3744	22.33	 12.68	 6.37	     	     	-23.48	      	-23.48	     	 0.55	 0.02	 0.11	 39.8	  12.8	-22.65	Simbad	NED	316.807	-25.482
     397	A3747	22.21	 13.72	 4.35	     	     	-23.61	      	-23.61	     	 0.54	 0.35	 0.41	 38.7	  25.9	-22.52	Simbad	NED	317.171	-43.497
     398	A3756	22.03	 10.94	 5.18	     	     	-23.49	      	-23.49	     	 0.50	 0.22	 0.31	-37.2	 -43.4	-22.60	Simbad	NED	318.933	-42.608
     399	A3764	22.36	 12.13	 6.25	     	     	-23.60	      	-23.60	     	 0.56	 0.12	 0.23	-68.2	 -31.7	-22.70	Simbad	NED	321.450	-34.717
     400	A3771	19.25	  2.00	 2.44	21.84	14.90	-22.28	-22.92	-23.40	 0.56	 0.58	 0.16	 0.26	 21.6	  10.3	-22.44	Simbad	NED	322.375	-50.813
     401	A3775	18.69	  1.56	 2.56	20.44	 8.30	-22.44	-23.16	-23.61	 0.51	 0.61	 0.20	 0.04	 -4.3	  84.7	-22.63	Simbad	NED	322.899	-43.284
     402	A3781	22.30	  7.13	 6.10	     	     	-22.40	      	-22.40	     	 0.56	 0.05	 0.24	 72.8	  39.8	-21.74	Simbad	NED	323.654	-66.843
     403	A3782	22.70	 16.45	 5.56	23.07	36.40	-23.75	-23.54	-24.41	 1.22	 0.70	 0.08	 0.37	-20.2	 -52.9	-22.89	Simbad	NED	323.629	-62.027
     404	A3785	22.46	 16.31	 5.62	     	     	-24.07	      	-24.07	     	 0.61	 0.15	 0.14	  5.2	 -13.3	-23.05	Simbad	NED	323.617	-53.627
     405	A3796	21.98	  8.89	 5.26	22.47	23.20	-23.19	-23.24	-23.97	 0.95	 0.65	 0.22	 0.32	-27.8	 -43.8	-22.60	Simbad	NED	324.875	-51.383
     406	A3806	21.05	  8.54	 1.44	22.26	31.00	-23.36	-24.08	-24.53	 0.52	 0.90	 0.14	 0.21	 67.4	  62.2	-23.12	Simbad	NED	326.658	-57.285
     407	A3809	26.22	144.88	 7.30	     	     	-25.16	      	-25.16	     	 0.81	 0.13	 0.44	 87.0	  88.9	-22.70	Simbad	NED	326.740	-43.902
     408	A3822	24.77	 66.64	 6.41	     	     	-24.87	      	-24.87	     	 0.68	 0.30	 0.37	-22.8	 -19.0	-22.87	Simbad	NED	328.526	-57.847
     409	A3825	17.26	  0.61	 4.05	20.68	 4.40	-21.79	-21.26	-22.31	 1.62	 0.28	 0.34	 0.26	-46.8	 -67.6	-21.53	Simbad	NED	329.593	-60.394
     410	A3826	22.59	 26.06	 3.19	     	     	-24.65	      	-24.65	     	 0.81	 0.35	 0.38	-22.6	 -23.0	-23.17	Simbad	NED	329.975	-56.160
     411	A3836	22.31	 15.43	 4.98	22.58	64.40	-24.16	-25.49	-25.77	 0.29	 0.80	 0.15	 0.43	-45.5	 -23.7	-23.30	Simbad	NED	332.400	-51.842
     412	A3837	23.70	 21.38	 6.67	     	     	-23.56	      	-23.56	     	 0.58	 0.14	 0.16	  7.2	   0.7	-22.45	Simbad	NED	332.304	-27.329
     413	A3844	20.25	  2.77	 4.37	24.30	56.02	-22.28	-23.32	-23.67	 0.38	 0.41	 0.13	 0.21	 57.3	 107.8	-21.75	Simbad	NED	333.375	-34.752
     414	A3851	20.01	  3.52	 1.16	20.95	11.90	-22.29	-23.23	-23.61	 0.42	 0.56	 0.28	 0.27	-88.6	  78.1	-22.68	Simbad	NED	334.175	-52.583
     415	A3864	26.28	226.18	 6.67	     	     	-26.15	      	-26.15	     	 0.88	 0.25	 0.58	-45.9	 -44.6	-23.18	Simbad	NED	335.038	-52.467
     416	A3869	21.94	 10.51	 6.41	     	     	-23.50	      	-23.50	     	 0.45	 0.19	 0.27	-51.1	 -52.5	-22.61	Simbad	NED	335.358	-55.132
     417	A3879	19.19	  2.12	 3.89	21.61	11.50	-22.67	-22.55	-23.36	 1.13	 0.56	 0.23	 0.25	-52.4	 -37.5	-22.42	Simbad	NED	336.950	-69.033
     418	A3880	23.46	 31.92	 3.83	     	     	-24.24	      	-24.24	     	 0.89	 0.05	 0.38	 20.9	 -37.4	-22.85	Simbad	NED	336.956	-30.578
     419	A3886	22.04	 11.71	 5.05	     	     	-23.69	      	-23.69	     	 0.54	 0.20	 0.15	 -2.7	   5.1	-22.74	Simbad	NED	337.917	-54.743
     420	A3895	23.38	 25.51	 3.91	     	     	-23.85	      	-23.85	     	 0.75	 0.23	 0.36	  2.5	  -6.2	-22.61	Simbad	NED	339.631	-36.787
     421	A3912	21.36	  7.55	 0.99	21.97	16.90	-22.57	-23.02	-23.57	 0.66	 0.91	 0.17	 0.26	 34.8	  15.8	-22.62	Simbad	NED	341.602	-36.073
     422	A3915	22.41	 12.82	 6.45	23.36	29.33	-23.74	-22.95	-24.17	 2.08	 0.71	 0.17	 0.29	 86.9	  87.3	-22.85	Simbad	NED	341.904	-52.052
     423	A3959	17.17	  0.62	 3.18	20.67	 6.00	-21.92	-22.07	-22.75	 0.87	 0.46	 0.42	 0.45	 22.6	  20.3	-21.72	Simbad	NED	345.513	-33.448
     424	A3969	21.92	 11.74	 4.78	     	     	-24.00	      	-24.00	     	 0.67	 0.13	 0.08	-24.5	-106.5	-23.02	Simbad	NED	346.404	-44.147
     425	A3985	23.46	 38.82	 3.07	     	     	-24.74	      	-24.74	     	 0.92	 0.44	 0.61	 30.5	  30.4	-22.55	Simbad	NED	348.990	-23.327
     426	A4008	22.76	 21.08	 4.29	     	     	-24.10	      	-24.10	     	 0.71	 0.22	 0.34	 57.3	  51.8	-22.91	Simbad	NED	352.571	-39.323
     427	A4038	23.76	 31.17	 7.41	     	     	-23.96	      	-23.96	     	 0.57	 0.15	 0.36	-39.3	 -47.1	-22.60	Simbad	NED	356.880	-28.203
     428	A4049	21.75	  9.04	 5.32	23.39	43.40	-23.26	-23.48	-24.12	 0.81	 0.57	 0.08	 0.12	 66.6	  47.8	-22.71	Simbad	NED	358.184	-28.570
     429	A4053	21.81	  9.74	 7.35	     	     	-23.63	      	-23.63	     	 0.51	 0.10	 0.12	-85.0	 -71.0	-22.71	Simbad	NED	358.689	-27.681
     430	A4059	24.17	 77.05	 4.41	     	     	-25.49	      	-25.49	     	 0.98	 0.22	 0.41	-22.1	 -23.2	-23.21	Simbad	NED	359.170	-34.672
