name,in_void_SDSS,kappa_2phase
PGC24121,0.0,1.144891485028761e-05
PGC24152,0.0,1.4967109745851537e-05
PGC24156,0.0,1.5311232504980553e-05
PGC24158,0.0,-2.007733116168141e-06
PGC24160,1.0,3.3391477299080894e-06
PGC24169,0.0,2.4935231449931406e-05
PGC24178,0.0,2.721382723230743e-06
PGC24180,1.0,4.8711424993354604e-05
PGC24188,1.0,2.2396282140154847e-05
PGC24190,0.0,-2.9562679732405815e-05
PGC24201,1.0,-1.0839533311618812e-05
PGC24208,0.0,3.828878373687507e-05
PGC24233,0.0,4.0989515955371855e-05
PGC24234,0.0,1.5670238883687473e-05
PGC24235,0.0,2.5743254491985606e-06
PGC24244,0.0,8.346195708322286e-06
PGC24251,1.0,1.4576492429581223e-05
PGC24286,0.0,1.5040347670214834e-05
PGC24288,0.0,1.2736189189038945e-05
PGC24299,0.0,-1.435467133734721e-06
PGC24301,1.0,2.4403626604161834e-05
PGC24308,0.0,2.3105784462712193e-05
PGC24324,0.0,-5.3248324139330905e-05
PGC24325,0.0,-4.300242297030859e-06
PGC24333,0.0,3.32568716532949e-06
PGC24334,0.0,-3.0197604231417192e-05
PGC24340,0.0,1.4929713572105703e-05
PGC24348,0.0,2.6320557128605435e-05
PGC24351,0.0,5.68067637690116e-07
PGC24354,0.0,8.450111496057946e-06
PGC24368,1.0,1.724366713708406e-05
PGC24372,0.0,1.0415765500673346e-05
PGC24374,0.0,4.018656106748223e-06
PGC24392,0.0,-3.94892936118754e-06
PGC24394,1.0,4.4320481775881e-06
PGC24400,0.0,6.559261941324837e-06
PGC24406,0.0,2.8129797369771506e-05
PGC24412,0.0,-3.437586984496041e-05
PGC24425,0.0,4.076952144184819e-06
PGC24430,1.0,4.514238899006183e-06
PGC24431,0.0,8.032861549290167e-06
PGC24446,0.0,-7.81730005171692e-06
PGC24463,0.0,3.2569630974771122e-06
PGC24467,0.0,1.1578717183839187e-05
PGC24470,1.0,2.2392292489320834e-06
PGC24480,0.0,-2.9620512917164238e-05
PGC24483,0.0,3.609123114471141e-05
PGC24485,1.0,1.7143161709447968e-05
PGC24490,1.0,3.6244048129456963e-06
PGC24491,0.0,7.386156560754342e-07
PGC24492,0.0,-1.086861557322963e-05
PGC24495,1.0,2.236330498559512e-05
PGC24496,0.0,-5.997442969654055e-05
PGC24509,0.0,2.7374543709474228e-06
PGC24515,1.0,2.0308188056631322e-05
PGC24521,1.0,1.239325850603451e-05
PGC24530,1.0,2.6160945950623067e-06
PGC24532,0.0,-7.455981875970517e-06
PGC24547,0.0,1.4722235493546791e-05
PGC24548,0.0,1.5353636902410504e-05
PGC24551,1.0,1.3010213119205788e-05
PGC24557,0.0,1.560215640776521e-05
PGC24566,0.0,1.5566532311189542e-05
PGC24567,0.0,1.292082727296384e-05
PGC24569,0.0,1.0551344638602619e-05
PGC24573,0.0,1.2609287803480242e-05
PGC24575,0.0,-1.452401647316371e-05
PGC24577,0.0,-5.5310248314538796e-05
PGC24591,0.0,2.0789493608922776e-05
PGC24595,0.0,1.5960620788972402e-05
PGC24597,0.0,-5.597017315516217e-05
PGC24605,1.0,-5.234919741174653e-05
PGC24613,1.0,9.243794781242588e-06
PGC24621,1.0,3.875405831853186e-05
PGC24622,0.0,3.33508748129429e-06
PGC24627,0.0,3.7199519021445133e-06
PGC24629,1.0,8.178537836737825e-06
PGC24631,1.0,8.085496540386923e-06
PGC24643,1.0,2.635795958870448e-06
PGC24653,0.0,-1.5903232787684684e-05
PGC24669,1.0,-1.2341478417569556e-06
PGC24683,0.0,-5.155056833909573e-05
PGC24684,0.0,-1.667289617688096e-05
PGC24691,0.0,-8.964369879416162e-07
PGC24698,0.0,1.17210825239996e-05
PGC24705,1.0,1.9339893628514386e-06
PGC24707,0.0,1.663586786409157e-05
PGC24720,0.0,-3.6854562785082185e-05
PGC24725,1.0,3.6487164696113403e-06
PGC24726,1.0,1.1170133325868922e-05
PGC24728,0.0,-2.7753091309080465e-05
PGC24752,1.0,3.605142146224244e-05
PGC24770,0.0,-2.2856621958426892e-05
PGC24771,1.0,-2.6936662117949155e-06
PGC24779,0.0,-8.309631537662377e-08
PGC24784,0.0,1.920629890377853e-06
PGC24788,0.0,-5.004132200678379e-06
PGC24790,0.0,4.911065719877898e-06
PGC24813,0.0,2.3309566534197142e-05
PGC24828,0.0,-9.069214152676548e-06
PGC24829,1.0,2.5195069036640585e-06
PGC24830,0.0,2.5330285093433825e-05
PGC24839,1.0,2.212619863514734e-05
PGC24841,0.0,1.529206285152014e-05
PGC24849,0.0,-1.77260875261742e-05
PGC24852,1.0,4.758926831183388e-05
PGC24873,0.0,8.223750778131486e-05
PGC24874,1.0,6.161140397479866e-05
PGC24883,0.0,2.608013988532525e-05
PGC24895,1.0,2.1962848958472587e-06
PGC24902,0.0,7.998702613689477e-06
PGC24908,0.0,-7.652406336766126e-08
PGC24909,0.0,5.4990833613303e-06
PGC24910,0.0,4.7926021451271576e-06
PGC24930,0.0,3.6256460736730723e-07
PGC24932,0.0,-5.8098224093003924e-05
PGC24943,1.0,1.6570443063235198e-05
PGC24956,0.0,3.480279651806745e-05
PGC24960,1.0,2.138504597089897e-05
PGC24961,0.0,6.560411144000988e-07
PGC24965,0.0,-3.702550745666472e-07
PGC24977,0.0,2.2672780777493253e-05
PGC24980,0.0,1.0352441093218573e-05
PGC24981,0.0,-5.902635295156357e-05
PGC24982,0.0,5.49926488442327e-06
PGC24989,1.0,9.786548534826369e-06
PGC24991,0.0,3.05944636543494e-05
PGC24994,1.0,-2.554290740081531e-05
PGC25000,0.0,7.472488702036592e-06
PGC25005,0.0,-5.733994235106628e-06
PGC25007,0.0,2.551143585438385e-06
PGC25012,0.0,3.0440525969661137e-06
PGC25020,1.0,7.504363041295476e-07
PGC25021,0.0,3.601924142931098e-05
PGC25026,0.0,-5.182164373443957e-05
PGC25037,1.0,3.191625834156101e-05
PGC25058,0.0,2.0800939333630184e-05
PGC25061,1.0,2.2094354611922108e-05
PGC25068,0.0,2.2495549917370576e-05
PGC25074,1.0,6.190833450226485e-05
PGC25077,0.0,7.158991055315954e-06
PGC25080,0.0,5.064201912183822e-06
PGC25083,0.0,2.3228145045763427e-05
PGC25085,0.0,6.610786025002798e-06
PGC25090,0.0,1.4737922692902655e-05
PGC25111,1.0,6.703511139717578e-06
PGC25122,0.0,-2.280462009313714e-05
