name,v_pec_lin_kms,kappa_los,kappa_2phase,dlnn_dlnr,in_void_VoidFinder,in_void_REVOLVER
PGC20919,-76.18374303207897,-4.3045284744161564e-05,0.00016157869333007725,4.140623678474156,0.0,0.0
PGC21226,120.12848802295677,-3.139452800050615e-05,0.00018310872696022942,3.6068775645133555,0.0,0.0
PGC21493,-75.8076800822875,1.9300943503597663e-05,8.703789941672991e-05,0.12145780931241737,0.0,0.0
PGC21579,-69.7583344040033,2.0312680295642313e-05,8.65431476016144e-05,-0.035169802445579865,0.0,0.0
PGC21598,24.595935676029544,4.499962269217161e-06,0.00010678017487110791,5.063453138062107,0.0,0.0
PGC21750,-187.70211812788122,1.9155294875388595e-06,0.0001183620669725292,12.54101426868082,0.0,0.0
PGC21753,17.61844682247898,6.33117571309217e-06,0.00010831560597840126,9.684170006512923,0.0,0.0
PGC22037,-157.73456433292517,4.011411635764043e-06,0.00011726363626907973,13.774895145536465,0.0,0.0
PGC22120,69.34224132317553,5.951001882165572e-06,0.00020159712131910973,18.37324611155169,0.0,0.0
PGC22149,0.2341441920557673,9.718277295272358e-06,0.00020656475458902756,4.497269044112114,0.0,0.0
PGC22194,-0.5446624771378316,4.333937164240823e-05,0.00030617084593596064,-3.3805478912498375,0.0,0.0
PGC22324,-121.52458685746961,-1.2299532437213917e-05,0.0001226678713847106,6.015237746026516,0.0,0.0
PGC22359,-102.68662649937328,-1.0945856591456352e-05,6.373592327204939e-05,2.885813467049859,0.0,0.0
PGC22416,-252.713905795003,-4.2826047496082724e-07,0.00012671584238963175,7.4392416501489365,0.0,0.0
PGC22542,-129.06552827792635,-1.152348783882174e-05,6.54097209001406e-05,2.0538750421645435,0.0,0.0
PGC22610,-190.91175662464195,-1.4501317356216871e-05,0.00015223249221844962,-1.2601837420373134,0.0,0.0
PGC22621,-147.18045059108667,-1.352701500381268e-05,6.918534230056076e-05,4.422360148376066,0.0,0.0
PGC22646,-142.129035921016,-1.3453902805914467e-05,6.83157523007507e-05,3.7954717943393774,0.0,0.0
PGC22722,-134.49661581577087,-1.3662133403546523e-05,6.857476553761443e-05,4.527658327912615,0.0,0.0
PGC22728,-261.6417520663192,-1.876535688246606e-05,0.0001622890945154156,1.7760059566995523,0.0,0.0
PGC22733,-159.0227717439093,-1.1655764883368287e-05,7.80123301986565e-05,3.442457103201256,0.0,0.0
PGC22841,-244.29592787847528,-1.980926552224639e-05,0.0001577765230096289,1.465164212949128,0.0,0.0
PGC22846,-78.25375572849264,-1.326801052781255e-05,6.421197440448745e-05,4.158117931034214,0.0,0.0
PGC22905,-227.12887201355048,-2.4852690369817982e-05,0.00015758172874064948,5.3025952042352875,0.0,0.0
PGC23584,-35.49533998563042,-5.358281002538407e-06,6.565057589935915e-05,2.2139867046934096,0.0,0.0
PGC23694,-361.8755313303642,5.203628154107839e-05,0.0001662416919986526,5.22572093191673,0.0,0.0
