side,fold,model,core,q,logpdf
1,1,bartlett_1_0.3,training_r03_c14,0.9505145581140249,-0.3775320893517254
1,1,bartlett_1_0.3,training_r06_c17,0.9780356604466518,-0.3912926405180389
1,1,bartlett_1_0.3,training_r07_c18,0.9661907473473896,-0.38537018396840783
1,1,bartlett_1_0.3,training_r08_c19,1.0405106669969093,-0.42253014379316756
1,1,bartlett_1_0.3,training_r11_c19,1.0060645555476735,-0.4053070880685498
1,1,bartlett_1_0.3,training_r13_c18,0.9686676955346026,-0.3866086580620144
1,1,bartlett_1_0.3,training_r15_c17,0.936025624796596,-0.370287622693011
1,1,bartlett_1_0.3,training_r17_c16,0.9250928019197908,-0.3648212112546084
1,1,bartlett_1_0.3,training_r18_c14,0.924604384695891,-0.3645770026426586
1,1,bartlett_1_0.3,training_r19_c12,0.9442915818420555,-0.37442060121574067
1,1,bartlett_3_0.1,training_r02_c13,1.00138220066566,-0.3917639635671464
1,1,bartlett_3_0.1,training_r03_c14,0.9461452532202999,-0.3641454898444663
1,1,bartlett_3_0.1,training_r06_c17,0.9794687721827567,-0.38080724932569476
1,1,bartlett_3_0.1,training_r07_c18,0.9663360202537913,-0.37424087336121203
1,1,bartlett_3_0.1,training_r08_c19,1.046215017338228,-0.41418037190343043
1,1,bartlett_3_0.1,training_r11_c19,1.0040781477420642,-0.3931119371053485
1,1,bartlett_3_0.1,training_r13_c18,0.963098222636674,-0.37262197455265345
1,1,bartlett_3_0.1,training_r15_c17,0.9399199299714974,-0.3610328282200651
1,1,bartlett_3_0.1,training_r17_c16,0.9269164119207247,-0.35453106919467875
1,1,bartlett_3_0.1,training_r18_c14,0.9280711391173168,-0.3551084327929747
1,1,bartlett_3_0.1,training_r19_c12,0.9462718777848615,-0.36420880212674717
1,1,bartlett_3_0.3,training_r02_c13,0.9985113068419972,-0.39626929315353476
1,1,bartlett_3_0.3,training_r03_c14,0.9417594324392027,-0.36789335595213746
1,1,bartlett_3_0.3,training_r06_c17,0.9739568046443562,-0.3839920420547142
1,1,bartlett_3_0.3,training_r07_c18,0.9614219525535994,-0.3777246160093358
1,1,bartlett_3_0.3,training_r08_c19,1.0383608647063476,-0.41619407208571
1,1,bartlett_3_0.3,training_r11_c19,0.999611830795612,-0.3968195551303421
1,1,bartlett_3_0.3,training_r13_c18,0.9602150367853935,-0.37712115812523295
1,1,bartlett_3_0.3,training_r15_c17,0.93434477562444,-0.36418602754475604
1,1,bartlett_3_0.3,training_r17_c16,0.9211450435191318,-0.3575861614921021
1,1,bartlett_3_0.3,training_r18_c14,0.9219630685582766,-0.3579951740116745
1,1,bartlett_3_0.3,training_r19_c12,0.9405751759102847,-0.36730122768767853
