model_id,fold,block_id,q_over_n,mean_logpdf_per_channel
channel_affine_sky__bartlett3_shrink_010,0,training_r02_c14,1.0040384323708385,-0.3848799455334622
channel_affine_sky__bartlett3_shrink_010,0,training_r03_c15,1.0109156986365355,-0.3883185786663109
channel_affine_sky__bartlett3_shrink_010,0,training_r04_c16,1.0021092384927908,-0.3839153485944384
channel_affine_sky__bartlett3_shrink_010,0,training_r05_c17,1.0151364150756588,-0.3904289368858726
channel_affine_sky__bartlett3_shrink_010,0,training_r06_c18,0.9735732801458268,-0.36964736942095644
channel_affine_sky__bartlett3_shrink_010,0,training_r09_c18,0.9857971905896247,-0.37575932464285533
channel_affine_sky__bartlett3_shrink_010,0,training_r10_c19,1.015768710683129,-0.3907450846896075
channel_affine_sky__bartlett3_shrink_010,0,training_r12_c18,1.022029011760574,-0.39387523522832996
channel_affine_sky__bartlett3_shrink_010,0,training_r16_c16,1.009005283789953,-0.3873633712430196
channel_affine_sky__bartlett3_shrink_010,0,training_r18_c12,0.9705921121005362,-0.3681567853983112
channel_affine_sky__bartlett3_shrink_010,1,training_r02_c13,1.0032730027854428,-0.38934062375482903
channel_affine_sky__bartlett3_shrink_010,1,training_r03_c14,0.9549792822193439,-0.3651937634717797
channel_affine_sky__bartlett3_shrink_010,1,training_r06_c17,0.9867330636071957,-0.3810706541657054
channel_affine_sky__bartlett3_shrink_010,1,training_r07_c18,0.9669357562699366,-0.3711720004970759
channel_affine_sky__bartlett3_shrink_010,1,training_r08_c19,1.0393349555927187,-0.4073716001584669
channel_affine_sky__bartlett3_shrink_010,1,training_r11_c19,1.0036337473147603,-0.3895209960194878
channel_affine_sky__bartlett3_shrink_010,1,training_r13_c18,0.9692178995513979,-0.3723130721378067
channel_affine_sky__bartlett3_shrink_010,1,training_r15_c17,0.9466620054304413,-0.36103512507732843
channel_affine_sky__bartlett3_shrink_010,1,training_r17_c16,0.9398528987854886,-0.357630571754852
channel_affine_sky__bartlett3_shrink_010,1,training_r18_c14,0.9382809602525005,-0.3568446024883579
channel_affine_sky__bartlett3_shrink_010,1,training_r19_c12,0.9679561417579537,-0.3716821932410844
channel_affine_sky__bartlett3_shrink_010,2,training_r02_c12,0.9881851993338348,-0.380446543551597
channel_affine_sky__bartlett3_shrink_010,2,training_r08_c18,0.9371242609740559,-0.3549160743717078
channel_affine_sky__bartlett3_shrink_010,2,training_r09_c19,0.9869935700893261,-0.3798507289293428
channel_affine_sky__bartlett3_shrink_010,2,training_r12_c19,1.001043924081372,-0.3868759059253658
channel_affine_sky__bartlett3_shrink_010,2,training_r14_c18,0.940145887539561,-0.35642688765446023
channel_affine_sky__bartlett3_shrink_010,2,training_r16_c17,1.0036183568644672,-0.3881631223169134
channel_affine_sky__bartlett3_shrink_010,2,training_r17_c15,1.0084871366096775,-0.39059751218951844
channel_affine_sky__bartlett3_shrink_010,2,training_r18_c13,0.9778305700836294,-0.3752692289264946
