case,kind,time,energy,oscillator_energy,mean_radius,mean_inward_acceleration
nested_counter,memory_fast,21.400000000000002,-0.7570450908585535,2.7538969712862922e-05,1.4945355040636072,6.268330342190799
nested_counter,memory_fast,21.5,-0.7570450908423636,5.057176824804902e-05,1.4955793721682338,6.263044777288873
nested_counter,memory_fast,21.6,-0.7570450908472157,5.084281577217186e-05,1.4967228326416557,6.257374272734664
nested_counter,memory_fast,21.700000000000003,-0.7570450908600399,2.188856306990019e-05,1.4979400115758033,6.251966532290461
nested_counter,memory_fast,21.8,-0.7570450908571605,3.8820101048040135e-06,1.4990642048416671,6.242786306433254
nested_counter,memory_fast,21.900000000000002,-0.7570450908573007,9.247692841663719e-07,1.4999616616612372,6.235048002016029
nested_counter,memory_fast,22.0,-0.7570450908572707,4.034882866946721e-06,1.500564098237946,6.231190821462539
nested_counter,memory_fast,22.1,-0.7570450908573307,1.890424411653721e-05,1.5008632742971986,6.230777673483697
nested_counter,memory_fast,22.200000000000003,-0.7570450908575378,5.163199660313802e-05,1.5009165255250727,6.230086362683336
nested_counter,memory_fast,22.3,-0.7570450908839378,6.842649015107402e-05,1.5008467689865386,6.228405434176425
nested_counter,memory_fast,22.400000000000002,-0.757045090858852,4.5779637070127226e-05,1.5007240746694746,6.231798982090101
nested_counter,memory_fast,22.5,-0.7570450908574203,2.731256087350037e-05,1.5004516474826006,6.2329388128262835
nested_counter,memory_fast,22.6,-0.7570450908574002,2.985809610220125e-05,1.4999243951788115,6.234844838021757
nested_counter,memory_fast,22.700000000000003,-0.7570450908574314,3.917432822322054e-05,1.4991070120722982,6.240335560363427
nested_counter,memory_fast,22.8,-0.7570450908572965,5.57257110057002e-05,1.4980270300582137,6.249190368371874
nested_counter,memory_fast,22.900000000000002,-0.7570450908602921,9.143547242555815e-05,1.496771495826751,6.2581578737306325
nested_counter,memory_fast,23.0,-0.7570450908525536,0.00012562355721833682,1.4954914115073126,6.262648770074412
