fixture_id,case_id,closure_id,member_id,delta_log_frequency_unit_probe,expansion_time_stretch
F06_LENS_TWO_IMAGES,image_B,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,3.546927058225e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C00_GR_ENDPOINT,BASE,2.500000000000e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C01_EXACT_GRADIENT_PATH,BASE,2.500000000000e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C02_POTENTIAL_COLUMN,BASE,-3.300000000000e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C03_TIDAL_CURVATURE_COLUMN,BASE,-4.200000000000e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C05_ENDPOINT_MEMORY,TAU_FAST,5.215516834943e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C06_PATH_MEMORY_OPACITY,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-7.672563597334e-02,1.000000000000e+00
F07_ROUND_TRIP,outbound,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,6.396562291493e-02,1.000000000000e+00
F07_ROUND_TRIP,outbound,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,2.337518669157e-01,1.000000000000e+00
F07_ROUND_TRIP,outbound,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,6.396562291493e-02,1.000000000000e+00
F07_ROUND_TRIP,outbound,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,2.337518669157e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C00_GR_ENDPOINT,BASE,-2.500000000000e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C01_EXACT_GRADIENT_PATH,BASE,-2.500000000000e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C02_POTENTIAL_COLUMN,BASE,-3.300000000000e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C03_TIDAL_CURVATURE_COLUMN,BASE,-4.200000000000e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C05_ENDPOINT_MEMORY,TAU_FAST,-5.215516834943e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C06_PATH_MEMORY_OPACITY,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F07_ROUND_TRIP,return,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-5.767256359733e-01,1.000000000000e+00
