plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
8609-12705	90.41927	0.9176766	-120.6358	163.1759
8609-3704	58.94323	0.9390231	-75.79072	59.60109
8609-6102	235.9959	0.9461645	-32.50455	61.05969
8609-9101	92.39916	0.9406745	-134.1272	117.3102
8610-9102	284.8235	0.9109797	-22.66321	36.59612
8612-6102	198.3536	0.9799328	-30.41349	33.77184
8613-12704	237.8772	0.9150457	-46.7374	29.59218
8613-3701	189.6184	1.037059	-21.25117	31.22831
8613-9102	203.4881	0.9236472	-72.33948	269.1154
8614-12701	237.6277	0.988147	-12.26323	38.98462
8615-12701	109.4204	0.9845507	-101.1714	76.03374
8616-3702	299.3684	0.9739329	-6.124213	56.78165
8618-3702	211.8416	1.493884	-110.7442	60.04333
8619-1901	207.8727	1.441026	-130.5528	122.8149
8621-3704	60.7068	0.9218748	-96.25356	92.65591
8624-3701	162.9784	1.905291	-114.2477	249.3978
8651-12705	87.53152	0.9766905	-123.1189	123.093
8651-3703	176.136	1.064006	-67.9222	66.1056
8656-3704	177.7476	0.9938892	-1.27328	43.67819
8657-6103	243.0225	0.902977	-29.02685	34.9371
8712-3704	240.0601	1.20012	-159.5824	152.7615
8714-3702	278.3759	0.9734697	-44.66715	93.3095
8715-3701	275.5191	0.9117965	-52.69453	154.4605
8715-3704	278.3738	1.204316	-67.29479	111.3136
8716-6104	180.9623	0.9222164	-7.855594	20.19442
8717-12702	236.9201	0.9041389	-16.48736	52.23738
8717-1901	268.4974	1.022219	-2.476523	53.37206
8717-1902	245.9576	0.90106	-43.76693	20.57156
8717-9102	277.3507	0.9122168	-18.00293	48.60433
8718-12701	78.1112	0.9433556	-67.21314	76.35162
8718-3701	282.1199	1.037485	-92.3182	67.19962
8718-6101	154.0945	1.138604	-19.44211	59.11455
8720-12701	187.0107	0.963846	-85.00986	286.7135
8720-12702	152.8862	0.8850724	-154.0916	155.6607
8720-12703	216.2413	1.041996	-135.7228	10.55747
8720-3701	160.2695	1.271977	-166.417	194.5789
8722-1901	168.841	1.208627	-66.69609	76.32849
8722-3702	212.0038	0.9107789	-5.893256	40.15039
8723-3704	69.16827	1.180039	-99.91103	96.84566
8723-6102	208.2131	0.9760154	-120.9458	151.261
8723-6103	233.4185	0.9136837	-69.68025	70.40311
8723-6104	129.1248	1.337939	-102.6597	73.13226
8725-6104	274.4576	0.944515	-29.78941	23.97059
8726-1902	297.7245	0.9187967	-42.34623	30.2938
8726-3702	127.1852	0.9735733	-6.445061	35.94632
8726-9101	203.4617	1.054046	-108.0359	96.3727
8728-6102	274.5678	1.017943	-49.1799	78.7046
8931-12704	69.66157	0.8925979	-61.4967	77.8932
8931-12705	44.356	0.9006022	-44.54671	21.32317
8931-1901	53.17317	0.943302	-54.11104	47.70361
8931-3701	39.0523	0.9177866	-17.73501	37.99048
8931-3703	54.21736	0.9121655	-60.93507	70.45605
8932-1902	240.589	1.866395	-156.2876	246.9103
8932-6101	111.3352	0.9670708	-111.5883	145.0195
8932-6102	45.7737	0.8563461	-41.79066	68.29198
8932-6104	145.7528	0.9595675	-114.8821	140.3586
8933-12704	120.3014	1.155104	-26.26021	56.77242
8933-12705	90.38355	1.279445	-37.46165	45.54708
8933-1901	103.6683	1.111478	-77.88907	117.0158
8933-3701	68.07458	0.9469582	-20.64965	52.27766
8933-3702	38.62733	0.8691033	-23.26724	19.59743
8933-3704	44.76378	0.90315	-32.13083	24.63863
8933-6102	94.54442	1.060809	-83.65861	84.00403
8934-12704	86.05701	0.8899502	-108.1981	127.6078
8934-3703	128.5554	1.249121	-119.9384	164.3228
8934-3704	36.74199	0.9985222	-57.2343	47.0483
8934-6103	42.05596	0.9274846	-95.64394	87.80473
8934-6104	172.5909	1.31674	-136.6027	133.6727
8935-12701	36.34279	0.9370884	-38.85106	29.80071
8935-12703	94.79082	0.9248762	-162.703	114.7322
8935-12704	53.11417	0.9111855	-96.17404	106.0137
8935-3703	47.39271	0.8839474	-15.01335	33.34885
8935-6101	44.51716	0.9895321	-51.10265	59.0973
8936-12701	241.9551	0.8995891	-6.88582	36.93248
8937-6101	223.4097	1.108827	-124.5117	99.50321
