key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method,table,confirmed_star_cluster
ngc_2366,112.2241,69.2127,NGC 2366,m_081,1,1,2.5835,0.122,0.122,,,,0.66,0.02,0.02,,Carlsten2021ApJ...922..267C,27.58,0.03,0.03,Tully2009AJ....138..323T,11.22,0.09,0.09,Carlsten2021ApJ...922..267C,100.1,,,,,,,Walter2008AJ....136.2563W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.0,,,,Walter2008AJ....136.2563W,,,,,,,,,-16.36,0.09,0.09,8.78,3280.95,0.0,0.0,146.421892,28.5350587,2846.5,1607.69,-278.2,3286.9,2915.17,3079.1,840.27,8.77,,,,,,213.71,254.6,,,,,2463.26,114.72,115.78,1436.07,79.9,78.61,23.0,,dwarf_local_field_distant,
ngc_2683,133.170417,33.417222,NGC 2683,,1,1,,,,,,,,,,,,29.96,0.06,0.06,Tully2009AJ....138..323T,8.77,,,Karachentsev2013AJ....145..101K,411.0,4.0,4.0,,,,,Springob2005ApJS..160..149S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4,,,,Springob2005ApJS..160..149S,,,,,,,,,-21.19,,,10.71,9817.48,0.0,0.0,190.4601947,38.758504,4597.62,6782.61,-5407.49,9823.71,9827.78,9814.96,nan,9.14,,,,,,371.21,365.28,,,,,,,,,,,,trgb,dwarf_local_field_distant,
ngc_2683-dw0848p3226,132.165833,32.443889,dw0848+3226,ngc_2683,0,0,0.3517,0.0433,0.0433,,,,,,,,Carlsten2022ApJ...933...47C,29.32,0.4,0.38,Carlsten2022ApJ...933...47C,19.05,0.14,0.14,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.27,0.14,0.14,6.34,7311.39,0.0,0.0,191.4848451,37.7530507,3388.49,4964.84,-4162.33,7317.69,7335.05,7312.93,2513.31,,,,,,,,,,,,,746.02,90.81,91.64,746.02,90.81,91.64,27.66,sbf,dwarf_local_field_distant,
ngc_2683-dw0855p3336,133.794167,33.615,dw0855+3336,ngc_2683,0,0,0.2317,0.02,0.02,,,,,,,,Carlsten2022ApJ...933...47C,29.7,0.25,0.23,Carlsten2022ApJ...933...47C,18.22,0.11,0.11,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.48,0.11,0.11,6.83,8709.64,0.0,0.0,190.3210653,39.3042838,4060.5,6075.61,-4738.89,8715.82,8726.2,8709.28,1111.48,,,,,,,,,,,,,585.89,49.93,50.38,585.89,49.93,50.38,25.93,sbf,dwarf_local_field_distant,
ngc_2683-dw0856p3155,134.107917,31.916944,dw0856+3155,ngc_2683,0,0,0.165,0.015,0.015,,,,,,,,Carlsten2022ApJ...933...47C,29.8,0.27,0.23,Carlsten2022ApJ...933...47C,18.55,0.12,0.12,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.25,0.12,0.12,6.73,9120.11,0.0,0.0,192.5408573,39.2685469,4032.57,6375.56,-5125.14,9126.25,9155.2,9129.43,751.46,,,,,,,,,,,,,436.91,39.21,39.57,436.91,39.21,39.57,25.52,sbf,dwarf_local_field_distant,
ngc_2683-dw1,133.361667,33.305278,NGC 2683-dw1,ngc_2683,1,1,0.165,0.0133,0.0133,,,,,,,,Carlsten2022ApJ...933...47C,30.1,0.22,0.22,Carlsten2022ApJ...933...47C,18.41,0.11,0.11,Carlsten2022ApJ...933...47C,380.0,25.0,25.0,,,,,Karachentsev2015Ap.....58..309K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69,0.11,0.11,6.91,10471.29,0.0,0.0,190.6368181,38.8967587,4874.18,7254.13,-5767.82,10477.5,10482.21,10469.56,654.72,,,,,,,339.74,333.56,,,,,501.75,40.02,40.38,501.75,40.02,40.38,25.38,sbf,dwarf_local_field_distant,
ngc_2683-dw2,133.585417,33.249444,NGC 2683-dw2,ngc_2683,0,0,,,,,,,,,,,,29.96,,,,19.17,,,Karachentsev2013AJ....145..101K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.79,,,6.55,9817.48,,,190.7486249,39.0715607,4546.64,6823.66,-5398.95,9823.68,9832.5,9817.32,66.0,,,,,,,,,,,,,,,,,,,,host,dwarf_local_field_distant,
ngc_2903-dw0929p2213,142.477917,22.218056,dw0929+2213,ngc_2903,1,1,0.1455,0.0217,0.0217,,,,,,,,Carlsten2022ApJ...933...47C,29.96,0.36,0.34,Carlsten2022ApJ...933...47C,20.54,0.17,0.17,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.42,0.17,0.17,6.0,9817.48,0.0,0.0,207.5362753,44.2511764,2385.95,7537.24,-5820.67,9822.64,10012.62,9907.92,671.53,,,,,,,,,,,,,414.24,60.97,61.53,414.24,60.97,61.53,27.24,sbf,dwarf_local_field_distant,
ngc_2903-dw0932p1952,143.099167,19.875,dw0932+1952,ngc_2903,1,1,0.1433,0.0098,0.0098,,,,,,,,Carlsten2022ApJ...933...47C,29.57,0.18,0.18,Carlsten2022ApJ...933...47C,17.38,0.1,0.1,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.19,0.1,0.1,7.11,8203.52,0.0,0.0,210.8932531,44.0827545,1671.37,6294.53,-4988.29,8208.52,8433.08,8310.03,989.77,,,,,,,,,,,,,341.55,23.12,23.33,341.55,23.12,23.33,24.05,sbf,dwarf_local_field_distant,
ngc_2903-dw0936p2135,144.089167,21.598889,dw0936+2135,ngc_2903,1,1,0.1433,0.0098,0.0098,,,,,,,,Carlsten2022ApJ...933...47C,29.57,0.18,0.18,Carlsten2022ApJ...933...47C,17.38,0.1,0.1,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.19,0.1,0.1,7.11,8203.52,0.0,0.0,208.9901789,45.4988418,1813.07,6416.17,-4779.46,8208.5,8421.66,8304.23,970.11,,,,,,,,,,,,,341.55,23.12,23.33,341.55,23.12,23.33,24.05,sbf,dwarf_local_field_distant,
ngc_2903-hi-1,142.66625,21.723611,NGC 2903-HI-1,ngc_2903,1,1,0.1083,0.0087,0.0087,,,,,,,,Carlsten2022ApJ...933...47C,29.67,0.22,0.25,Carlsten2022ApJ...933...47C,18.72,0.09,0.09,Carlsten2022ApJ...933...47C,582.0,4.0,4.0,,,,,Irwin2009ApJ...692.1447I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.02,0.02,,Irwin2009ApJ...692.1447I,,,,,,,,,-10.95,0.09,0.09,6.61,8590.14,0.0,0.0,208.2678631,44.2730738,2012.84,6599.94,-5116.6,8595.26,8795.82,8684.91,575.63,6.39,,,,,,496.01,470.27,,,,,270.25,21.34,21.53,270.25,21.34,21.53,24.78,sbf,dwarf_local_field_distant,
ngc_2903-lsbc_d565-09,143.30875,20.514722,LSBC D565-09,ngc_2903,1,1,0.1627,0.0103,0.0103,,,,,,,,Carlsten2022ApJ...933...47C,29.86,0.15,0.14,Carlsten2022ApJ...933...47C,17.21,0.1,0.1,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.65,0.1,0.1,7.29,9375.62,0.0,0.0,210.1345755,44.4737723,1982.29,7231.87,-5627.86,9380.63,9595.82,9478.41,269.49,,,,,,,,,,,,,443.05,27.77,28.02,443.05,27.77,28.02,24.15,sbf,dwarf_local_field_distant,
ngc_2915,141.547917,-76.626389,NGC 2915,,1,1,,,,,,,,,,,,28.16,0.03,0.03,Tully2009AJ....138..323T,11.52,,,Karachentsev2013AJ....145..101K,467.2,18.0,18.0,,,,,Doyle2005MNRAS.361...34D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,,,,Doyle2005MNRAS.361...34D,,,,,,,,,-16.64,,,8.89,4285.49,0.0,0.0,291.9661328,-18.3573325,-3674.11,-1149.4,-1882.87,4282.61,4898.35,4585.72,nan,8.64,,,,,,253.15,191.2,,,,,,,,,,,,trgb,dwarf_local_field_distant,
ngc_2976,146.815,67.91361,NGC2976,m_081,1,1,1.44,,,143.0,,,0.72,,,,Makarov2014A&A...570A..13M,27.82,0.05,0.05,Tully2009AJ....138..323T,9.48,,,Makarov2014A&A...570A..13M,6.0,4.0,4.0,,,,,Appleton1981MNRAS.195..327A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.645,,,,Appleton1981MNRAS.195..327A,,,,,,,,,-18.34,,,9.57,3664.38,0.0,0.0,143.9173791,40.9041679,2751.49,2419.6,-49.75,3669.34,3422.36,3524.13,101.03,8.05,,,,,,112.54,141.77,,,,,1534.93,,,812.21,,,19.78,,dwarf_local_field_distant,
ngc_3077,150.8375,68.73389,NGC 3077,m_081,1,1,2.3167,,,46.3,,,0.22,,,,Moustakas2023ApJS..269....3M,27.93,0.07,0.07,Tully2009AJ....138..323T,10.0,,,Karachentsev2013AJ....145..101K,19.0,3.0,3.0,,,,,Appleton1981MNRAS.195..327A,,,,,,,,,,,,,,,,4.6,0.2,0.2,28.0,1.0,1.0,Okamoto2023ApJ...952...77O,6.0,0.1,0.1,1.0,0.1,0.1,Okamoto2023ApJ...952...77O,,,,,-1.26,,,Okamoto2023ApJ...952...77O,180.302,,,,Karachentsev2013AJ....145..101K,,,,,,,,,-17.93,,,9.41,3854.78,0.0,0.0,141.8972594,41.6621797,2870.84,2571.87,56.14,3859.56,3610.57,3714.46,245.94,8.8,,-1.26,,,isochrone,129.81,159.17,,,,,2597.74,,,2294.26,,,22.44,,dwarf_local_field_distant,
ngc_3115-dw1000m0741,150.004,-7.688,dw1000-0741,ngc_3115,1,1,0.235,0.015,0.015,,,,,,,,Carlsten2022ApJ...933...47C,29.75,0.2,0.18,Carlsten2022ApJ...933...47C,16.82,0.1,0.1,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.93,0.1,0.1,7.41,8912.51,0.0,0.0,246.6788646,35.842535,-2388.94,5937.66,-6202.42,8915.12,9437.83,9170.7,798.28,,,,,,,,,,,,,608.44,38.32,38.67,608.44,38.32,38.67,24.56,sbf,dwarf_local_field_distant,
ngc_3115-dw1000m0821,150.044,-8.357,dw1000m0821,ngc_3115,1,1,0.355,0.0183,0.0183,,,,,,,,Carlsten2022ApJ...933...47C,29.84,0.19,0.17,Carlsten2022ApJ...933...47C,15.33,0.09,0.09,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.51,0.09,0.09,8.04,9289.66,0.0,0.0,247.3242309,35.4253931,-2583.37,6135.23,-6479.43,9292.22,9819.45,9550.33,456.78,,,,,,,,,,,,,958.27,48.81,49.26,958.27,48.81,49.26,23.97,sbf,dwarf_local_field_distant,
ngc_3115-dw1000m0831,150.229,-8.53,dw1000m0831,ngc_3115,1,1,0.1267,0.0183,0.0183,,,,,,,,Carlsten2022ApJ...933...47C,30.27,0.25,0.25,Carlsten2022ApJ...933...47C,20.22,0.15,0.15,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.05,0.15,0.15,6.25,11324.0,0.0,0.0,247.6323813,35.4448541,-3194.93,7479.79,-7878.97,11326.52,11853.25,11585.13,1659.44,,,,,,,,,,,,,415.99,59.5,60.05,415.99,59.5,60.05,26.62,sbf,dwarf_local_field_distant,
ngc_3115-dw1002m0642,150.657,-6.708,dw1002m0642,ngc_3115,1,1,0.12,0.02,0.02,,,,,,,,Carlsten2022ApJ...933...47C,29.83,0.32,0.32,Carlsten2022ApJ...933...47C,20.52,0.19,0.19,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.31,0.19,0.19,5.96,9246.98,0.0,0.0,246.3032604,36.9777606,-2396.88,6297.49,-6332.71,9249.59,9768.4,9503.33,478.71,,,,,,,,,,,,,321.67,53.01,53.49,321.67,53.01,53.49,26.8,sbf,dwarf_local_field_distant,
ngc_3115-dw1002m0818,150.504,-8.31,dw1002m0818,ngc_3115,1,1,0.0867,0.0117,0.0117,,,,,,,,Carlsten2022ApJ...933...47C,30.15,0.28,0.29,Carlsten2022ApJ...933...47C,19.85,0.15,0.15,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.3,0.15,0.15,6.35,10715.19,0.0,0.0,247.6574813,35.7941206,-3013.56,7126.36,-7412.75,10717.7,11245.3,10976.57,1047.37,,,,,,,,,,,,,269.38,35.83,36.16,269.38,35.83,36.16,25.42,sbf,dwarf_local_field_distant,
ngc_3115-dw1004m0657,151.157,-6.959,dw1004m0657,ngc_3115,1,1,0.28,0.0283,0.0283,,,,,,,,Carlsten2022ApJ...933...47C,29.71,0.22,0.23,Carlsten2022ApJ...933...47C,18.43,0.13,0.13,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.28,0.13,0.13,6.75,8749.84,0.0,0.0,246.9524532,37.1807734,-2336.52,5978.69,-5946.06,8752.37,9277.14,9008.97,941.2,,,,,,,,,,,,,711.17,71.05,71.71,711.17,71.05,71.71,26.55,sbf,dwarf_local_field_distant,
ngc_3115-dw1004m0737,150.995,-7.641,dw1004m0737,ngc_3115,1,1,0.3117,0.0283,0.0283,,,,,,,,Carlsten2022ApJ...933...47C,30.17,0.21,0.2,Carlsten2022ApJ...933...47C,18.75,0.11,0.11,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.42,0.11,0.11,6.8,10814.34,0.0,0.0,247.4499631,36.6040318,-2980.63,7306.78,-7394.38,10816.84,11342.39,11074.7,1133.0,,,,,,,,,,,,,978.59,87.82,88.63,978.59,87.82,88.63,27.1,sbf,dwarf_local_field_distant,
ngc_3115-dw1006m0730,151.553,-7.5,dw1006m0730,ngc_3115,1,1,0.1333,0.01,0.01,,,,,,,,Carlsten2022ApJ...933...47C,30.04,0.26,0.26,Carlsten2022ApJ...933...47C,18.07,0.11,0.11,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.97,0.11,0.11,7.02,10185.91,0.0,0.0,247.786161,37.1074962,-2833.71,6945.99,-6890.29,10188.37,10717.19,10447.71,506.31,,,,,,,,,,,,,394.45,29.19,29.46,394.45,29.19,29.46,24.58,sbf,dwarf_local_field_distant,
ngc_3115-dw1006m0730-n2,151.64,-7.51,dw1006m0730-n2,ngc_3115,1,1,0.225,0.0267,0.0267,,,,,,,,Carlsten2022ApJ...933...47C,29.6,0.23,0.22,Carlsten2022ApJ...933...47C,18.73,0.12,0.12,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87,0.12,0.12,6.58,8317.64,0.0,0.0,247.8686114,37.1642364,-2321.16,5677.62,-5617.82,8320.08,8852.83,8580.61,1366.5,,,,,,,,,,,,,543.05,63.57,64.16,543.05,63.57,64.16,26.37,sbf,dwarf_local_field_distant,
ngc_3115-dw1006m0732,151.611,-7.549,dw1006m0732,ngc_3115,1,1,0.1433,0.0133,0.0133,,,,,,,,Carlsten2022ApJ...933...47C,30.11,0.24,0.24,Carlsten2022ApJ...933...47C,18.92,0.12,0.12,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.19,0.12,0.12,6.71,10519.62,0.0,0.0,247.8801942,37.1166727,-2939.09,7174.25,-7110.15,10522.06,11051.14,10781.65,839.04,,,,,,,,,,,,,437.76,40.2,40.57,437.76,40.2,40.57,25.59,sbf,dwarf_local_field_distant,
ngc_3115-dw1007m0715,151.834,-7.263,dw1007m0715,ngc_3115,1,1,0.2767,0.0167,0.0167,,,,,,,,Carlsten2022ApJ...933...47C,29.76,0.21,0.19,Carlsten2022ApJ...933...47C,16.76,0.1,0.1,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.0,0.1,0.1,7.43,8953.65,0.0,0.0,247.8037967,37.4730502,-2480.87,6147.2,-6018.72,8956.09,9486.9,9215.94,737.76,,,,,,,,,,,,,719.68,42.77,43.16,719.68,42.77,43.16,24.86,sbf,dwarf_local_field_distant,
ngc_3115-dw1007m0830,151.946,-8.504,dw1007m0830,ngc_3115,1,1,0.1217,0.015,0.015,,,,,,,,Carlsten2022ApJ...933...47C,30.22,0.19,0.18,Carlsten2022ApJ...933...47C,19.79,0.14,0.14,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.43,0.14,0.14,6.41,11066.24,0.0,0.0,249.0367787,36.7081239,-3275.5,7482.13,-7466.62,11068.57,11606.12,11332.73,1395.39,,,,,,,,,,,,,390.65,47.58,48.01,390.65,47.58,48.01,26.1,sbf,dwarf_local_field_distant,
ngc_3115-dw1007m0835,151.814,-8.586,dw1007m0835,ngc_3115,1,1,0.1033,0.0183,0.0183,,,,,,,,Carlsten2022ApJ...933...47C,29.58,0.35,0.33,Carlsten2022ApJ...933...47C,20.27,0.2,0.2,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.31,0.2,0.2,5.96,8241.38,0.0,0.0,248.9994572,36.5569077,-2440.16,5556.33,-5576.12,8243.72,8785.59,8508.97,1449.83,,,,,,,,,,,,,246.81,43.3,43.7,246.81,43.3,43.7,26.22,sbf,dwarf_local_field_distant,
ngc_3115-kdg_065,151.396,-7.75,KDG 65,ngc_3115,0,0,0.3883,0.02,0.02,,,,,,,,Carlsten2022ApJ...933...47C,29.93,,,,15.37,0.09,0.09,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.56,0.09,0.09,8.06,9682.78,,,247.8848147,36.8237678,-2716.3,6567.28,-6576.38,9685.23,10215.73,9945.24,15.61,,,,,,,,,,,,,1092.62,55.5,56.01,1092.62,55.5,56.01,24.2,host,dwarf_local_field_distant,
ngc_3115-kksg_17,150.409,-8.249,KKSG 17,ngc_3115,1,1,0.4917,0.025,0.025,,,,,,,,Carlsten2022ApJ...933...47C,29.99,,,Anand2021AJ....162...80A,14.53,0.09,0.09,Carlsten2022ApJ...933...47C,446.0,3.0,3.0,,,,,Makarov2014A&A...570A..13M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,Makarov2014A&A...570A..13M,,,,,,,,,-15.46,0.09,0.09,8.42,9954.05,0.0,0.0,247.5238866,35.7656189,-2782.83,6617.17,-6895.81,9956.58,10484.21,10215.19,324.25,7.6,,,,,,262.4,202.21,,,,,1422.13,71.32,71.98,1422.13,71.32,71.98,23.88,trgb,dwarf_local_field_distant,
ngc_3115-kksg_18,151.423,-7.982,KKSG 18,ngc_3115,1,1,0.5017,0.025,0.025,,,,,,,,Carlsten2022ApJ...933...47C,29.93,,,,12.62,0.09,0.09,Carlsten2022ApJ...933...47C,715.0,5.0,5.0,,,,,Makarov2014A&A...570A..13M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.31,0.09,0.09,9.16,9682.78,,,248.1203627,36.6862046,-2751.05,6548.96,-6580.2,9685.21,10217.61,9946.2,48.47,,,,,,,533.03,472.5,,,,,1411.54,69.38,70.02,1411.54,69.38,70.02,22.01,host,dwarf_local_field_distant,
ngc_3115-mcg-01-26-009,150.39,-6.525,MCG -01-26-009,ngc_3115,1,1,0.3067,0.0167,0.0167,,,,,,,,Carlsten2022ApJ...933...47C,29.93,,,,15.5,0.09,0.09,Carlsten2022ApJ...933...47C,747.0,6.0,6.0,,,,,Makarov2014A&A...570A..13M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,,,Makarov2014A&A...570A..13M,,,,,,,,,-14.43,0.09,0.09,8.01,9682.78,,,245.9120466,36.8999295,-2462.33,6586.53,-6656.63,9685.43,10200.39,9937.36,253.77,7.7,,,,,,568.16,509.33,,,,,862.79,46.25,46.68,862.79,46.25,46.68,23.82,host,dwarf_local_field_distant,
ngc_3344-dw1,160.6833333333333,25.025,NGC 3344-dw1,ngc_3344,0,0,0.1183,0.0183,0.0183,,,,,,,,Carlsten2022ApJ...933...47C,30.12,0.4,0.4,Carlsten2022ApJ...933...47C,20.7,0.18,0.18,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.42,0.18,0.18,6.0,10568.18,0.0,0.0,209.7580015,61.1005726,1545.32,9731.75,-3819.86,10571.59,10834.62,10695.18,751.55,,,,,,,,,,,,,362.61,55.53,56.04,362.61,55.53,56.04,26.95,,dwarf_local_field_distant,
ngc_3344-dw1042p2415,160.592,24.25,dw1042p2415,ngc_3344,0,0,0.2383,0.015,0.015,,,,,,,,Carlsten2022ApJ...933...47C,30.01,0.22,0.19,Carlsten2022ApJ...933...47C,16.99,0.1,0.1,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.02,0.1,0.1,7.44,10046.16,0.0,0.0,211.2853823,60.858658,1355.4,9238.65,-3706.15,10049.54,10322.36,10177.79,260.63,,,,,,,,,,,,,695.58,43.19,43.59,695.58,43.19,43.59,24.76,,dwarf_local_field_distant,
ngc_3344-dw1045p2427,161.379,24.466,dw1045p2427,ngc_3344,0,0,0.1533,0.0183,0.0183,,,,,,,,Carlsten2022ApJ...933...47C,29.95,0.3,0.28,Carlsten2022ApJ...933...47C,19.5,0.14,0.14,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.45,0.14,0.14,6.41,9772.37,0.0,0.0,211.167991,61.6052999,1296.68,9035.69,-3489.16,9775.68,10050.33,9904.72,119.42,,,,,,,,,,,,,434.8,51.35,51.82,434.8,51.35,51.82,26.31,,dwarf_local_field_distant,
ngc_3351,160.990417,11.703611,NGC 3351,ngc_3379,1,1,,,,,,,,,,,,29.99,0.03,0.03,Tully2009AJ....138..323T,9.41,,,Makarov2014A&A...570A..13M,777.0,1.0,1.0,,,,,Haynes2011AJ....142..170H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,Haynes2011AJ....142..170H,,,,,,,,,-20.58,,,10.47,9954.05,0.0,0.0,233.9516692,56.3678649,-631.91,8840.38,-4531.18,9956.7,10368.17,10155.8,1390.64,8.94,,,,,,669.29,623.06,,,,,,,,,,,,trgb,dwarf_local_field_distant,
ngc_3377,161.926,13.986,NGC 3377,ngc_3379,1,1,,,,,,,,,,,,30.09,0.02,0.02,Tully2009AJ....138..323T,10.15,,,Makarov2014A&A...570A..13M,678.0,6.0,6.0,,,,,Smith2000MNRAS.313..469S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.94,,,10.21,10423.17,0.0,0.0,231.1772036,58.317717,-363.49,9417.23,-4452.66,10425.85,10817.24,10614.93,939.38,,,,,,,579.88,535.86,,,,,,,,,,,,trgb,dwarf_local_field_distant,
ngc_3379-dw1042p1359,160.689,13.99,dw1042p1359,ngc_3379,1,1,0.09,0.015,0.015,,,,,,,,Carlsten2022ApJ...933...47C,30.11,0.2,,Carlsten2022ApJ...933...47C,20.46,0.18,0.18,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.65,0.18,0.18,6.09,10519.62,0.0,0.0,230.0753246,57.2708195,-268.45,9421.1,-4672.6,10522.44,10907.67,10708.36,879.9,,,,,,,,,,,,,274.45,45.23,45.64,274.45,45.23,45.64,26.11,sbf,dwarf_local_field_distant,
