galaxy,model,Ydisk,e_Ydisk,Ybul,e_Ybul,D,e_D,inc,e_inc,V200,e_V200,C200,e_C200,rs,e_rs,log_rhos,e_log_rhos,log_M200,e_log_M200,alpha,e_alpha,Chi,rho_s_msun_kpc3,nonfinite_published_chi
NGC5585,NFW-LCDM,0.21,0.04,0.0,0.0,8.44,1.6,53.4,1.9,82.77,4.03,6.2,1.45,18.29,4.36,-2.68,0.32,11.26,0.06,0.0,0.0,6.94,2089296.1308540385,False
NGC5907,Burkert-Flat,0.95,0.05,0.0,0.0,17.83,0.87,88.2,1.6,195.22,20.35,5.72,0.53,46.76,6.5,-2.79,0.23,12.37,0.14,0.0,0.0,6.05,1621810.0973589297,False
NGC5907,NFW-Flat,0.27,0.05,0.0,0.0,16.57,0.91,88.0,1.6,132.69,1.65,24.27,2.37,7.49,0.74,-1.21,0.13,11.87,0.02,0.0,0.0,5.24,61659500.18614822,False
NGC5907,NFW-LCDM,0.3,0.05,0.0,0.0,16.99,0.86,88.0,1.6,134.01,1.65,21.83,2.42,8.41,0.94,-1.33,0.15,11.88,0.02,0.0,0.0,5.52,46773514.128719814,False
NGC5985,Burkert-Flat,0.29,0.07,0.85,0.22,25.22,9.07,59.7,2.0,138.14,12.24,66.78,22.91,2.83,1.0,-0.07,0.48,11.92,0.12,0.0,0.0,2.95,851138038.2023765,False
NGC5985,NFW-Flat,0.44,0.1,0.66,0.16,10.79,6.58,59.9,2.0,127.64,16.65,77.47,35.38,2.26,1.07,0.13,0.64,11.82,0.17,0.0,0.0,1.91,1348962882.5916536,False
NGC5985,NFW-LCDM,0.28,0.05,0.65,0.15,40.83,5.77,60.0,2.0,171.13,6.59,26.42,3.45,8.87,1.21,-1.11,0.19,12.2,0.05,0.0,0.0,2.38,77624711.66286916,False
NGC6015,Burkert-Flat,0.65,0.09,0.0,0.0,27.83,3.58,60.9,1.9,149.89,9.64,5.22,0.89,39.37,7.21,-2.88,0.26,12.03,0.08,0.0,0.0,9.3,1318256.7385564076,False
NGC6015,NFW-Flat,0.64,0.12,0.0,0.0,12.06,2.32,59.6,2.0,91.7,4.05,23.14,4.23,5.43,1.02,-1.26,0.25,11.39,0.06,0.0,0.0,8.76,54954087.38576245,False
NGC6015,NFW-LCDM,0.55,0.09,0.0,0.0,15.92,2.22,59.3,2.0,97.13,3.51,17.52,2.6,7.6,1.16,-1.57,0.21,11.47,0.05,0.0,0.0,8.89,26915348.039269153,False
NGC6195,Burkert-Flat,0.4,0.08,0.79,0.1,126.04,11.56,61.1,4.6,174.63,57.09,10.46,2.38,22.87,9.11,-2.17,0.67,12.23,0.43,0.0,0.0,1.79,6760829.753919818,False
NGC6195,NFW-Flat,0.4,0.06,0.74,0.09,126.29,11.35,61.1,4.5,416.68,79.7,1.57,1.17,363.38,279.87,-3.94,1.1,13.36,0.25,0.0,0.0,2.08,114815.3621496883,False
NGC6195,NFW-LCDM,0.36,0.07,0.84,0.1,110.54,10.58,60.5,4.6,251.74,43.44,4.35,1.09,79.27,24.11,-3.03,0.46,12.71,0.22,0.0,0.0,2.06,933254.3007969914,False
NGC6503,Burkert-Flat,0.56,0.04,0.0,0.0,6.27,0.31,74.1,2.0,74.28,1.23,20.26,1.09,5.02,0.28,-1.44,0.08,11.12,0.02,0.0,0.0,2.53,36307805.47701014,False
NGC6503,NFW-Flat,0.4,0.03,0.0,0.0,6.16,0.3,73.8,2.0,80.66,1.64,14.42,1.12,7.66,0.61,-1.78,0.11,11.22,0.03,0.0,0.0,1.55,16595869.074375605,False
NGC6503,NFW-LCDM,0.41,0.03,0.0,0.0,6.28,0.3,73.7,2.0,81.9,1.65,13.6,1.03,8.25,0.65,-1.85,0.11,11.24,0.03,0.0,0.0,1.58,14125375.44622754,False
NGC6674,Burkert-Flat,0.84,0.12,0.73,0.17,69.81,7.38,62.8,4.9,251.54,32.01,3.06,0.48,112.67,22.8,-3.37,0.32,12.71,0.17,0.0,0.0,1.44,426579.5188015926,False
NGC6674,NFW-Flat,0.91,0.14,0.9,0.22,57.68,7.17,59.6,4.9,299.73,30.47,1.0,0.15,409.74,74.54,-4.29,0.28,12.93,0.13,0.0,0.0,2.78,51286.13839913648,False
NGC6674,NFW-LCDM,1.29,0.21,0.92,0.24,39.6,5.47,60.8,5.2,271.84,34.26,2.01,0.42,184.96,45.27,-3.73,0.37,12.81,0.16,0.0,0.0,3.42,186208.71366628676,False
NGC6789,Burkert-Flat,0.52,0.13,0.0,0.0,3.49,0.18,42.9,7.0,48.15,141.11,59.13,9.12,1.12,3.27,-0.21,5.4,10.55,3.82,0.0,0.0,inf,616595001.8614821,True
NGC6789,NFW-Flat,0.5,0.13,0.0,0.0,3.53,0.18,42.5,7.1,437.45,132.74,4.01,6.05,149.59,230.58,-3.11,2.11,13.43,0.4,0.0,0.0,inf,776247.1166286919,True
NGC6789,NFW-LCDM,0.55,0.14,0.0,0.0,3.6,0.18,51.8,5.3,45.36,2.74,14.61,2.72,4.25,0.83,-1.77,0.27,10.47,0.08,0.0,0.0,inf,16982436.524617445,True
NGC6946,Burkert-Flat,0.58,0.09,0.63,0.11,5.15,0.8,37.9,1.9,89.63,7.44,19.42,6.16,6.32,2.07,-1.49,0.44,11.36,0.11,0.0,0.0,1.53,32359365.692962825,False
NGC6946,NFW-Flat,0.5,0.07,0.55,0.08,5.0,0.81,37.9,2.0,115.83,11.84,10.65,2.93,14.9,4.38,-2.11,0.41,11.69,0.13,0.0,0.0,1.69,7762471.16628692,False
NGC6946,NFW-LCDM,0.5,0.07,0.53,0.07,5.23,0.76,38.1,1.9,125.12,12.61,8.43,1.83,20.34,4.86,-2.36,0.34,11.8,0.13,0.0,0.0,1.7,4365158.322401661,False
NGC7331,Burkert-Flat,0.48,0.05,0.61,0.13,12.97,1.28,74.6,2.0,156.2,5.47,15.56,1.56,13.75,1.46,-1.74,0.15,12.08,0.05,0.0,0.0,1.29,18197008.586099837,False
NGC7331,NFW-Flat,0.41,0.05,0.62,0.13,12.95,1.34,74.4,2.0,195.09,14.25,7.46,1.34,35.84,6.98,-2.49,0.28,12.37,0.1,0.0,0.0,0.81,3235936.5692962813,False
NGC7331,NFW-LCDM,0.42,0.05,0.61,0.13,12.8,1.2,74.5,2.0,200.41,13.27,7.11,1.08,38.63,6.39,-2.54,0.24,12.41,0.09,0.0,0.0,0.81,2884031.5031266054,False
NGC7793,Burkert-Flat,0.56,0.1,0.0,0.0,3.67,0.18,56.7,6.7,46.42,8.61,18.74,4.52,3.39,1.03,-1.53,0.47,10.5,0.24,0.0,0.0,0.76,29512092.266663853,False
NGC7793,NFW-Flat,0.49,0.1,0.0,0.0,3.66,0.18,54.7,7.1,68.05,57.54,8.05,3.87,11.58,11.26,-2.41,1.68,11.0,1.1,0.0,0.0,0.9,3890451.449942805,False
NGC7793,NFW-LCDM,0.55,0.09,0.0,0.0,3.64,0.18,50.4,5.2,82.58,5.63,7.36,1.78,15.38,3.86,-2.5,0.35,11.25,0.09,0.0,0.0,0.94,3162277.6601683795,False
NGC7814,Burkert-Flat,0.52,0.14,0.63,0.05,14.32,0.65,89.8,0.6,116.09,3.73,29.51,3.17,5.39,0.6,-1.02,0.15,11.7,0.04,0.0,0.0,0.87,95499258.60214359,False
NGC7814,NFW-Flat,0.52,0.13,0.56,0.05,14.26,0.64,89.8,0.6,135.27,9.17,17.11,3.08,10.83,2.08,-1.6,0.27,11.9,0.09,0.0,0.0,0.56,25118864.315095793,False
NGC7814,NFW-LCDM,0.65,0.17,0.57,0.05,14.76,0.63,89.8,0.6,151.15,14.19,12.38,2.35,16.72,3.54,-1.95,0.3,12.04,0.12,0.0,0.0,0.7,11220184.543019636,False
PGC51017,Burkert-Flat,0.56,0.1,0.0,0.0,13.9,1.18,66.0,2.9,308.46,144.44,1.07,1.09,394.99,442.69,-4.08,1.79,12.97,0.61,0.0,0.0,7.44,83176.37711026709,False
PGC51017,NFW-Flat,0.52,0.1,0.0,0.0,13.63,1.25,66.4,3.1,10.08,4.13,1.0,4.81,13.77,66.37,-4.29,6.85,8.51,0.53,0.0,0.0,7.87,51286.13839913648,False
PGC51017,NFW-LCDM,0.44,0.11,0.0,0.0,8.04,1.15,62.5,3.2,38.51,2.37,3.43,0.76,15.37,3.53,-3.25,0.32,10.26,0.08,0.0,0.0,22.6,562341.3251903491,False
UGC00128,Burkert-Flat,0.33,0.07,0.0,0.0,64.57,8.72,56.3,7.4,94.02,8.57,15.85,1.88,8.13,1.22,-1.72,0.23,11.42,0.12,0.0,0.0,9.26,19054607.179632474,False
UGC00128,NFW-Flat,0.45,0.11,0.0,0.0,62.66,8.7,52.1,6.6,109.28,10.11,9.12,1.18,16.42,2.61,-2.28,0.24,11.62,0.12,0.0,0.0,3.57,5248074.602497728,False
UGC00128,NFW-LCDM,0.53,0.11,0.0,0.0,62.55,8.03,61.7,7.1,97.95,7.39,8.07,0.77,16.62,2.02,-2.4,0.19,11.48,0.1,0.0,0.0,3.71,3981071.7055349736,False
UGC00191,Burkert-Flat,0.44,0.14,0.0,0.0,19.85,4.67,46.4,4.8,44.45,4.28,26.55,7.65,2.29,0.7,-1.14,0.42,10.45,0.13,0.0,0.0,6.73,72443596.00749902,False
UGC00191,NFW-Flat,0.6,0.16,0.0,0.0,18.28,4.54,44.8,5.0,64.27,7.86,8.75,3.52,10.06,4.23,-2.32,0.58,10.93,0.16,0.0,0.0,5.96,4786300.923226385,False
UGC00191,NFW-LCDM,0.58,0.15,0.0,0.0,17.34,3.46,42.3,3.5,67.79,5.42,9.74,1.93,9.54,2.04,-2.21,0.3,11.0,0.1,0.0,0.0,6.09,6165950.018614822,False
UGC00634,Burkert-Flat,0.5,0.12,0.0,0.0,31.44,7.38,37.6,7.8,78.04,15.05,15.2,6.03,7.03,3.1,-1.76,0.63,11.18,0.25,0.0,0.0,inf,17378008.287493754,True
UGC00634,NFW-Flat,0.47,0.11,0.0,0.0,33.76,7.88,40.3,7.6,96.51,19.79,5.23,2.6,25.26,13.59,-2.85,0.77,11.46,0.27,0.0,0.0,inf,1412537.544622754,True
UGC00634,NFW-LCDM,0.46,0.11,0.0,0.0,30.84,5.95,47.3,4.9,74.55,6.14,6.28,1.36,16.26,3.77,-2.66,0.33,11.12,0.11,0.0,0.0,inf,2187761.623949552,True
UGC00731,Burkert-Flat,0.49,0.13,0.0,0.0,15.76,3.24,57.5,3.0,43.39,2.14,21.24,3.91,2.8,0.53,-1.39,0.26,10.42,0.06,0.0,0.0,0.56,40738027.78041128,False
UGC00731,NFW-Flat,0.51,0.13,0.0,0.0,11.04,3.36,56.6,3.0,58.05,4.52,10.22,3.08,7.78,2.42,-2.16,0.42,10.79,0.1,0.0,0.0,0.45,6918309.709189363,False
UGC00731,NFW-LCDM,0.55,0.13,0.0,0.0,13.58,2.15,57.4,2.8,55.16,2.7,9.37,1.37,8.06,1.24,-2.25,0.21,10.73,0.06,0.0,0.0,0.54,5623413.251903491,False
UGC00891,Burkert-Flat,0.49,0.12,0.0,0.0,10.02,2.96,59.8,5.1,53.46,6.57,14.26,5.08,5.14,1.94,-1.83,0.52,10.69,0.16,0.0,0.0,inf,14791083.881682072,True
UGC00891,NFW-Flat,0.47,0.11,0.0,0.0,10.22,2.02,59.9,5.0,244.91,60.18,1.14,0.99,294.81,267.61,-4.19,1.31,12.67,0.32,0.0,0.0,inf,64565.42290346549,True
UGC00891,NFW-LCDM,0.58,0.13,0.0,0.0,7.8,1.66,65.6,4.3,57.55,3.69,7.6,1.84,10.37,2.6,-2.47,0.34,10.78,0.08,0.0,0.0,inf,3388441.5613920237,True
UGC01230,Burkert-Flat,0.5,0.13,0.0,0.0,52.29,10.87,18.7,8.2,80.81,66.04,27.4,24.24,4.04,4.86,-1.1,1.9,11.23,1.06,0.0,0.0,0.37,79432823.47242814,False
UGC01230,NFW-Flat,0.54,0.13,0.0,0.0,53.92,10.83,24.5,10.4,70.6,71.51,9.94,11.6,9.73,15.04,-2.19,2.42,11.05,1.32,0.0,0.0,1.61,6456542.290346555,False
UGC01230,NFW-LCDM,0.52,0.13,0.0,0.0,56.4,9.94,21.6,2.3,84.14,8.29,9.47,1.99,12.17,2.82,-2.24,0.33,11.28,0.13,0.0,0.0,1.7,5754399.373371567,False
UGC01281,Burkert-Flat,0.49,0.13,0.0,0.0,5.26,0.24,90.0,0.6,44.39,5.39,18.54,1.46,3.28,0.47,-1.54,0.25,10.45,0.16,0.0,0.0,0.14,28840315.031266056,False
UGC01281,NFW-Flat,0.48,0.12,0.0,0.0,5.34,0.24,89.9,0.6,286.91,58.36,1.07,0.67,367.05,242.76,-4.24,0.97,12.88,0.27,0.0,0.0,1.08,57543.993733715666,False
UGC01281,NFW-LCDM,0.55,0.12,0.0,0.0,5.38,0.24,90.0,0.6,55.82,2.96,6.28,0.62,12.18,1.37,-2.66,0.16,10.74,0.07,0.0,0.0,1.88,2187761.623949552,False
UGC02023,Burkert-Flat,0.5,0.12,0.0,0.0,10.03,3.08,17.4,7.9,341.99,135.17,13.52,19.09,34.65,50.8,-1.89,2.0,13.11,0.51,0.0,0.0,inf,12882495.516931342,True
UGC02023,NFW-Flat,0.48,0.13,0.0,0.0,10.34,3.1,18.3,6.7,238.24,136.91,1.05,11.78,311.8,3512.69,-4.26,15.97,12.63,0.75,0.0,0.0,inf,54954.08738576248,True
UGC02023,NFW-LCDM,0.49,0.12,0.0,0.0,9.53,3.08,15.2,4.0,61.9,7.45,8.59,2.3,9.87,2.9,-2.34,0.42,10.88,0.16,0.0,0.0,inf,4570881.896148752,True
UGC02259,Burkert-Flat,0.46,0.11,0.0,0.0,10.71,3.15,41.1,3.0,45.87,3.94,38.76,13.8,1.62,0.59,-0.7,0.49,10.49,0.11,0.0,0.0,4.53,199526231.49688798,False
UGC02259,NFW-Flat,0.49,0.12,0.0,0.0,9.94,3.12,40.3,3.0,55.18,5.08,21.5,8.74,3.52,1.47,-1.34,0.56,10.73,0.12,0.0,0.0,1.39,45708818.961487494,False
UGC02259,NFW-LCDM,0.43,0.11,0.0,0.0,12.54,2.2,38.0,2.5,64.41,4.3,15.99,2.76,5.52,1.02,-1.67,0.26,10.93,0.09,0.0,0.0,2.44,21379620.895022325,False
UGC02455,Burkert-Flat,0.46,0.12,0.0,0.0,1.27,0.6,50.2,5.2,486.58,125.64,45.95,19.65,14.51,7.25,-0.51,0.74,13.56,0.34,0.0,0.0,1.06,309029543.25135905,False
UGC02455,NFW-Flat,0.49,0.12,0.0,0.0,0.02,0.23,51.3,5.0,390.62,121.55,79.23,23.26,6.75,2.89,0.16,0.69,13.28,0.41,0.0,0.0,3.5,1445439770.7459273,False
UGC02455,NFW-LCDM,0.34,0.08,0.0,0.0,2.26,0.7,49.7,5.1,51.67,4.31,11.47,3.21,6.17,1.8,-2.03,0.4,10.64,0.11,0.0,0.0,10.42,9332543.007969916,False
UGC02487,Burkert-Flat,0.67,0.15,0.69,0.15,77.88,9.05,43.5,3.6,179.98,13.1,13.22,5.5,18.65,7.87,-1.91,0.57,12.27,0.09,0.0,0.0,4.84,12302687.708123818,False
UGC02487,NFW-Flat,0.7,0.14,0.58,0.12,75.96,9.32,40.1,3.9,200.41,16.16,11.43,5.78,24.02,12.31,-2.04,0.69,12.41,0.11,0.0,0.0,5.24,9120108.393559096,False
UGC02487,NFW-LCDM,0.7,0.15,0.59,0.11,64.86,7.86,46.2,3.4,180.83,11.54,9.94,2.66,24.91,6.85,-2.19,0.37,12.27,0.08,0.0,0.0,5.26,6456542.290346555,False
UGC02885,Burkert-Flat,0.55,0.11,0.98,0.12,85.76,7.14,66.1,3.7,210.29,15.41,10.08,2.0,28.57,6.03,-2.21,0.3,12.47,0.1,0.0,0.0,1.1,6165950.018614822,False
UGC02885,NFW-Flat,0.47,0.1,0.94,0.12,84.91,7.33,65.4,3.8,253.44,36.93,4.71,1.62,73.71,27.49,-2.95,0.53,12.71,0.19,0.0,0.0,0.99,1122018.454301963,False
UGC02885,NFW-LCDM,0.42,0.09,1.05,0.12,77.08,6.59,65.4,3.6,247.18,20.42,5.87,1.27,57.69,13.4,-2.73,0.33,12.68,0.11,0.0,0.0,1.0,1862087.1366628676,False
UGC02916,Burkert-Flat,0.48,0.11,0.68,0.12,57.46,8.52,46.5,4.4,125.23,11.42,26.16,3.14,6.56,0.99,-1.15,0.23,11.8,0.12,0.0,0.0,10.55,70794578.4384138,False
UGC02916,NFW-Flat,0.51,0.13,0.54,0.09,57.22,8.21,47.4,4.6,135.3,13.46,16.36,2.47,11.33,2.05,-1.65,0.27,11.9,0.13,0.0,0.0,11.37,22387211.3856834,False
UGC02916,NFW-LCDM,0.5,0.12,0.5,0.07,61.63,7.11,48.0,4.1,140.21,11.62,14.16,1.86,13.56,2.1,-1.8,0.23,11.94,0.11,0.0,0.0,11.4,15848931.924611134,False
UGC02953,Burkert-Flat,0.59,0.08,0.52,0.07,20.86,2.38,51.2,3.2,176.53,9.01,12.37,1.28,19.55,2.25,-1.99,0.17,12.24,0.07,0.0,0.0,6.07,10232929.922807543,False
UGC02953,NFW-Flat,0.56,0.1,0.59,0.11,18.14,2.64,50.0,3.6,185.12,11.4,10.72,1.88,23.65,4.38,-2.1,0.26,12.31,0.08,0.0,0.0,5.64,7943282.347242814,False
UGC02953,NFW-LCDM,0.54,0.08,0.57,0.08,16.9,2.0,53.7,3.2,176.03,8.52,10.73,1.31,22.47,2.95,-2.1,0.18,12.24,0.06,0.0,0.0,5.64,7943282.347242814,False
UGC03205,Burkert-Flat,0.68,0.08,0.87,0.11,65.53,6.83,69.0,3.7,165.36,9.47,7.47,0.97,30.34,4.31,-2.52,0.2,12.16,0.07,0.0,0.0,3.84,3019951.7204020163,False
UGC03205,NFW-Flat,0.29,0.06,0.82,0.18,23.12,8.09,65.5,4.1,105.12,10.96,60.6,28.05,2.38,1.13,-0.16,0.64,11.57,0.14,0.0,0.0,3.08,691830970.9189365,False
UGC03205,NFW-LCDM,0.68,0.08,1.04,0.12,52.91,5.57,68.8,3.8,180.02,16.39,4.82,1.18,51.19,13.37,-2.93,0.37,12.27,0.12,0.0,0.0,3.54,1174897.5549395292,False
UGC03546,Burkert-Flat,0.54,0.11,0.58,0.12,26.27,4.31,53.2,4.6,110.88,8.69,24.14,4.63,6.29,1.3,-1.25,0.29,11.64,0.1,0.0,0.0,0.72,56234132.519034915,False
UGC03546,NFW-Flat,0.49,0.11,0.58,0.11,22.63,4.0,53.5,4.7,120.25,9.83,18.93,4.52,8.7,2.2,-1.48,0.35,11.74,0.11,0.0,0.0,0.96,33113112.148259114,False
UGC03546,NFW-LCDM,0.59,0.12,0.47,0.08,25.63,3.54,55.1,4.4,130.97,11.35,11.8,2.65,15.2,3.65,-2.0,0.34,11.85,0.11,0.0,0.0,1.03,10000000.0,False
UGC03580,Burkert-Flat,1.1,0.2,0.29,0.05,12.44,2.04,61.5,4.1,85.44,4.92,20.6,2.84,5.68,0.85,-1.42,0.21,11.3,0.08,0.0,0.0,2.69,38018939.632056125,False
UGC03580,NFW-Flat,0.84,0.17,0.36,0.07,9.2,1.76,61.2,4.1,100.04,6.97,13.46,2.45,10.18,1.98,-1.86,0.27,11.5,0.09,0.0,0.0,2.34,13803842.646028845,False
UGC03580,NFW-LCDM,0.68,0.12,0.28,0.05,11.11,2.03,63.8,4.1,99.71,6.44,11.53,2.0,11.85,2.2,-2.03,0.26,11.5,0.08,0.0,0.0,2.36,9332543.007969916,False
UGC04278,Burkert-Flat,0.62,0.16,0.0,0.0,11.53,2.0,89.7,1.8,90.06,84.32,13.42,2.94,9.19,8.84,-1.9,1.75,11.37,1.22,0.0,0.0,0.58,12589254.117941676,False
UGC04278,NFW-Flat,0.41,0.09,0.0,0.0,9.3,2.23,89.5,1.8,494.0,85.16,1.01,0.89,671.84,604.31,-4.29,1.29,13.58,0.22,0.0,0.0,1.37,51286.13839913648,False
UGC04278,NFW-LCDM,0.48,0.1,0.0,0.0,13.05,1.8,89.9,1.7,76.12,4.23,5.52,0.96,18.89,3.46,-2.79,0.25,11.15,0.07,0.0,0.0,3.19,1621810.0973589297,False
UGC04305,Burkert-Flat,0.5,0.13,0.0,0.0,3.43,0.17,22.1,6.7,29.22,13.44,39.06,14.95,1.02,0.61,-0.69,0.99,9.9,0.6,0.0,0.0,1.08,204173794.46695298,False
UGC04305,NFW-Flat,0.7,0.18,0.0,0.0,3.45,0.17,32.9,5.2,17.36,11.03,11.7,5.5,2.03,1.61,-2.01,1.33,9.22,0.83,0.0,0.0,1.81,9772372.209558113,False
UGC04305,NFW-LCDM,0.53,0.15,0.0,0.0,3.46,0.17,18.5,2.0,57.89,3.68,12.05,2.98,6.58,1.68,-1.98,0.35,10.79,0.08,0.0,0.0,2.22,10471285.480508996,False
UGC04325,Burkert-Flat,0.5,0.13,0.0,0.0,9.14,2.77,40.8,3.0,45.36,4.05,47.79,15.76,1.3,0.44,-0.46,0.46,10.47,0.12,0.0,0.0,0.8,346736850.45253164,False
UGC04325,NFW-Flat,0.57,0.15,0.0,0.0,11.3,2.77,41.5,3.0,58.34,6.65,17.39,4.71,4.59,1.35,-1.58,0.41,10.8,0.15,0.0,0.0,5.31,26302679.918953814,False
UGC04325,NFW-LCDM,0.49,0.12,0.0,0.0,11.8,1.96,40.1,2.6,70.07,4.62,13.94,2.47,6.88,1.3,-1.82,0.26,11.04,0.09,0.0,0.0,6.66,15135612.484362079,False
UGC04483,Burkert-Flat,0.5,0.13,0.0,0.0,3.36,0.31,57.7,3.0,12.92,1.92,32.86,5.79,0.54,0.12,-0.89,0.36,8.84,0.19,0.0,0.0,0.5,128824955.16931339,False
UGC04483,NFW-Flat,0.52,0.12,0.0,0.0,3.33,0.31,58.2,3.0,24.57,57.88,8.98,4.17,3.75,8.99,-2.29,4.38,9.67,3.07,0.0,0.0,1.19,5128613.839913648,False
UGC04483,NFW-LCDM,0.48,0.11,0.0,0.0,3.17,0.29,56.8,3.0,32.04,1.97,7.73,1.17,5.68,0.93,-2.45,0.23,10.02,0.08,0.0,0.0,1.33,3548133.8923357534,False
UGC04499,Burkert-Flat,0.48,0.12,0.0,0.0,11.78,3.55,50.1,3.0,44.84,3.83,22.08,8.55,2.78,1.1,-1.35,0.53,10.46,0.11,0.0,0.0,0.39,44668359.2150963,False
UGC04499,NFW-Flat,0.47,0.12,0.0,0.0,11.99,3.66,49.6,3.0,68.49,23.87,7.25,3.57,12.93,7.8,-2.51,0.92,11.01,0.45,0.0,0.0,1.78,3090295.432513592,False
UGC04499,NFW-LCDM,0.47,0.11,0.0,0.0,11.33,2.19,50.5,2.8,63.39,4.19,8.25,1.86,10.52,2.47,-2.38,0.32,10.91,0.09,0.0,0.0,1.84,4168693.834703355,False
UGC05005,Burkert-Flat,0.5,0.13,0.0,0.0,54.02,10.62,41.7,10.5,78.05,43.37,10.05,5.28,10.64,8.14,-2.21,1.24,11.18,0.72,0.0,0.0,0.02,6165950.018614822,False
UGC05005,NFW-Flat,0.5,0.12,0.0,0.0,54.47,10.62,41.5,9.7,144.16,84.35,1.73,2.04,114.19,150.47,-3.86,1.96,11.98,0.76,0.0,0.0,0.33,138038.42646028852,False
UGC05005,NFW-LCDM,0.49,0.12,0.0,0.0,46.09,10.05,43.0,6.0,74.1,6.9,5.95,1.38,17.06,4.26,-2.72,0.35,11.11,0.12,0.0,0.0,1.38,1905460.7179632462,False
UGC05253,Burkert-Flat,0.34,0.07,0.94,0.15,19.96,3.51,34.7,3.2,141.15,13.57,28.43,3.85,6.8,1.13,-1.06,0.25,11.95,0.13,0.0,0.0,0.95,87096358.99560805,False
UGC05253,NFW-Flat,0.3,0.06,1.0,0.17,15.62,3.14,34.5,3.4,151.27,16.04,23.02,3.47,9.0,1.66,-1.27,0.28,12.04,0.14,0.0,0.0,2.42,53703179.63702527,False
UGC05253,NFW-LCDM,0.28,0.05,0.75,0.13,19.53,3.09,35.9,3.1,155.28,13.17,17.76,2.38,11.98,1.9,-1.56,0.24,12.08,0.11,0.0,0.0,2.5,27542287.03338166,False
UGC05414,Burkert-Flat,0.5,0.14,0.0,0.0,9.13,2.76,55.3,3.0,42.58,136.3,19.59,6.95,2.98,9.59,-1.48,5.92,10.39,4.17,0.0,0.0,0.39,33113112.148259114,False
UGC05414,NFW-Flat,0.46,0.11,0.0,0.0,8.99,2.46,55.1,3.0,338.3,105.94,1.06,1.41,439.05,604.09,-4.25,1.98,13.09,0.41,0.0,0.0,3.98,56234.13251903491,False
UGC05414,NFW-LCDM,0.47,0.11,0.0,0.0,8.37,1.58,55.2,2.9,60.26,4.04,7.3,1.73,11.31,2.78,-2.51,0.34,10.84,0.09,0.0,0.0,10.59,3090295.432513592,False
UGC05716,Burkert-Flat,0.72,0.16,0.0,0.0,31.13,4.2,68.9,7.2,42.61,3.1,11.15,1.77,5.23,0.92,-2.1,0.25,10.39,0.09,0.0,0.0,2.35,7943282.347242814,False
UGC05716,NFW-Flat,0.45,0.1,0.0,0.0,22.68,4.89,56.5,8.6,56.96,7.1,8.42,1.97,9.27,2.46,-2.36,0.39,10.77,0.16,0.0,0.0,2.49,4365158.322401661,False
UGC05716,NFW-LCDM,0.45,0.1,0.0,0.0,21.87,4.21,56.7,5.4,56.51,4.11,8.72,1.29,8.87,1.46,-2.32,0.24,10.76,0.09,0.0,0.0,2.49,4786300.923226385,False
UGC05721,Burkert-Flat,0.5,0.12,0.0,0.0,6.7,1.66,61.9,4.9,40.55,3.39,49.54,15.83,1.12,0.37,-0.42,0.45,10.33,0.11,0.0,0.0,0.44,380189396.32056123,False
UGC05721,NFW-Flat,0.46,0.11,0.0,0.0,5.78,1.76,60.7,5.0,47.62,5.1,29.06,15.11,2.24,1.19,-1.0,0.71,10.54,0.14,0.0,0.0,1.09,100000000.0,False
UGC05721,NFW-LCDM,0.47,0.11,0.0,0.0,8.84,1.29,60.1,4.5,57.8,3.69,15.56,3.37,5.09,1.15,-1.7,0.31,10.79,0.08,0.0,0.0,1.37,19952623.1496888,False
UGC05750,Burkert-Flat,0.5,0.13,0.0,0.0,59.07,12.23,64.0,10.2,62.3,12.4,11.07,3.83,7.71,3.08,-2.11,0.59,10.89,0.26,0.0,0.0,0.18,7762471.16628692,False
UGC05750,NFW-Flat,0.53,0.13,0.0,0.0,61.95,11.81,67.1,9.9,106.76,58.52,1.89,1.19,77.2,64.28,-3.78,1.33,11.59,0.71,0.0,0.0,1.44,165958.69074375616,False
UGC05750,NFW-LCDM,0.52,0.13,0.0,0.0,47.27,9.93,59.5,9.0,69.21,5.84,5.7,1.35,16.64,4.17,-2.76,0.35,11.02,0.11,0.0,0.0,2.08,1737800.8287493763,False
UGC05764,Burkert-Flat,0.49,0.13,0.0,0.0,7.54,2.01,59.6,9.5,29.38,3.59,40.67,9.33,0.99,0.26,-0.65,0.38,9.91,0.16,0.0,0.0,4.05,223872113.85683393,False
UGC05764,NFW-Flat,0.5,0.13,0.0,0.0,8.67,2.05,63.6,9.4,36.84,4.27,16.99,3.47,2.97,0.7,-1.6,0.34,10.2,0.15,0.0,0.0,10.58,25118864.315095793,False
UGC05764,NFW-LCDM,0.45,0.11,0.0,0.0,9.44,1.76,53.0,5.5,43.78,3.4,16.16,2.19,3.71,0.58,-1.66,0.23,10.43,0.1,0.0,0.0,10.91,21877616.23949553,False
UGC05829,Burkert-Flat,0.51,0.13,0.0,0.0,9.23,2.62,38.2,10.1,34.9,21.55,15.41,7.73,3.1,2.47,-1.75,1.32,10.13,0.8,0.0,0.0,0.26,17782794.10038923,False
UGC05829,NFW-Flat,0.51,0.13,0.0,0.0,8.58,2.49,32.7,8.7,210.77,120.75,1.47,1.98,196.27,287.65,-3.99,2.16,12.47,0.75,0.0,0.0,0.13,102329.29922807535,False
