domain,concept_id,lane,architecture_id,driver_ids,lay_mechanism,planned_cells,valid_cells,invalid_cells,best_cell_id,best_strongest_worst_fractional_improvement,strict_domain_survivors,rar_conditional_cells,rar_robust_cells,baryon_robust_cells,dominant_category
CLUSTERS,TW2-A09-D05,RIVALS_CONTROLS,A09_ENTROPIC,D05_SIG,The entropic_response template lets source-side surface_mass_density alter an effective matter field.,2,2,0,TW2-A09-D05-C002,-53.2578734682,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A09-D06,RIVALS_CONTROLS,A09_ENTROPIC,D06_SLOPE,The entropic_response template lets source-side source_log_slope alter an effective matter field.,2,2,0,TW2-A09-D06-C002,-51.8304802084,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A09-D07,RIVALS_CONTROLS,A09_ENTROPIC,D07_TIDE,The entropic_response template lets source-side baryonic_tidal_invariant alter an effective matter field.,2,2,0,TW2-A09-D07-C002,-53.7920547823,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A09-D13,RIVALS_CONTROLS,A09_ENTROPIC,D13_GASF,The entropic_response template lets source-side baryonic_gas_fraction alter an effective matter field.,2,2,0,TW2-A09-D13-C002,-49.89016754,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A10-D01,RIVALS_CONTROLS,A10_DENSITY_SCREEN,D01_ACC,The value_screen template lets source-side baryonic_acceleration alter an effective matter field.,4,4,0,TW2-A10-D01-C004,-45.4845517267,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A10-D02,RIVALS_CONTROLS,A10_DENSITY_SCREEN,D02_POT,The value_screen template lets source-side baryonic_potential_depth alter an effective matter field.,4,4,0,TW2-A10-D02-C004,-47.1349481145,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A10-D03,RIVALS_CONTROLS,A10_DENSITY_SCREEN,D03_RAD,The value_screen template lets source-side source_radius alter an effective matter field.,4,4,0,TW2-A10-D03-C004,-51.8528899473,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A10-D04,RIVALS_CONTROLS,A10_DENSITY_SCREEN,D04_RHO,The value_screen template lets source-side volume_mass_density alter an effective matter field.,4,4,0,TW2-A10-D04-C004,-44.9775698175,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A10-D05,RIVALS_CONTROLS,A10_DENSITY_SCREEN,D05_SIG,The value_screen template lets source-side surface_mass_density alter an effective matter field.,4,4,0,TW2-A10-D05-C004,-45.1062788769,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A10-D06,RIVALS_CONTROLS,A10_DENSITY_SCREEN,D06_SLOPE,The value_screen template lets source-side source_log_slope alter an effective matter field.,4,4,0,TW2-A10-D06-C004,-47.7949925572,0,0,0,2,NO_BASELINE_ADVANCE
