theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,4.0,0.25,75.0,-2589.545274914845,-5211.5871457476405,-2818.6676997626755,5704.230255336982,1152.450650854098,2818.6676997626755
newton,4.0,0.25,80.0,-1732.2741993828704,-5700.635928725081,-3341.802339120903,5914.836717650685,716.0520213295265,3341.802339120903
newton,4.0,0.25,85.0,-1006.6151957981134,-5416.7572935154,-3491.412951860433,5483.877191700699,530.6832158725357,3491.412951860433
newton,4.0,0.25,90.0,-146.26181727752555,-5752.925326653087,-3387.679178205144,5752.925326653087,146.2618172775252,3387.679178205144
newton,4.0,0.25,95.0,-224.05079472400314,-5435.994818221523,-3516.2202784607716,5395.78190333911,696.9763797618123,3516.2202784607716
newton,4.0,0.25,100.0,1154.483250140329,-5665.857322039633,-3887.736411533354,5780.25413073948,-153.07825656791215,3887.736411533354
newton,4.0,0.25,105.0,1983.823352424334,-6083.511523380077,-3064.283853173826,6389.672160686518,-341.697567550611,3064.283853173826
newton,4.0,0.25,110.0,1469.1437862500002,-6549.340856245884,-3034.065036565837,6656.8440419651615,859.46292352928,3034.065036565837
newton,4.0,0.25,115.0,1879.1916755029981,-6193.398338225786,-3427.4220615463037,6407.305861532546,914.3171911259008,3427.4220615463037
newton,4.0,0.25,120.0,1911.369734758002,-5301.841072636455,-4005.367416126166,5547.213923109908,995.6257899930717,4005.367416126166
newton,4.0,0.25,125.0,3326.333373274795,-5109.183586139447,-3770.7844989415034,6093.104621592401,205.73453129637574,3770.7844989415034
newton,4.0,0.25,130.0,3416.490113444448,-5821.1255601305165,-3686.919925994269,6655.318401574481,1124.5641181064661,3686.919925994269
newton,4.0,0.25,135.0,3806.215951571926,-4886.487528399242,-3780.0769956315344,6146.669577531513,763.8673574976792,3780.0769956315344
newton,4.0,0.25,140.0,3952.3933798165995,-4188.74173832601,-4298.276125581802,5720.180275201557,668.2128391519527,4298.276125581802
newton,4.0,0.25,145.0,4492.481445080532,-2531.55244795945,-4307.890989012517,5132.06419120443,-503.05513467170294,4307.890989012517
newton,4.0,0.25,150.0,4919.050512403573,-1939.4897563945585,-3493.1946106316987,5229.767584437633,-779.8778567844056,3493.1946106316987
newton,4.0,0.25,155.0,5290.888359973148,-2602.284477338037,-3342.1037022562077,5894.94626335264,122.44464414010963,3342.1037022562077
newton,4.0,0.25,160.0,6399.028918872387,-3057.553211010596,-3410.1616060454244,7058.865042715714,684.5634020690823,3410.1616060454244
newton,4.0,0.25,165.0,6261.586570210978,-3119.6144274966196,-3659.2340632097985,6855.643808924294,1392.6982866541957,3659.2340632097985
newton,4.0,0.25,170.0,6901.27019750663,-1938.4090386332584,-4945.0355648470695,7133.025593268393,710.5672563708513,4945.0355648470695
newton,4.0,0.25,175.0,8291.4541681846,586.2164631048336,-4075.1744346352716,8208.810550563398,-1306.6335789654258,4075.1744346352716
newton,4.0,0.25,180.0,7955.077107608784,-435.99588220048463,-3447.1621122041543,7955.077107608784,435.99588220048366,3447.1621122041543
newton,4.0,0.25,185.0,7935.293985830763,-390.6078091246427,-4161.894922497258,7871.054082756627,1080.7278697393049,4161.894922497258
newton,4.0,0.25,190.0,8766.850323768907,1328.9619819076906,-4433.475344560697,8864.43399469211,213.57551936004666,4433.475344560697
newton,4.0,0.25,195.0,9294.694606923704,3348.2108576772152,-4556.107823916782,9844.566305283233,-828.4793566083513,4556.107823916782
