band,mode,ky,kx,q,q_pass
high,474,19,18,1.0261154958879768,True
high,475,19,19,1.1125374302595732,True
high,476,19,20,1.0303121706486205,True
high,477,19,21,1.1107961892617468,True
high,478,19,22,1.0306402541558588,True
high,479,19,23,1.1105062415753213,True
high,480,20,0,1.1363274647669304,True
high,481,20,1,1.0422083998723672,True
high,482,20,2,0.9704841209194817,True
high,483,20,3,0.839331308132995,True
high,484,20,4,1.0780138229358787,True
high,485,20,5,0.9698382363010646,True
high,486,20,6,0.9438529787720978,True
high,487,20,7,1.0247234521801873,True
high,488,20,8,1.000488039214933,True
high,489,20,9,1.0009700773848063,True
high,490,20,10,0.9438243910149021,True
high,491,20,11,1.001254283141704,True
high,492,20,12,0.9858246243217565,True
high,493,20,13,1.0176144922896988,True
high,494,20,14,1.0802915517198255,True
high,495,20,15,0.9647549498061692,True
high,496,20,16,0.926894547933499,True
high,497,20,17,1.0470680100777081,True
high,498,20,18,0.9531776962730883,True
high,499,20,19,1.043184550063452,True
high,500,20,20,0.9501307944564553,True
high,501,20,21,1.0438911479348816,True
high,502,20,22,0.949254298877045,True
high,503,20,23,1.0439439615319899,True
high,504,21,0,0.953216822252661,True
high,505,21,1,1.0621323119153712,True
high,506,21,2,1.0886479807292138,True
high,507,21,3,0.9994951897944854,True
high,508,21,4,0.9976183456017387,True
high,509,21,5,0.9654647277444167,True
high,510,21,6,0.9796320530853542,True
high,511,21,7,0.9736858459526372,True
high,512,21,8,0.9848005159465065,True
high,513,21,9,0.9438040124607977,True
high,514,21,10,0.8940241399999349,True
high,515,21,11,1.1598479953656258,True
high,516,21,12,0.9345845245809227,True
high,517,21,13,1.0806249991563095,True
high,518,21,14,0.9858093997578611,True
high,519,21,15,1.007994042036328,True
high,520,21,16,1.0748136534975934,True
high,521,21,17,1.0770576908968816,True
high,522,21,18,1.0189112958299127,True
high,523,21,19,1.1102057715124491,True
high,524,21,20,1.0217213922580008,True
high,525,21,21,1.1085098385884058,True
high,526,21,22,1.0215360727772806,True
high,527,21,23,1.1084473856694865,True
high,528,22,0,1.132379919720464,True
high,529,22,1,1.0455372772136322,True
high,530,22,2,0.9763252225227506,True
high,531,22,3,0.8376545860309305,True
high,532,22,4,1.0732718870764617,True
high,533,22,5,0.9742087370410693,True
high,534,22,6,0.9407832086979605,True
high,535,22,7,1.0180124173112173,True
high,536,22,8,1.0018724605493634,True
high,537,22,9,1.007099463503116,True
high,538,22,10,0.9518175313089925,True
high,539,22,11,1.009812201792746,True
high,540,22,12,0.9819342702781917,True
high,541,22,13,1.0224966163862734,True
high,542,22,14,1.080973047118517,True
high,543,22,15,0.9591105288585098,True
high,544,22,16,0.9260291319694283,True
high,545,22,17,1.049310437675625,True
high,546,22,18,0.947557738656727,True
high,547,22,19,1.0457160970889454,True
high,548,22,20,0.9438438799651032,True
high,549,22,21,1.0463342273096348,True
high,550,22,22,0.9427798556153112,True
high,551,22,23,1.046310839395603,True
high,552,23,0,0.948898633260435,True
high,553,23,1,1.0503605593398517,True
high,554,23,2,1.0833082757307988,True
high,555,23,3,0.9969733080598149,True
high,556,23,4,0.9998077788114705,True
high,557,23,5,0.9661086077488003,True
high,558,23,6,0.9797295002093692,True
high,559,23,7,0.9810073171012144,True
high,560,23,8,0.9833537141663342,True
high,561,23,9,0.9405706708538665,True
high,562,23,10,0.8949256630655741,True
high,563,23,11,1.1598391851900423,True
high,564,23,12,0.9344656956731472,True
high,565,23,13,1.0831496864950831,True
high,566,23,14,0.9849666146310251,True
high,567,23,15,1.008375413802251,True
high,568,23,16,1.0746140238106627,True
high,569,23,17,1.075153376454933,True
high,570,23,18,1.015789349871549,True
high,571,23,19,1.1094356579730456,True
high,572,23,20,1.0181593221101268,True
high,573,23,21,1.1079459542307266,True
high,574,23,22,1.0177014423408928,True
high,575,23,23,1.1074151596235216,True
