detector,group,branch,center,shift,amplitude,kind,mean_true_full_retention_difference
native_core,noiseless,boxcar_hanning_full,36,-4,10,streaming,-0.011442684490870936
native_core,noiseless,boxcar_hanning_full,36,4,5,streaming,-0.02583246348007895
native_core,noiseless,boxcar_hanning_full,36,4,10,streaming,-0.012648694811029593
native_core,noiseless,boxcar_hanning_full,61,0,5,warp,-0.005234915446728217
native_core,noiseless,boxcar_hanning_full,61,0,10,warp,-0.001535970070776771
native_core,noiseless,boxcar_hanning_full,61,-4,5,warp,-0.00587704226339536
native_core,noiseless,boxcar_hanning_full,61,-4,10,warp,0.0020704426649026386
native_core,noiseless,boxcar_hanning_full,61,4,5,warp,-0.00556248484272287
native_core,noiseless,boxcar_hanning_full,61,4,10,warp,0.002494131843924552
native_core,noiseless,boxcar_hanning_full,61,0,5,streaming,-0.01712589966491157
native_core,noiseless,boxcar_hanning_full,61,0,10,streaming,-0.014590201927272561
native_core,noiseless,boxcar_hanning_full,61,-4,5,streaming,-0.024304159035490047
native_core,noiseless,boxcar_hanning_full,61,-4,10,streaming,-0.009189595688791519
native_core,noiseless,boxcar_hanning_full,61,4,5,streaming,-0.020757109431277343
native_core,noiseless,boxcar_hanning_full,61,4,10,streaming,-0.009535009140934969
native_core,noiseless,boxcar_hanning_decimated,10,0,5,warp,-0.008684781068169167
native_core,noiseless,boxcar_hanning_decimated,10,0,10,warp,-0.001597363236066629
native_core,noiseless,boxcar_hanning_decimated,10,-4,5,warp,-0.010663389459145967
native_core,noiseless,boxcar_hanning_decimated,10,-4,10,warp,-0.0024209696245248713
native_core,noiseless,boxcar_hanning_decimated,10,4,5,warp,-0.012352454449999384
native_core,noiseless,boxcar_hanning_decimated,10,4,10,warp,-0.0020267932217932216
native_core,noiseless,boxcar_hanning_decimated,10,0,5,streaming,-0.0165161240331248
native_core,noiseless,boxcar_hanning_decimated,10,0,10,streaming,-0.014525269685628839
native_core,noiseless,boxcar_hanning_decimated,10,-4,5,streaming,-0.0198413751529109
native_core,noiseless,boxcar_hanning_decimated,10,-4,10,streaming,-0.016044433033908567
native_core,noiseless,boxcar_hanning_decimated,10,4,5,streaming,-0.025783090357313132
native_core,noiseless,boxcar_hanning_decimated,10,4,10,streaming,-0.014901717206743714
native_core,noiseless,boxcar_hanning_decimated,36,0,5,warp,-0.008186107804658671
native_core,noiseless,boxcar_hanning_decimated,36,0,10,warp,-0.00046496243660820724
native_core,noiseless,boxcar_hanning_decimated,36,-4,5,warp,-0.014451994673337354
native_core,noiseless,boxcar_hanning_decimated,36,-4,10,warp,-0.002929393807774461
native_core,noiseless,boxcar_hanning_decimated,36,4,5,warp,-0.008210436186773196
native_core,noiseless,boxcar_hanning_decimated,36,4,10,warp,-0.001626629454277717
native_core,noiseless,boxcar_hanning_decimated,36,0,5,streaming,-0.009629110178395017
native_core,noiseless,boxcar_hanning_decimated,36,0,10,streaming,-0.016095709557018445
native_core,noiseless,boxcar_hanning_decimated,36,-4,5,streaming,-0.01877873367704741
native_core,noiseless,boxcar_hanning_decimated,36,-4,10,streaming,-0.015355635187513261
native_core,noiseless,boxcar_hanning_decimated,36,4,5,streaming,-0.014449055085940798
native_core,noiseless,boxcar_hanning_decimated,36,4,10,streaming,-0.014812730445199596
native_core,noiseless,boxcar_hanning_decimated,61,0,5,warp,-0.01210598450368644
native_core,noiseless,boxcar_hanning_decimated,61,0,10,warp,-0.0034068092704099273
native_core,noiseless,boxcar_hanning_decimated,61,-4,5,warp,-0.009944351507090332
native_core,noiseless,boxcar_hanning_decimated,61,-4,10,warp,-0.002528152453798782
native_core,noiseless,boxcar_hanning_decimated,61,4,5,warp,-0.009794001349338277
native_core,noiseless,boxcar_hanning_decimated,61,4,10,warp,-0.0018647496830191956
native_core,noiseless,boxcar_hanning_decimated,61,0,5,streaming,-0.020376484503643655
native_core,noiseless,boxcar_hanning_decimated,61,0,10,streaming,-0.015400676898709609
native_core,noiseless,boxcar_hanning_decimated,61,-4,5,streaming,-0.023223134571320914
native_core,noiseless,boxcar_hanning_decimated,61,-4,10,streaming,-0.016398809660557068
native_core,noiseless,boxcar_hanning_decimated,61,4,5,streaming,-0.021571312340372573
native_core,noiseless,boxcar_hanning_decimated,61,4,10,streaming,-0.013765567942882195
full_30arcsec,empirical,boxcar_independent,10,0,5,warp,-7.884967196627145e-05
full_30arcsec,empirical,boxcar_independent,10,0,10,warp,-0.00435861563616273
full_30arcsec,empirical,boxcar_independent,10,-4,5,warp,-0.00031189175246367027
full_30arcsec,empirical,boxcar_independent,10,-4,10,warp,-0.008818335892249562
full_30arcsec,empirical,boxcar_independent,10,4,5,warp,-0.00032817000816643196
full_30arcsec,empirical,boxcar_independent,10,4,10,warp,-0.005483054595473241
full_30arcsec,empirical,boxcar_independent,10,0,5,streaming,-0.005720593096287
full_30arcsec,empirical,boxcar_independent,10,0,10,streaming,-0.019879021720311696
full_30arcsec,empirical,boxcar_independent,10,-4,5,streaming,-0.004469959693826948
full_30arcsec,empirical,boxcar_independent,10,-4,10,streaming,-0.03555761989278061
full_30arcsec,empirical,boxcar_independent,10,4,5,streaming,-0.005785856041079216
full_30arcsec,empirical,boxcar_independent,10,4,10,streaming,-0.021484763307643186
full_30arcsec,empirical,boxcar_independent,36,0,5,warp,4.143706112262725e-08
full_30arcsec,empirical,boxcar_independent,36,0,10,warp,-0.02059439056277082
full_30arcsec,empirical,boxcar_independent,36,-4,5,warp,3.4660835071195645e-07
full_30arcsec,empirical,boxcar_independent,36,-4,10,warp,-0.011922434298937773
full_30arcsec,empirical,boxcar_independent,36,4,5,warp,6.075021682523635e-09
full_30arcsec,empirical,boxcar_independent,36,4,10,warp,-0.013651626043198611
full_30arcsec,empirical,boxcar_independent,36,0,5,streaming,3.8519490179259925e-08
full_30arcsec,empirical,boxcar_independent,36,0,10,streaming,-0.11483691455143759
full_30arcsec,empirical,boxcar_independent,36,-4,5,streaming,4.18989380492449e-07
full_30arcsec,empirical,boxcar_independent,36,-4,10,streaming,-0.08870453393466116
full_30arcsec,empirical,boxcar_independent,36,4,5,streaming,4.385821504025116e-09
full_30arcsec,empirical,boxcar_independent,36,4,10,streaming,-0.08061883279995184
full_30arcsec,empirical,boxcar_independent,61,0,5,warp,-0.000921229191930481
full_30arcsec,empirical,boxcar_independent,61,0,10,warp,-0.009893245221225755
full_30arcsec,empirical,boxcar_independent,61,-4,5,warp,-0.0018769524470715615
