kind,branch,coarse_nr,fine_nr,aperture,profile_L1,centroid_km_s,passed
asymmetric,boxcar_hanning_decimated,32,64,1,0.11212113143708813,0.19229796987618109,False
asymmetric,boxcar_hanning_decimated,32,64,2,0.009819949638725947,0.0783701245240529,True
asymmetric,boxcar_hanning_decimated,32,64,3,0.022851588744695187,0.08979801591567771,False
asymmetric,boxcar_hanning_decimated,32,64,4,0.12040534029271506,0.04344758881706845,False
asymmetric,boxcar_hanning_decimated,32,64,5,0.00028079551492160993,0.0014356187902144768,True
asymmetric,boxcar_hanning_decimated,32,64,6,0.0005229225692334998,0.00410242308869968,True
asymmetric,boxcar_hanning_decimated,32,64,7,0.0014968832313709986,0.00884571737256934,True
asymmetric,boxcar_hanning_decimated,32,64,8,0.0032151531373853007,0.004321029537997845,True
asymmetric,boxcar_hanning_decimated,32,64,9,0.006269338959283193,0.01680708593605118,True
asymmetric,boxcar_hanning_decimated,32,64,10,0.0018602643625780166,0.014949415186826798,True
asymmetric,boxcar_hanning_decimated,32,64,11,0.0012446253779704475,0.0022519572288786094,True
asymmetric,boxcar_hanning_decimated,32,64,12,0.1033254856932273,0.12485298179281923,False
asymmetric,boxcar_hanning_decimated,32,64,13,0.030128301211623184,0.1658878059308595,False
asymmetric,boxcar_hanning_decimated,32,64,14,0.017546916660021863,0.08854154997362684,False
asymmetric,boxcar_independent,64,128,0,0.008489606774656933,0.01793134304446653,True
asymmetric,boxcar_independent,64,128,1,0.01234268164119945,0.07270580552636563,False
asymmetric,boxcar_independent,64,128,2,0.00010689912870283029,0.0006696239858925424,True
asymmetric,boxcar_independent,64,128,3,0.0009605455749277207,0.002669628028888482,True
asymmetric,boxcar_independent,64,128,4,0.0025762441796139185,4.668249892203491e-05,True
asymmetric,boxcar_independent,64,128,5,6.767643137877232e-05,3.2777329295186064e-08,True
asymmetric,boxcar_independent,64,128,6,6.76698596096711e-05,2.2407154887105207e-07,True
asymmetric,boxcar_independent,64,128,7,6.763472415135427e-05,1.3914447194451895e-07,True
asymmetric,boxcar_independent,64,128,8,6.771552351938229e-05,1.669479203769697e-07,True
asymmetric,boxcar_independent,64,128,9,6.498892324543768e-05,1.0269976847609996e-05,True
asymmetric,boxcar_independent,64,128,10,6.772572783041072e-05,2.3989526098944225e-07,True
