Name [-]	RA_resolved [deg, J2000]	DE_resolved [deg, J2000]	name_resolver [-]	match_sep [arcsec]	Ks_total [mag]	e_Ks_total [mag]	Ks_catalogue [-]	Ks_column [-]	Ks_extinction_corrected [yes/no]	xsc_2MASX_id [-]	xsc_K.ext [mag]	xsc_e_K.ext [mag]	xsc_r.ext [arcsec]	mrs_Ktmag [mag]	mrs_sep [arcsec]	mrs_CAT_id [-]	leda_kt [mag]	leda_e_kt [mag]	atlas3d_KMAG_abs [mag]	atlas3d_Dist [Mpc]	atlas3d_mK_apparent [mag] (RECONSTRUCTED = KMAG + 5log10(Dist*1e5))	atlas3d_minus_ours [mag]	flags [-]
NGC1316	50.674121	-37.208200	stras	0.01	5.587	0.019	VII/233/xsc	K.ext (2MASS k_m_ext)	no	03224178-3712295	5.587	0.019	295.00	5.580	0.00	NGC_1316	5.60	0.05					
NGC1332	51.572171	-21.335369	stras	0.00	7.052	0.020	VII/233/xsc	K.ext (2MASS k_m_ext)	no	03261732-2120073	7.052	0.020	182.50	7.041	0.00	g0326173-212007	7.06	0.05					
NGC1386	54.192658	-35.999275	stras	0.00	8.066	0.014	VII/233/xsc	K.ext (2MASS k_m_ext)	no	03364623-3559573	8.066	0.014	101.93	8.062	0.29	g0336462-355957	8.10	0.05					
NGC1399	54.621179	-35.450742	stras	0.01	6.306	0.027	VII/233/xsc	K.ext (2MASS k_m_ext)	no	03382908-3527026	6.306	0.027	220.20	6.302	0.01	NGC_1399	6.33	0.08					
NGC1404	54.716321	-35.594392	stras	0.00	6.820	0.021	VII/233/xsc	K.ext (2MASS k_m_ext)	no	03385191-3535398	6.820	0.021	148.50	6.816	0.01	g0338519-353539	6.83	0.05					
NGC1407	55.049600	-18.580378	stras	0.01	6.702	0.025	VII/233/xsc	K.ext (2MASS k_m_ext)	no	03401190-1834493	6.702	0.025	178.50	6.678	0.01	NGC_1407	6.73	0.09					
NGC1482	58.662200	-20.502450	stras	0.01	8.483	0.024	VII/233/xsc	K.ext (2MASS k_m_ext)	no	03543892-2030088	8.483	0.024	85.10	8.469	0.00	g0354389-203008	8.51	0.07					
NGC1550	64.908104	2.409977	stras	0.49	8.774	0.028	VII/233/xsc	K.ext (2MASS k_m_ext)	no	04193792+0224355	8.774	0.028	62.33	8.727	0.23	NGC_1550	8.80	0.05					
NGC1600	67.916075	-5.086103	stras	0.01	8.041	0.019	VII/233/xsc	K.ext (2MASS k_m_ext)	no	04313985-0505099	8.041	0.019	98.42	8.026	0.08	NGC_1600	8.06	0.03					
NGC1700	74.234650	-4.865776	stras	0.49	8.088	0.018	VII/233/xsc	K.ext (2MASS k_m_ext)	no	04565634-0451566	8.088	0.018	82.28	8.073	0.30	g0456563-045157	8.12	0.04					
NGC2434	113.713127	-69.284166	stras	0.09	7.886	0.024	VII/233/xsc	K.ext (2MASS k_m_ext)	no	07345116-6917029	7.886	0.024	85.09	7.799	0.14	g0734512-691703	7.91	0.05					
NGC2768	137.906267	60.037208	stras	0.01	6.997	0.031	VII/233/xsc	K.ext (2MASS k_m_ext)	no	09113750+6002139	6.997	0.031	288.90	6.981	0.01	NGC_2768	7.02	0.09	-24.71	21.8	6.982	-0.015	
NGC3079	150.491162	55.679847	stras	0.67	7.262	0.019	VII/233/xsc	K.ext (2MASS k_m_ext)	no	10015792+5540480	7.262	0.019	221.40	7.258	0.67	NGC_3079	7.27	0.04	-24.28	20.3	7.257	-0.005	
NGC3091	150.058854	-19.636478	stras	0.01	8.094	0.026	VII/233/xsc	K.ext (2MASS k_m_ext)	no	10001412-1938113	8.094	0.026	96.32	8.079	0.23	NGC_3091	8.11	0.04					
NGC3379	161.956667	12.581631	stras	0.01	6.270	0.018	VII/233/xsc	K.ext (2MASS k_m_ext)	no	10474959+1234538	6.270	0.018	191.70	6.261	0.01	MESSIER_105	6.28	0.06	-23.80	10.3	6.264	-0.006	
NGC3384	162.070356	12.629270	stras	0.20	6.750	0.019	VII/233/xsc	K.ext (2MASS k_m_ext)	no	10481689+1237454	6.750	0.019	214.50	6.741	0.19	NGC_3384	6.76	0.06	-23.52	11.3	6.745	-0.005	
NGC3557	167.490221	-37.539172	stras	0.01	7.203	0.017	VII/233/xsc	K.ext (2MASS k_m_ext)	no	11095765-3732210	7.203	0.017	126.37	7.150	1.09	g1109577-373221	7.24	0.05					
NGC3585	168.321288	-26.754989	stras	0.01	6.703	0.021	VII/233/xsc	K.ext (2MASS k_m_ext)	no	11131710-2645179	6.703	0.021	182.50	6.680	0.01	g1113171-264518	6.71	0.05					
NGC3607	169.227737	18.051809	stras	0.00	6.994	0.023	VII/233/xsc	K.ext (2MASS k_m_ext)	no	11165465+1803065	6.994	0.023	168.50	6.987	0.01	NGC_3607	7.02	0.07	-24.74	22.2	6.992	-0.002	
NGC3665	171.181792	38.762792	stras	0.00	7.682	0.014	VII/233/xsc	K.ext (2MASS k_m_ext)	no	11244363+3845460	7.682	0.014	100.42	7.675	0.09	NGC_3665	7.71	0.04	-24.92	33.1	7.679	-0.003	
NGC3923	177.757429	-28.806211	stras	0.01	6.500	0.030	VII/233/xsc	K.ext (2MASS k_m_ext)	no	11510178-2848223	6.500	0.030	230.50	6.471	0.00	g1151017-284821	6.53	0.08					
NGC3955	178.488145	-23.164254	stras	0.21	8.745	0.011	VII/233/xsc	K.ext (2MASS k_m_ext)	no	11535713-2309513	8.745	0.011	67.67	8.726	0.15	g1153571-230951	8.74	0.01					
NGC4036	180.361502	61.895729	stras	0.93	7.562	0.019	VII/233/xsc	K.ext (2MASS k_m_ext)	no	12012689+6153445	7.562	0.019	144.40	7.554	0.94	NGC_4036	7.57	0.04	-24.40	24.6	7.555	-0.007	
NGC4073	181.112749	1.896003	stras	0.04	8.489	0.030	VII/233/xsc	K.ext (2MASS k_m_ext)	no	12042705+0153456	8.489	0.030	91.44	8.479	0.05	12042706+0153455	10.47	0.05					
