id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
J041553.6-241425	63.973316	-24.240550	0.418900		3		10.970	3.5149
J041558.7-241358	63.994791	-24.232878	0.343200		3		10.200	3.2681
J041602.8-241415	64.011473	-24.237604	0.552200		3		10.308	3.3026
J041536.6-241415	63.902327	-24.237711	0.430200		2		12.630	4.0467
J041549.5-241424	63.956401	-24.240022	0.539200		3		11.275	3.6124
J041530.9-241420	63.878609	-24.238964	0.634100		3		13.493	4.3231
J041656.4-241408	64.234792	-24.235811	0.395200		3		14.760	4.7293
J041631.6-241423	64.131526	-24.239870	0.568500		3		11.535	3.6959
J041544.2-241419	63.934089	-24.238649	0.382300		3		11.741	3.7617
J041640.4-241422	64.168255	-24.239564	3.076600		3		12.542	4.0184
J041533.1-241420	63.888106	-24.238906	0.382400		3		13.159	4.2163
J041543.2-241412	63.929814	-24.236795	0.430300		3		11.760	3.7678
J041632.7-241423	64.136305	-24.239862	0.435600		3		11.653	3.7337
J041621.5-241323	64.089546	-24.223260	0.215000		3		9.758	3.1266
J041653.8-241420	64.224214	-24.239108	0.561800		3		14.483	4.6405
J041641.8-241402	64.174037	-24.233918	0.536200		3		12.451	3.9893
J041703.6-241408	64.264985	-24.235826	0.474000		3		16.007	5.1287
J041556.1-241420	63.983823	-24.238931	0.419100		3		10.704	3.4298
J041627.7-241422	64.115578	-24.239465	0.467700		3		11.153	3.5735
J041550.7-241416	63.961155	-24.238009	0.206800		3		11.062	3.5443
J041609.2-241423	64.038270	-24.239802	0.206900		2		10.336	3.3116
J041523.2-241416	63.846669	-24.237933	0.634800		3		14.642	4.6913
J041613.1-241352	64.054438	-24.231385	0.637400		3		9.871	3.1628
J041601.8-241416	64.007390	-24.238052	0.436600		2		10.368	3.3220
J041551.5-241414	63.964734	-24.237397	0.390600		3		10.955	3.5100
J041600.7-241414	64.002781	-24.237494	0.422200		3		10.379	3.3255
J041512.8-241417	63.803430	-24.238104	0.578800		3		16.426	5.2630
J041539.3-241415	63.913876	-24.237548	0.393500		3		12.260	3.9283
J041629.0-241415	64.120741	-24.237515	1.114200		3		11.157	3.5746
J041559.4-241417	63.997666	-24.238304	0.452500		2		10.482	3.3586
J041533.1-241419	63.887807	-24.238615	0.380200		3		13.156	4.2152
J041547.8-241413	63.949355	-24.236998	0.299900		3		11.269	3.6107
J041626.7-241412	64.111196	-24.236939	0.190300		3		10.923	3.4998
J041536.6-241409	63.902486	-24.236050	0.383400		3		12.545	4.0193
J041516.8-241413	63.820082	-24.237219	0.387100		2		15.689	5.0268
J041557.1-241331	63.988015	-24.225282	0.232800		2		9.854	3.1573
J041514.0-241411	63.808248	-24.236626	0.182800		3		16.165	5.1793
J041628.4-241410	64.118244	-24.236153	0.486600		3		11.027	3.5331
J041609.8-241409	64.040847	-24.235883	0.405900		3		10.102	3.2366
J041533.2-241359	63.888288	-24.233069	0.250500		3		12.881	4.1272
J041602.8-241409	64.011560	-24.235874	0.465500		3		10.204	3.2695
J041632.9-241410	64.136931	-24.236387	0.000000		2		11.485	3.6797
J041526.4-241403	63.859908	-24.234241	0.273600		3		13.973	4.4769
J041616.6-241411	64.069170	-24.236566	0.387400		3		10.283	3.2947
J041616.3-241407	64.067897	-24.235515	0.298800		3		10.209	3.2712
J041534.2-241359	63.892304	-24.233238	0.384700		2		12.750	4.0853
J041615.0-241409	64.062312	-24.235983	0.353700		3		10.193	3.2659
J041653.4-241404	64.222423	-24.234531	0.396500		3		14.220	4.5561
J041617.1-241402	64.071440	-24.233990	0.389200		3		10.152	3.2528
J041640.8-241407	64.169812	-24.235307	0.400100		2		12.382	3.9672
J041516.9-241408	63.820396	-24.235577	0.063800		2		15.612	5.0022
J041515.9-241347	63.816137	-24.229779	0.265900		3		15.571	4.9891
J041530.4-241404	63.876696	-24.234716	0.395500		3		13.368	4.2833
J041536.5-241403	63.902082	-24.234180	0.384000		3		12.467	3.9946
J041629.7-241407	64.123788	-24.235384	0.465000		2		11.109	3.5594
J041521.8-241408	63.841020	-24.235758	0.420200		3		14.775	4.7341
J041633.8-241356	64.140910	-24.232491	0.303600		3		11.385	3.6479
J041547.9-241358	63.949482	-24.232834	0.522000		2		11.041	3.5377
J041608.9-241405	64.037192	-24.234758	0.394200		2		10.033	3.2147
J041547.9-241406	63.949636	-24.235027	0.573500		3		11.156	3.5744
J041612.3-241325	64.051125	-24.223720	0.167400		3		9.398	3.0111
J041646.0-241402	64.191728	-24.234070	0.331000		3		13.060	4.1844
J041548.7-241407	63.952816	-24.235306	0.304900		3		11.097	3.5554
