recno	MACSg	RAJ2000	DEJ2000	z	e_z	EmLT	Inst	CXO	MACS	Simbad
     259	J071719.86+373322.5	109.332748	+37.556252	 0.5002	 0.0005	E  	D	   	J0717.5+3745	Simbad
     260	J071719.90+373444.5	109.332916	+37.579029	 0.4066	 0.0003	E  	D	   	J0717.5+3745	Simbad
     261	J071719.95+374057.8	109.333122	+37.682720	 0.5763	 0.0003	E  	D	   	J0717.5+3745	Simbad
     262	J071720.04+374724.8	109.333504	+37.790218	 0.5354	 0.0010	E  	D	   	J0717.5+3745	Simbad
     263	J071720.09+374213.7	109.333710	+37.703800	 0.5751	 0.0003	E  	D	   	J0717.5+3745	Simbad
     264	J071720.14+373856.3	109.333931	+37.648960	 0.3883	 0.0003	A  	D	   	J0717.5+3745	Simbad
     265	J071720.17+374358.5	109.334045	+37.732922	 0.6607	 0.0003	E  	D	   	J0717.5+3745	Simbad
     266	J071720.21+374313.6	109.334206	+37.720440	 0.5444	 0.0005	E  	D	   	J0717.5+3745	Simbad
     267	J071720.22+373721.1	109.334244	+37.622540	 0.8563	 0.0003	E  	D	   	J0717.5+3745	Simbad
     268	J071720.32+375211.4	109.334663	+37.869831	 0.5863	 0.0005	A  	D	   	J0717.5+3745	Simbad
     269	J071720.42+374724.8	109.335083	+37.790218	 0.5422	 0.0003	A  	D	   	J0717.5+3745	Simbad
     270	J071720.45+374345.4	109.335205	+37.729279	 0.5415	 0.0005	E  	D	   	J0717.5+3745	Simbad
     271	J071720.46+374612.5	109.335251	+37.770142	 0.5474	 0.0003	A  	D	   	J0717.5+3745	Simbad
     272	J071720.54+374545.2	109.335587	+37.762550	 0.5458	 0.0005	A  	D	   	J0717.5+3745	Simbad
     273	J071720.54+374332.7	109.335587	+37.725750	 0.6602	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     274	J071720.62+374555.4	109.335915	+37.765388	 0.5421	 0.0003	A  	D	   	J0717.5+3745	Simbad
     275	J071720.68+373623.1	109.336166	+37.606411	 0.4035	 0.0003	E  	D	   	J0717.5+3745	Simbad
     276	J071720.83+373951.1	109.336792	+37.664200	 0.4874	 0.0003	A  	D	   	J0717.5+3745	Simbad
     277	J071720.84+374609.7	109.336823	+37.769348	 0.5316	 0.0005	A  	D	   	J0717.5+3745	Simbad
     278	J071720.89+374716.0	109.337029	+37.787788	 0.5477	 0.0005	A  	D	   	J0717.5+3745	Simbad
     279	J071720.95+374202.6	109.337280	+37.700722	 0.2404	 0.0010	E  	D	   	J0717.5+3745	Simbad
     280	J071721.15+374700.0	109.338127	+37.783329	 0.5406	 0.0003	A  	D	   	J0717.5+3745	Simbad
     281	J071721.22+374453.9	109.338417	+37.748299	 0.5563	 0.0003	A  	D	   	J0717.5+3745	Simbad
     282	J071721.44+373342.4	109.339333	+37.561779	 0.5473	 0.0003	E  	D	   	J0717.5+3745	Simbad
     283	J071721.45+374227.8	109.339378	+37.707722	 0.5443	 0.0003	A  	D	   	J0717.5+3745	Simbad
     284	J071721.46+373255.0	109.339417	+37.548611	 0.7185	 0.0003	E  	D	   	J0717.5+3745	Simbad
     285	J071721.51+373911.3	109.339622	+37.653141	 0.4884	 0.0003	A  	D	   	J0717.5+3745	Simbad
     286	J071721.52+373906.6	109.339668	+37.651829	 0.4895	 0.0003	E  	D	   	J0717.5+3745	Simbad
     287	J071721.52+373857.0	109.339668	+37.649170	 0.4909	 0.0003	E  	D	   	J0717.5+3745	Simbad
     288	J071721.56+374704.8	109.339813	+37.784672	 0.5452	 0.0003	A  	D	   	J0717.5+3745	Simbad
     289	J071721.61+374203.1	109.340042	+37.700859	 0.5497	 0.0003	A  	D	   	J0717.5+3745	Simbad
     290	J071721.73+374421.8	109.340561	+37.739399	 0.5394	 0.0003	A  	D	   	J0717.5+3745	Simbad
     291	J071721.99+373657.6	109.341621	+37.616001	 0.4309	 0.0003	E  	D	   	J0717.5+3745	Simbad
     292	J071722.04+374018.1	109.341835	+37.671700	 0.5375	 0.0003	A  	D	   	J0717.5+3745	Simbad
     293	J071722.08+374527.8	109.342003	+37.757721	 0.4222	 0.0003	E  	D	   	J0717.5+3745	Simbad
     294	J071722.13+374322.6	109.342209	+37.722950	 0.6601	 0.0005	E  	D	   	J0717.5+3745	Simbad
     295	J071722.14+374504.5	109.342247	+37.751251	 0.5461	 0.0003	A  	D	   	J0717.5+3745	Simbad
     296	J071722.18+375028.3	109.342415	+37.841190	 0.6761	 0.0003	E  	D	   	J0717.5+3745	Simbad
     297	J071722.23+374554.6	109.342613	+37.765179	 0.5426	 0.0010	E  	D	   	J0717.5+3745	Simbad
     298	J071722.29+374158.8	109.342873	+37.699669	 0.4673	 0.0003	E  	D	   	J0717.5+3745	Simbad
     299	J071722.31+375108.0	109.342957	+37.852219	 1.1984	 0.0010	E  	D	   	J0717.5+3745	Simbad
     300	J071722.45+374258.5	109.343544	+37.716251	 0.5427	 0.0003	A  	D	   	J0717.5+3745	Simbad
     301	J071722.47+374249.5	109.343628	+37.713749	 0.6377	 0.0003	E  	D	   	J0717.5+3745	Simbad
