id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	3.458125	-30.336389	0.307772	0.000930	4		7.336	1.9964
	3.458250	-30.391861	0.000519	0.000920	6		6.628	1.8037
	3.458875	-30.300694	0.305257	0.000080	5		8.445	2.2984
	3.458875	-30.341111	0.497290	0.000290	3		7.184	1.9550
	3.459042	-30.213694	0.000401	0.000380	6		12.392	3.3725
	3.459167	-30.243278	0.000267	0.001040	6		10.925	2.9733
	3.459167	-30.296083	0.308709	0.000080	5		8.610	2.3430
	3.459208	-30.399778	0.359530	0.000410	4		6.609	1.7986
	3.460000	-30.506056	0.359695	0.000921	3		9.607	2.6146
	3.460125	-30.175611	0.588072	0.000100	5		14.354	3.9063
	3.461000	-30.448361	0.415878	0.000090	4		7.406	2.0155
	3.461250	-30.440498	0.061295	0.000921	3		7.178	1.9535
	3.461542	-30.589611	0.265212	0.000080	5		13.676	3.7217
	3.461667	-30.478529	1.016590	0.000921	3		8.405	2.2874
	3.461708	-30.206167	0.001257	0.001090	6		12.706	3.4580
	3.461750	-30.515778	0.000481	0.000340	6		9.984	2.7172
	3.462083	-30.417154	0.357895	0.000921	3		6.650	1.8097
	3.462250	-30.376806	0.312254	0.000320	4		6.457	1.7573
	3.462250	-30.361306	0.496205	0.000430	3		6.625	1.8028
	3.462833	-30.346111	0.000017	0.000720	6		6.879	1.8721
	3.462833	-30.389111	0.311768	0.000080	3		6.388	1.7384
	3.462917	-30.360250	0.495795	0.000921	3		6.607	1.7981
	3.463208	-30.180056	0.000537	0.000670	6		14.044	3.8219
	3.463333	-30.380583	0.309572	0.000530	3		6.380	1.7364
	3.463417	-30.335306	0.308720	0.000300	4		7.118	1.9372
	3.463750	-30.298500	0.437895	0.000921	3		8.335	2.2682
	3.464042	-30.443500	0.186422	0.000070	5		7.130	1.9403
	3.464167	-30.253000	0.404195	0.000921	3		10.305	2.8043
	3.464250	-30.339000	0.496780	0.000340	4		6.982	1.9002
	3.464583	-30.313889	0.059195	0.000921	3		7.732	2.1042
	3.464583	-30.513389	0.105913	0.000320	4		9.780	2.6617
	3.465625	-30.194000	0.496325	0.000240	4		13.244	3.6042
	3.465833	-30.291832	0.174895	0.000921	3		8.520	2.3188
	3.465958	-30.334389	0.602373	0.000350	3		7.026	1.9121
	3.466000	-30.615250	0.001710	0.001240	6		14.952	4.0691
	3.466167	-30.498500	0.750177	0.000110	5		9.059	2.4652
	3.466292	-30.352472	0.000442	0.000210	6		6.577	1.7900
	3.466333	-30.533083	0.063905	0.000070	5		10.659	2.9007
	3.466625	-30.204972	0.414633	0.000090	5		12.642	3.4403
	3.467500	-30.355473	0.494495	0.000921	3		6.461	1.7582
	3.467500	-30.279194	0.497795	0.000921	3		8.995	2.4480
	3.467958	-30.492333	0.000122	0.001000	6		8.728	2.3752
	3.468417	-30.366583	0.107134	0.000070	5		6.241	1.6984
	3.468500	-30.285083	0.253468	0.000260	4		8.704	2.3688
	3.468625	-30.191389	0.240621	0.000080	5		13.310	3.6223
	3.468708	-30.195389	0.000142	0.000370	6		13.095	3.5638
	3.469042	-30.219500	0.437437	0.000280	4		11.824	3.2180
	3.469333	-30.543167	0.001550	0.001110	6		11.071	3.0128
	3.469833	-30.382000	0.497811	0.000400	3		6.039	1.6434
	3.470417	-30.384389	0.499890	0.000350	4		6.001	1.6330
	3.471875	-30.310611	0.000290	0.000790	6		7.548	2.0542
	3.471958	-30.350278	0.307037	0.000080	4		6.348	1.7275
	3.472042	-30.194972	0.498295	0.000090	4		13.038	3.5483
	3.472083	-30.603194	0.243948	0.000080	5		14.164	3.8545
	3.472208	-30.444306	0.304480	0.000080	5		6.781	1.8455
	3.472250	-30.553028	0.106013	0.000070	5		11.492	3.1276
	3.472375	-30.611694	0.000237	0.000170	6		14.622	3.9794
	3.472917	-30.271639	0.452495	0.000921	3		9.149	2.4899
	3.473458	-30.210917	0.642152	0.000460	3		12.158	3.3087
	3.473542	-30.370083	0.313078	0.000080	5		5.939	1.6162
	3.473583	-30.563528	0.394303	0.000100	3		12.004	3.2668
	3.473833	-30.399556	0.313977	0.000270	3		5.855	1.5934
	3.474833	-30.553556	0.000391	0.000190	6		11.452	3.1165
	3.475000	-30.222333	0.121945	0.000140	5		11.521	3.1355
	3.475000	-30.255444	0.150095	0.000921	3		9.851	2.6809
	3.475083	-30.212222	0.682033	0.000110	4		12.049	3.2790
	3.475208	-30.602528	0.000459	0.000970	6		14.060	3.8265
	3.475500	-30.523556	-0.000070	0.000440	6		9.918	2.6992
	3.475917	-30.421833	0.000427	0.000130	6		6.047	1.6458
	3.476292	-30.189667	0.147464	0.000070	5		13.226	3.5995
	3.476375	-30.564194	0.310268	0.000080	4		11.969	3.2574
	3.476792	-30.169417	0.450567	0.000090	6		14.322	3.8978
	3.477333	-30.482694	0.000062	0.000280	6		7.976	2.1706
	3.477500	-30.249528	0.307992	0.000300	4		10.068	2.7399
	3.478333	-30.324139	0.316069	0.000220	4		6.796	1.8494
	3.478917	-30.380972	0.436738	0.000090	5		5.574	1.5170
	3.479042	-30.588306	0.137644	0.000070	5		13.202	3.5928
	3.479583	-30.483055	0.031595	0.000921	3		7.910	2.1525
	3.480167	-30.494667	0.000317	0.000650	6		8.403	2.2868
	3.480458	-30.266500	0.308238	0.000080	5		9.149	2.4898
	3.480625	-30.302750	0.308132	0.000080	5		7.513	2.0447
	3.480833	-30.541722	0.606811	0.000100	5		10.683	2.9072
	3.481000	-30.484000	0.361394	0.000250	3		7.900	2.1498
	3.481292	-30.551361	0.000920	0.000230	6		11.172	3.0404
	3.481458	-30.540361	0.231000	0.001000	3		10.596	2.8836
	3.481667	-30.261806	0.650195	0.000921	3		9.339	2.5416
