group,branch,kind,amplitude,center,continuum,threshold,mean_retention,sd,minimum,maximum,mean_paired_flux
empirical,boxcar_independent,streaming,10,10,source_disabled,fixed_global,0.9154563067132421,0.03058317939684073,0.8535947982638914,0.9503830090812481,1.0231337870095187
empirical,boxcar_independent,streaming,10,20,actual,per_channel,0.8812465970106148,0.05930907387811488,0.7560471143938137,0.9710614729747422,0.9570402210994198
empirical,boxcar_independent,streaming,10,20,actual,fixed_global,0.9143662460034312,0.032520494156313966,0.8433635386830668,0.9703417517655665,1.0091907631228347
empirical,boxcar_independent,streaming,10,20,source_disabled,per_channel,0.8812465970106148,0.05930907387811488,0.7560471143938137,0.9710614729747422,0.9570402210994198
empirical,boxcar_independent,streaming,10,20,source_disabled,fixed_global,0.9143662460034312,0.032520494156313966,0.8433635386830668,0.9703417517655665,1.0091907631228347
empirical,boxcar_independent,streaming,10,30,actual,per_channel,0.9403108853751562,0.0194757092023244,0.8964753959899042,0.9616783589248743,1.0837733463836057
empirical,boxcar_independent,streaming,10,30,actual,fixed_global,0.9404321925910403,0.020368942213719647,0.8913725248668241,0.9612405900324532,1.0805681340746986
empirical,boxcar_independent,streaming,10,30,source_disabled,per_channel,0.9403108853751562,0.0194757092023244,0.8964753959899042,0.9616783589248743,1.0837733463836061
empirical,boxcar_independent,streaming,10,30,source_disabled,fixed_global,0.9404321925910403,0.020368942213719647,0.8913725248668241,0.9612405900324532,1.0805681340746995
empirical,boxcar_hanning_full,rotation,5,10,actual,per_channel,0.7380529316399483,0.1094220092219524,0.560102480319405,0.9165394545567077,0.9039250936836917
empirical,boxcar_hanning_full,rotation,5,10,actual,fixed_global,0.7356473145479471,0.10765676232477846,0.5626034361647364,0.9057789960887654,0.903834247281852
empirical,boxcar_hanning_full,rotation,5,10,source_disabled,per_channel,0.7380529316399483,0.1094220092219524,0.560102480319405,0.9165394545567077,0.903925093691737
empirical,boxcar_hanning_full,rotation,5,10,source_disabled,fixed_global,0.7356473145479471,0.10765676232477846,0.5626034361647364,0.9057789960887654,0.9038342472904602
empirical,boxcar_hanning_full,rotation,5,20,actual,per_channel,0.42855331155479526,0.2590019506355348,0.039524390276859354,0.8489450020127324,0.5238330078471647
empirical,boxcar_hanning_full,rotation,5,20,actual,fixed_global,0.603852526903726,0.2159267782929318,0.21895039735288827,0.8815106558980402,0.7425355542419562
empirical,boxcar_hanning_full,rotation,5,20,source_disabled,per_channel,0.42855331155479526,0.2590019506355348,0.039524390276859354,0.8489450020127324,0.5238330078471647
empirical,boxcar_hanning_full,rotation,5,20,source_disabled,fixed_global,0.603852526903726,0.2159267782929318,0.21895039735288827,0.8815106558980402,0.7425355542419562
