galaxy,target,median_log10_gbar,spread_log10_gbar,quality,inclination_deg,hubble_type,gas_mass_fraction_proxy,log10_effective_stellar_surface_brightness,log10_disk_scale_length
NGC6674,0.02064626114181748,-10.849385035272014,1.966933435930276,1.0,54.0,3.0,0.2849940825327626,2.7488312369236176,0.7810369386211319
NGC6946,-0.04431957277063628,-10.255782068755803,2.665683077824415,1.0,38.0,6.0,0.18561519755043368,2.7568338155405883,0.3873898263387294
NGC7331,-0.043438517061905615,-10.184408683068535,1.6722553645769676,1.0,75.0,3.0,0.10511051517906896,3.392830561776918,0.7007037171450193
NGC7793,-0.011481763168295482,-10.169047030517628,0.9192249456275423,1.0,47.0,7.0,0.2452030243269459,2.3688259309588453,0.08278537031645007
UGC00128,-0.02487833003363453,-11.4536696482206,1.0363606623189003,1.0,57.0,8.0,0.621851568246354,1.308777773664721,0.7745169657285496
UGC00191,0.004964446145020615,-10.899912465698346,0.4562665967969721,1.0,45.0,9.0,0.6406270734777759,1.7007902213743469,0.19865708695442263
UGC00731,0.03735409823542775,-11.528584496651291,0.644478783397469,1.0,57.0,10.0,0.9370323727683532,1.408748606184244,0.36172783601759284
UGC00891,-0.05528431379021041,-11.28881679085531,0.3615236225270433,2.0,60.0,9.0,0.7527240029620226,1.2808059283936668,0.1553360374650618
UGC02259,0.05960268565704081,-11.049356759291086,0.3669396495191446,2.0,41.0,8.0,0.4323865431188797,1.6728364541713971,0.20951501454263097
UGC02487,0.07395281996392924,-10.57105463389454,1.4847386096542845,1.0,36.0,0.0,0.08885685255036956,2.9128276264402975,0.8970770032094203
UGC02885,0.006534122865800136,-10.62144993172014,2.0446336593985457,1.0,64.0,5.0,0.20896761476855163,2.624828488500072,1.0569048513364727
UGC02916,-0.03377165375876999,-9.815890558274107,1.967936976327577,2.0,50.0,2.0,0.3327230615549311,3.3848299265915687,0.7888751157754168
UGC02953,0.037526552617276866,-9.523964891567573,2.834149773746219,2.0,50.0,2.0,0.07295624785580188,3.1888300887521526,0.5502283530550941
UGC03205,0.016583654038325738,-9.925484825685775,2.1028690865792115,1.0,67.0,2.0,0.18467713596266744,2.768830420780154,0.5037906830571811
UGC03546,-0.046737708024305505,-9.595426360322652,2.7411101039685697,1.0,55.0,1.0,0.0656099731216258,3.3808296708221524,0.5786392099680724
UGC03580,-0.09475383529876522,-10.02404684317764,2.3148184128671936,2.0,63.0,1.0,0.4670191480984484,2.788832743515087,0.38560627359831223
UGC04325,0.08977614856007066,-10.854790005319705,0.21744976866209775,1.0,41.0,9.0,0.4709464470371957,1.6127838567197355,0.26951294421791633
UGC04483,-0.10542446145902432,-11.193293450672233,0.3203069947565442,2.0,58.0,10.0,0.8675091724419078,1.472902651803664,-0.744727494896694
UGC04499,-0.044612255524404044,-11.01926875826407,0.3993333125802323,1.0,50.0,8.0,0.6534167038856633,1.5287881917748962,0.2380461031287954
UGC05005,-0.08581328479707565,-11.279109399296322,0.5658827111823186,1.0,41.0,10.0,0.6674070240391714,1.408748606184244,0.505149978319906
UGC05253,-0.010825311074879804,-9.440381954007389,2.836644515674248,2.0,37.0,2.0,0.20266868207567304,3.172830525928742,0.9068735347220704
