branch,family,galaxy,mean_mse_mond,mean_mse_candidate,difference,leave_this_galaxy_out_gain_percent
return,finite_flat_bridge,NGC0300,0.0035504696559931887,0.002858044715091587,0.0006924249409016015,4.4604417368971445
return,finite_flat_bridge,NGC0801,0.0026230694895661246,0.0036117727609160963,-0.0009887032713499716,4.613371337917318
return,finite_flat_bridge,NGC1003,0.0015195106978170272,0.005767916783109439,-0.004248406085292412,4.9123260975483705
return,finite_flat_bridge,NGC1090,0.005813305631956992,0.006272737669635043,-0.00045943203767805085,4.577629671746442
return,finite_flat_bridge,NGC2403,0.00234366323719453,0.000888980853966982,0.001454682383227548,4.384350670150139
return,finite_flat_bridge,NGC2683,0.0005211085911523317,0.004004942545997861,-0.003483833954845529,4.836593973054116
return,finite_flat_bridge,NGC2841,0.009736932204996475,0.004121237258839422,0.005615694946157053,4.0241219780232305
return,finite_flat_bridge,NGC2915,0.03650914274342922,0.01848749796436846,0.018021644779060764,2.9330993013243525
return,finite_flat_bridge,NGC2955,0.0011037353923369273,0.0010028977383128455,0.00010083765402408174,4.505373141662608
return,finite_flat_bridge,NGC2976,0.008763594256643706,0.004306606836847227,0.004456987419796479,4.129135282044902
return,finite_flat_bridge,NGC2998,0.014938291474939894,0.02067546231333132,-0.005737170838391427,5.114977521288504
return,finite_flat_bridge,NGC3109,0.006587760634394625,0.007814686550822078,-0.0012269259164274533,4.652792938130068
return,finite_flat_bridge,NGC3198,0.004899890528002706,0.004470643088518709,0.0004292474394839976,4.490664241024233
return,finite_flat_bridge,NGC3521,0.0004200449916843462,0.0006861244134977075,-0.0002660794218133613,4.536655989475727
return,finite_flat_bridge,NGC3741,0.004386065850545083,0.01979157940527396,-0.015405513554728877,5.967742790635806
return,finite_flat_bridge,NGC3769,0.0016065349777205278,0.0017807855411820757,-0.00017425056346154796,4.533115165239921
return,finite_flat_bridge,NGC3877,0.01231005904232048,0.013313911978759857,-0.001003852936439377,4.656856169714475
return,finite_flat_bridge,NGC3893,0.0010663220391256753,0.0005789265231766704,0.00048739551594900493,4.46921677353824
return,finite_flat_bridge,NGC3917,0.004172143019842366,0.0027108099056145133,0.0014613331142278529,4.391216955704867
return,finite_flat_bridge,NGC3949,0.0009102980470135734,0.000629287825769714,0.00028101022124385944,4.487784954416382
return,finite_flat_bridge,NGC3972,0.0029527028355974556,0.002186342655695697,0.0007663601799017586,4.451056725416902
return,finite_flat_bridge,NGC3992,0.0027165171855982723,0.000708795028166554,0.0020077221574317182,4.334292595972009
return,finite_flat_bridge,NGC4051,0.0029221325796301447,0.0029640310221116344,-4.1898442481489665e-05,4.526331673694989
return,finite_flat_bridge,NGC4068,0.046390623670625304,0.05420689293187966,-0.007816269261254359,5.473558081923182
return,finite_flat_bridge,NGC4088,0.00830352865032022,0.0164593709712551,-0.008155842320934881,5.309933160264343
return,finite_flat_bridge,NGC4100,0.0013650532053541495,0.0007209806468715008,0.0006440725584826487,4.455865375122417
return,finite_flat_bridge,NGC5005,0.0012916673287193543,0.001350756996951915,-5.9089668232560665e-05,4.5210586761216955
return,finite_flat_bridge,NGC5033,0.0020483526701267265,0.0015495313023793746,0.0004988213677473519,4.47224277876536
return,finite_flat_bridge,NGC5371,0.003924318095819621,0.006343322345076678,-0.0024190042492570575,4.752533523060583
return,finite_flat_bridge,NGC5585,0.004600107735712328,0.003029366887020949,0.001570740848691379,4.382750303303684
